,word,local_word,examples,local_examples
0,word,mot,key word|english word|first word|good word,le mot-clé|mot anglais|premier mot|bonne parole
1,and,et,,
2,and,et,,
3,and,et,He thinks of you day and night,Il pense à toi jour et nuit
4,and,mais,It's an embarrassing joke and not an insult,C'est embarrassant blague et pas une insulte
5,and,et,This is a squid and not an octopus,C'est un calmar et pas un poulpe
6,that,donc,,
7,that,ce,,
8,that,qui / qui / celui qui,I know the guy that sold you the disk,Je connais le gars qui vous a vendu le disque
9,that,le,On that evening I met Natalie|Do you see those two marks on the wall?,"Sur la soirée, j'ai rencontré Natalie|Voyez-vous ces deux marques sur le mur?"
10,that,que,Tell him that Margaret wanted to see him,Dites-lui que Margaret voulait le voir
11,that,pour,Turn the mirror so that the room becomes visually larger,Tourner le miroir de sorte que la pièce devient visuellement plus
12,for,pour,,
13,for,sur,,
14,for,pour,,
15,for,dans,,
16,for,par,,
17,for,de,,
18,for,parce que / pour,"Lord forgive me, for I've sinned","Seigneur, pardonne-moi, car j'ai péché"
19,with,avec,,
20,with no,sans,,
