,trigram,chi-sq
0,"('Ga', 'gum', 'ooh')",2584122059.9984336
1,"('gum', 'ooh', 'lum')",2584122059.9984336
2,"('mamaum', 'Ga', 'gum')",2584122059.9984336
3,"('ooh', 'lum', '-lum')",2584122059.9984336
4,"('-roma', 'mamaum', 'Ga')",2153438508.970573
5,"('Roma', '-roma', 'mamaum')",2153438508.970573
6,"('Rah', 'rah', 'ah')",646030514.9997396
7,"('pray', 'mon', 'dieu')",538361355.8538221
8,"('ah', 'Roma', '-roma')",538359626.4927442
9,"('Ren&#', '233', 'e')",471883895.2871681
10,"('romance', 'Rah', 'rah')",430687009.9997557
11,"('Catherine', 'de', 'bourgh')",167065677.50262737
12,"('ah', 'ah', 'Roma')",161538756.37347466
13,"('rah', 'ah', 'ah')",161538756.37347466
14,"('ah', 'ah', 'ah')",161523199.12326282
15,"('prison', 'break', 'anthem')",125044559.77339916
16,"('anthem', 'prison', 'break')",67901279.7960934
17,"('break', 'anthem', 'prison')",67889904.96878234
18,"('lum', '-lum', 'want')",67120053.50621809
19,"('prison', 'break', 'anthey')",65830693.0931316
20,"('Lady', 'Catherine', 'de')",59060673.3104875
21,"('Mac', 'OS', 'X')",55808544.56352493
22,"('main', 'article', 'Mac')",51282628.97967739
23,"('bad', 'romance', 'Rah')",33583772.7309189
24,"('o', ""'"", 'clock')",26545558.337757647
25,"('oh', 'oh', 'oooh')",23471117.652914617
26,"('Mac', 'OS', 'x')",22317864.24568966
27,"('oooh', 'oh', 'oh')",13217723.235942714
28,"('oh', 'oooh', 'oh')",13203484.929839518
29,"('oh', 'oh', 'oh')",12514197.041242806
30,"('OS', 'X', 'v10.5')",8571480.089260925
31,"('lock', 'up', 'freedom')",7395863.480335007
32,"('article', 'Mac', 'OS')",6338746.437187487
33,"('bad', 'romance', 'Oh')",6095920.431844347
34,"('OS', 'X', 'Server')",4769862.366217466
35,"('Oh', 'oh', 'oh')",4624775.72490771
36,"('Mac', 'OS', '9')",4551998.391603577
37,"('brother', 'lock', 'up')",4361663.757473264
38,"('in', '-', 'law')",4176019.8583552856
39,"('break', 'anthey', 'just')",4132506.828288228
40,"('romance', 'Oh', 'oh')",4071691.147129381
41,"('raise', 'one', 'eyebrow')",3994557.887933246
42,"('the', 'United', 'States')",3184377.155697114
43,"('ad', 'i', 'ad')",2988335.605811633
44,"('angel', 'and', 'Angels')",2590162.8590541407
45,"('nothing', 'else', 'matter')",2545998.6342876577
46,"('mon', 'dieu', 'I')",2043461.5707718257
47,"('change', 'or', 'die')",1867267.3976792532
48,"('', 'do', 'not')",1237904.5847532914
49,"('faster', 'on', 'Windows')",1034261.6378350417
50,"('“There', '’', 'no')",991366.8906184653
51,"('I', ""'"", 'll')",853991.8751820994
52,"('oh', 'oh', 'catch')",850175.3102342725
53,"('dream', 'on', 'dream')",827583.7566111021
54,"('I', 'pray', 'mon')",816355.8677837753
55,"('“I', 'don', '’t')",782430.8551088176
56,"('my', 'brother', 'lock')",779786.2845511123
57,"('anthey', 'just', 'what')",728754.304277055
58,"(""'"", 'll', 'never')",648143.6182591867
59,"('and', 'Angels', 'fall')",555036.1516289586
60,"('roll', 'his', 'eye')",552994.4946464571
61,"('a', 'bad', 'romance')",545293.6210706788
62,"('a', 'deep', 'breath')",529100.163438517
63,"('to', 'la', 'push')",506895.1913180866
64,"('you', 'bad', 'romance')",419163.3664026401
65,"('“What', '’s', 'wrong')",409771.2649883233
66,"('young', 'lady', 'who')",404599.99613719305
67,"('', 'can', 'not')",393032.5513979672
68,"('shake', 'my', 'head')",358059.1441802357
69,"('love', 'i', 'Oooh')",356949.81722519983
70,"('don', '’t', 'know')",348428.4269990656
71,"('of', 'Lady', 'Catherine')",308347.19828263315
72,"('late', 'mister', 'Darcy')",296415.71616073285
73,"('lose', 'you', 'trust')",287310.25593448523
74,"(""'"", 'll', 'tell')",281120.2352132624
75,"('a', 'great', 'deal')",260885.3167532109
76,"('you', ""'"", 'll')",251370.9987817841
77,"('ran', 'I', 'ran')",244960.27147207814
78,"('shake', 'his', 'head')",243567.93093985633
79,"('less', 'and', 'less')",243168.03994306264
80,"('world', 'without', 'you')",240289.73141174513
81,"('dear', 'mister', 'Bennet')",238723.58214400808
82,"('of', 'Mac', 'OS')",232956.74972670406
83,"('against', 'his', 'chest')",230542.75859129522
84,"(""'"", 'll', 'get')",211786.6698631676
85,"('don', '’t', 'think')",208305.78099409956
86,"(""'"", 'll', 'see')",205431.50373981136
87,"('-lum', 'want', 'you')",203600.38147924282
88,"('love', 'love', 'love')",202284.5899150402
89,"('a', 'million', 'year')",198193.6506122438
90,"('his', 'golden', 'eyes')",194866.87504162602
91,"('turn', 'turn', 'turn')",190909.96875777168
92,"('a', 'world', 'without')",178948.1703805698
93,"('Catherine', 'and', 'Lydia')",176632.50799201877
94,"('233', 'e', 'be')",174193.56661230102
95,"('say', 'miss', 'Bingley')",171919.02727937096
96,"('need', 'my', 'brother')",161573.3929942308
97,"('a', 'few', 'minute')",161000.2727059002
98,"('deep', 'breath', 'and')",160494.3428008607
99,"('around', 'his', 'neck')",156333.49338255054
100,"('oh', 'oh', 'there')",156186.77294962216
101,"('gottum', 'do', 'what')",150435.14524668778
102,"('everyday', 'I', 'love')",147535.13300191629
103,"('make', 'no', 'answer')",145069.5696972119
104,"('it', 'wasn', '’t')",141363.67385511787
105,"('i', 'ad', 'i')",138932.1349570571
106,"('something', 'inside', 'i')",136452.5451798135
107,"('the', 'operating', 'system')",134870.60003339002
108,"('I', 'couldn', '’t')",133111.24171038767
109,"('we', ""'"", 'll')",127970.09631307359
110,"(""'"", 'll', 'have')",123153.06847321385
111,"('in', 'Mac', 'OS')",121450.15809532572
112,"('as', 'soon', 'as')",119640.71973842737
113,"('back', 'and', 'forth')",119462.96984234634
114,"('roll', 'my', 'eyes')",119185.2119946928
115,"('mister', 'Bingley', ""'s"")",118159.58456002644
116,"('no', 'matter', 'how')",115876.85547915295
117,"('the', 'prison', 'break')",113104.76282411514
118,"('didn', '’t', 'look')",112233.4301566494
119,"('add', 'i', 'as')",111575.07616075198
120,"('don', '’t', 'want')",111354.08370664499
121,"('by', 'no', 'mean')",110513.5384870817
