,trigram,chi-sq
0,"('“Noo', 't', '’ain')",3415751541.199001
1,"('jolt', 'jiggelty', 'jolt')",1160432505.2536142
2,"('Jiggelty', 'jolt', 'jiggelty')",986392432.8335725
3,"('la', 'la', 'la')",498902332.89728445
4,"('jiggelty', 'jolt', 'jiggelty')",448411184.7776957
5,"('t', '’ain', '’t')",224392436.23469856
6,"('Quidditch', 'World', 'Cup')",192159418.01075637
7,"('oh', 'oh', 'oh')",133584419.65760416
8,"('oh', 'oh', 'oooh')",58593480.47447816
9,"('rain', 'rain', 'rain')",41186866.4351517
10,"('haunt', 'control', 'your')",36597785.44095253
11,"('minute', 'per', 'week')",13734484.88776694
12,"('o', ""'"", 'clock')",13108134.761375798
13,"('twenty', 'four', 'hour')",9839515.313450163
14,"('Quidditch', 'world', 'Cup')",9480208.189711131
15,"('tree', 'wantin', ""'"")",5306397.345443689
16,"('absolve', 'you', 'sin')",4766156.657331804
17,"('in', '-', 'law')",3393867.343564098
18,"('my', 'fortune', 'May')",3251287.4811794576
19,"('his', 'walking', 'stick')",3101176.6050066324
20,"('we', 'belong', 'together')",2905333.7251663646
21,"('control', 'your', 'take')",2637149.8700880352
22,"('seek', 'my', 'fortune')",2350312.5079147997
23,"('', 'do', 'not')",2279850.2543437895
24,"('Earth', ""'s"", 'surface')",2161128.772755807
25,"('“I', 'don', '’t')",2064098.2041118352
26,"('his', 'wedding', 'ring')",1649052.3984318858
27,"('Uncle', 'Vernon', ""'s"")",1569652.832723443
28,"('the', 'public', 'domain')",1209285.6169147894
29,"('mister', 'white', 'Mason')",1027740.4416704926
30,"('five', 'o', ""'"")",1025050.5531175238
31,"('say', 'mister', 'Weasley')",1008236.6411777469
32,"('Ministry', 'of', 'magic')",905528.152945481
33,"('Baby', 'I', 'hate')",873776.6278839471
34,"('of', 'tree', 'wantin')",833405.0581305523
35,"('fortune', 'May', 'I')",784139.5588891294
36,"('don', '’t', 'know')",778683.9124326389
37,"('', 'can', 'not')",767065.5858798366
38,"('it', 'rain', 'rain')",686821.3444964559
39,"('Bill', 'and', 'Charlie')",676597.5727667055
40,"('a', 'artificial', 'person')",672510.6191231494
41,"('fred', 'and', 'George')",632644.1601035602
42,"('rain', 'rain', 'when')",632494.131333876
43,"('rang', 'the', 'bell')",606990.4594578581
44,"('said', 'mrs', 'Weasley')",584757.8934672738
45,"('a', 'violet', 'moon')",533118.6581828496
46,"('the', 'Killing', 'floor')",531505.2967184883
47,"('the', 'Quidditch', 'World')",502797.0040002109
48,"('I', ""'"", 'll')",483083.0474078734
49,"('Miss', 'Abbott', 'who')",435302.9785706613
50,"('and', 'Aunt', 'Petunia')",427738.64224095613
51,"('I', 'don', '’t')",426093.3605834753
52,"('valley', 'of', 'fear')",419078.816142212
53,"('say', 'white', 'Mason')",404546.268362576
54,"('hate', 'day', 'like')",375375.5087486633
55,"('the', 'Siena', 'gate')",370936.73380275955
56,"('under', 'a', 'violet')",366056.7252829894
57,"('a', 'living', 'artifact')",334570.1939648652
58,"('percent', 'of', 'adult')",328645.8022298568
59,"('the', 'World', 'Cup')",327479.8291155969
60,"('', 'ai', 'not')",313364.2732738404
61,"('audience', 'share', 'of')",300670.8015321776
62,"('witch', 'and', 'wizard')",299263.18453182507
63,"('belief', '', 'can')",290747.95525723096
64,"('yes', 'say', 'Jack')",286698.4229036368
65,"('say', 'miss', 'Abbott')",284597.0732828993
66,"('your', 'take', 'only')",279558.88568075583
67,"('be', 'haunt', 'control')",278134.0628760455
68,"('penance', '', 'can')",273185.82313165214
69,"('say', 'Uncle', 'Vernon')",267486.591348096
70,"('merrier', 'so', 'on')",265866.63010151975
71,"('mrs', 'Herriton', 'who')",260272.93680034977
72,"('can', 'not', 'absolve')",253174.70772082533
73,"('say', 'mrs', 'Herriton')",247993.39189788702
74,"('do', 'oh', 'oh')",227615.1913414816
75,"('dead', 'man', '’s')",223626.76815854287
76,"('rain', 'rain', 'it')",222896.5482778248
77,"('who', ""'s"", 'gonnon')",209681.87449317117
78,"('rain', 'it', 'rain')",200979.0794371902
79,"('say', 'mister', 'Robert')",200036.77399174537
80,"('ai', 'not', 'never')",196709.1400429779
81,"('Puttin', ""'"", 'on')",193842.51378857225
82,"('Uncle', 'Vernon', 'have')",191391.06309475293
83,"('onto', 'the', 'field')",189907.7615213235
84,"('you', 'don', '’t')",188794.98879732398
85,"('I', '', 'do')",186146.33517272046
86,"('and', 'Uncle', 'Vernon')",173142.76470487693
87,"('Uncle', 'Vernon', 'be')",166518.51234195844
88,"('at', 'all', 'event')",161413.5815282273
89,"('do', 'not', 'know')",154887.67252756585
90,"('a', 'good', 'deal')",152634.53171949091
91,"('the', 'Manor', 'house')",152351.21808356533
92,"('hill', 'and', 'far')",148137.11532077234
93,"('Ron', 'and', 'Hermione')",145892.8450719431
94,"('we', ""'"", 'll')",142277.5490701205
95,"('', 'will', 'not')",139993.00592562815
96,"('the', 'dining', 'room')",139785.56062375204
97,"('on', 'either', 'side')",137735.74720367737
98,"('Hermione', 'and', 'Ginny')",134179.55650854588
99,"('don', '’t', 'you')",127374.02320802856
100,"('say', 'she', '“Noo')",121886.13168076352
101,"('a', 'young', 'lady')",108073.39710389942
102,"(""'"", 'll', 'never')",105949.34856060117
103,"('all', 'you', 'belief')",104853.93988846808
104,"('mister', 'Khodorkovsky', ""'s"")",101988.37812761047
105,"('say', 'mister', 'Crouch')",101836.74180529921
106,"('the', 'little', 'Ones')",101335.32867783829
107,"('a', 'little', 'farther')",99911.7770569655
108,"('my', 'little', 'brother')",97076.35878883711
109,"('you', 'belief', '')",91304.6996273838
110,"('do', 'not', 'care')",89808.682569833
111,"('', 'be', 'not')",89484.05866416488
112,"('do', 'not', 'want')",88051.19422213748
113,"('wantin', ""'"", 'to')",86406.4755244105
114,"('get', 'rid', 'of')",86382.28082862322
115,"('', 'shall', 'not')",85874.80080812373
116,"(""'"", 'll', 'be')",85716.01596607403
117,"('', 'have', 'not')",84095.25224676757
118,"('as', 'soon', 'as')",82343.68752529706
119,"('mrs', 'Herriton', 'have')",81391.73424292123
120,"('I', 'fall', 'asleep')",79927.74847359263
121,"('not', 'absolve', 'you')",79712.93520901294
122,"('you', ""'"", 'll')",79601.54984258222
123,"(""'"", 'll', 'come')",78307.80598713337
124,"('do', 'not', 'understand')",76896.26196852716
125,"('the', 'cold', 'voice')",73365.14808714848
126,"('over', 'the', 'hill')",72559.46399371224
127,"('that', '’s', 'tail')",71430.95053531055
128,"('the', 'living', 'room')",70453.89729834985
129,"('mrs', 'Herriton', 'and')",67184.22856729839
130,"('and', 'mrs', 'Herriton')",67182.59045922323
131,"('mrs', 'Herriton', 'be')",66474.6377118354
132,"('they', ""'"", 'll')",66004.57774581168
133,"('the', 'Riddle', 'house')",65817.30180167119
134,"('the', 'bad', 'giant')",64127.84348516871
135,"(""'"", 'll', 'get')",61658.64245804938
136,"('as', 'far', 'as')",61272.6740057675
137,"('so', 'far', 'as')",60031.270879445125
138,"('other', 'side', 'of')",59997.60576848214
139,"('do', 'not', 'think')",59607.048920040936
140,"('you', '', 'ai')",58916.01959216985
141,"('half', 'a', 'hour')",58907.518697195825
142,"('the', 'little', 'One')",57364.35619328163
143,"('or', 'at', 'least')",57123.05069956821
144,"(""'"", 'll', 'go')",56604.67849624647
145,"('she', ""'"", 'll')",56575.911898347455
146,"('a', 'great', 'deal')",55370.064828155024
147,"('hard', 'to', 'believe')",55193.69145219788
148,"('more', 'the', 'merrier')",54438.773543671356
149,"('a', 'few', 'minute')",53152.157339656005
150,"('he', ""'"", 'll')",52997.81797976768
151,"(""'"", 'll', 'do')",52740.72526030882
152,"('family', 'of', 'tree')",52075.47545868729
153,"('the', 'other', 'side')",50286.056234207914
154,"('there', 'be', 'no')",50087.73150486538
155,"(""'"", 'll', 'have')",49769.070688243984
156,"('when', 'it', 'rain')",49686.59820892257
157,"('across', 'the', 'field')",47729.3381619638
158,"('good', 'deal', 'of')",46669.84680437571
159,"('to', 'mister', 'Weasley')",41262.429805336316
160,"('do', 'not', 'seem')",40320.402549367915
161,"('as', 'well', 'as')",40268.1026510385
162,"('mister', 'Weasley', 'be')",40149.75654492832
163,"('on', 'the', 'ritz')",38968.605629751524
164,"('in', 'front', 'of')",38706.731253165795
165,"('mrs', 'Weasley', ""'s"")",37936.32081730903
166,"('either', 'side', 'of')",37638.132411078
167,"('look', 'as', 'though')",36688.46901090833
168,"('in', 'any', 'case')",36008.812945977326
169,"('rain', 'when', 'it')",35994.46511616225
170,"('why', '', 'shall')",35211.82493216866
171,"('go', 'Jack', 'say')",35131.123976576004
