,trigram,chi-sq
0,"('ky', 'oodle', 'doodle')",131984977744.78198
1,"('Arthur', 'Scott', 'Bailey')",41696611644.496666
2,"('a-tat-tat', 'Rat', 'a-tat-tat')",37542416043.110054
3,"('Al', 'Mu', ""'ín"")",17292220159.370678
4,"('rue', 'Saint', 'Lazare')",14141254803.66002
5,"('Uncle', 'Jerry', 'Chuck')",9736659895.715303
6,"('&c', 'CATHERINE', 'VERNON')",9435538943.122217
7,"(""'ín"", 'bin', 'Sáwí')",8909606201.676418
8,"('Harun', 'al', 'Rashid')",7688445305.927792
9,"('Mohamm', 'bin', 'Sulayman')",7573165641.995035
10,"('Anis', 'al', 'Jalis')",7005383552.916432
11,"('Nu', 'al', 'Din')",6646681076.917332
12,"('Sulayman', 'al', 'Zayni')",6150756243.368829
13,"('Fazl', 'bin', 'Khákán')",4799463534.422148
14,"('Mu', ""'ín"", 'bin')",4083766250.0903573
15,"('Kut', 'al', 'Kulub')",3844271516.253458
16,"('Kut', 'al', '-Kulub')",3618141130.6936398
17,"('Fifth', 'Avenue', 'Hotel')",3571271823.04084
18,"('Worm', 'eat', 'Warbler')",3265607693.5866966
19,"('Pont', 'de', 'Neuilly')",2670679943.1833344
20,"('Mrs', 'Johnson', 'Churchhill')",2445135914.3001914
21,"('aide', 'de', '-camp')",2375335591.875156
22,"('Master', 'Meadow', 'Mouse')",2147074097.22603
23,"('lord', 'St', 'Clair')",1841652016.7059288
24,"('Duc', 'de', 'Soria')",1622440771.8990633
25,"('al', 'Din', 'Ali')",1401390629.2069697
26,"('Adeiu', 'Laura', 'letter')",1022552277.9557688
27,"('Aunt', 'Polly', 'Woodchuck')",915665316.931912
28,"('visit', 'librivox.org', 'record')",870989760.4965533
29,"('Ghanim', 'bin', 'Ayyub')",845784731.5007088
30,"('please', 'visit', 'librivox.org')",787045895.8662815
31,"('de', 'l', 'Estorade')",783424803.8379098
32,"('CHAPTER', 'SI', 'X')",769595363.5430666
33,"('Paul', 'de', 'Manerville')",747790234.9492683
34,"('bin', 'Sulayman', 'al')",639046140.180563
35,"('Monsieu', 'de', 'Vargnes')",607228827.2387182
36,"('upper', 'Seymou', 'street')",606595065.3293308
37,"('De', 'Courcy', 'Churchhill')",560217771.3906533
38,"('Special', 'Investigator', 'Dundee')",548373137.6976099
39,"('volunteer', 'please', 'visit')",535628361.7753764
40,"('Baron', 'de', 'Macumer')",509862722.1088326
41,"('John', 'C.', 'Drake')",497296928.39844376
42,"('Madome', 'de', 'Lanty')",421700509.99073297
43,"('Miss', 'Smith', 'Waters')",415550920.0254079
44,"('O', 'auspicious', 'King')",391386328.4602531
45,"(""'r"", ""'"", 'ap')",389144897.54930526
46,"('t', 't', 't')",341913099.1346583
47,"('cousin', 'Jasper', 'Jay')",294458195.76292086
48,"('little', 'Clock', '-with')",225090775.93258405
49,"('Hotel', 'San', 'real')",219565410.08708215
50,"('reg', ""'"", 'lar')",194572722.48180258
51,"('Sir', 'James', 'Martin')",194410065.69698247
52,"('degree', 'below', 'zero')",193650235.98624855
53,"('O', 'Shaykh', 'Ibrahim')",189666849.6364351
54,"('Ay', 'ay', 'sir')",185654749.13522822
55,"('Mme', 'de', 'l')",168818286.3819726
56,"('miste', 'de', 'Sucy')",168216114.78221095
57,"('deep', 'forest', 'Throng')",164222184.97559312
58,"('M.', 'de', 'Sucy')",150066653.13150132
59,"('lady', 'SUSAN', 'VERNON')",146304969.08773413
60,"('by', 'Arthur', 'Scott')",142854166.06398103
61,"('damsel', 'Anis', 'al')",138751544.1201099
62,"('', 'ky', 'oodle')",132492864.58990277
63,"('yes', 'ma', ""'am"")",132305445.46397963
64,"('Ja', ""'"", 'afar')",128162796.33348763
65,"('happy', 'Harry', 'gang')",125966177.60802332
66,"('o', ""'"", 'clock')",116740986.86100118
67,"('Sir', 'Walter', 'Elliot')",109100168.72025806
68,"('Laurentina', ""'s"", 'skeleton')",104473593.59560248
69,"('shock', 'wave', 'deflector')",91720180.75693119
70,"('-', 'Wise', 'face')",91021586.45633368
71,"('Your', 'ever', 'S.')",89587630.24505894
72,"('O', 'Ja', 'afar')",89184250.54066826
73,"('d', ""'"", 'Albon')",86675205.7765929
74,"('steel', 'wind', 'shield')",86293070.84272128
75,"('left', 'hind', 'foot')",72411571.41789503
