,trigram,chi-sq
0,"('Sub', 'Etha', 'Sens-O')",2256174134.7446547
1,"('Sirius', 'Cybernetics', 'corporation')",2169460381.8564725
2,"('mum', 'mum', 'mah')",2019976909.2957695
3,"('Etha', 'Sens-O', 'Matic')",1725297924.9872396
4,"('Mum', 'mum', 'mum')",1442840647.9387531
5,"('total', 'Perspective', 'Vortex')",1315703389.1608386
6,"('Ursa', 'minor', 'Beta')",1286946158.0030944
7,"('Pan', 'Galactic', 'Gargle')",1192279056.4874313
8,"('Beep', 'beep', 'beep')",1145706515.3040695
9,"('Galactic', 'Gargle', 'Blaster')",1073051689.3629903
10,"('Hop', 'skip', 'jump')",1009989366.4250383
11,"('Guitar', 'guitar', 'guitar')",665098877.7270545
12,"('w', 'w', 'w')",521441058.24981767
13,"('Prostetnic', 'Vogon', 'Jeltz')",511570896.4879753
14,"('guitar', 'guitar', 'guitar')",190059188.9819628
15,"('Supermassive', 'black', 'hole')",112862258.98419718
16,"('sandy', 'haire', 'woman')",97145147.7610952
17,"('Woah', 'oh', 'oh')",78842300.0066828
18,"('stay', 'forever', 'young')",77651915.34478419
19,"('Infinite', 'Improbability', 'drive')",69631320.10468687
20,"('tonight', ""'s"", 'gonna')",65787051.86693842
21,"('hole', 'Supermassive', 'black')",63486035.29603654
22,"('black', 'hole', 'Supermassive')",63485552.62015243
23,"('seventy', 'six', 'thousand')",52226125.82184414
24,"('two', 'Minutes', 'Hate')",49577923.21146317
25,"('superstar', 'suck', 'into')",47230374.37633964
26,"('Stupid', 'girl', 'Stupid')",43303579.67599711
27,"('Oh', 'stay', 'forever')",28306990.419377502
28,"('Hitch', 'Hiker', '’s')",24935212.593980793
29,"('oh', 'oh', 'oh')",21560157.13355969
30,"('my', 'soul', 'alight')",19559432.23891687
31,"('Hitch', 'Hiker', '’')",19253415.487756338
32,"('Blind', 'by', 'fear')",15548164.254912598
33,"('his', 'dressing', 'gown')",15093249.740217982
34,"('Hiker', '’s', 'Guide')",14356621.376440769
