,trigram,chi-sq
0,"('Some', 'PU-U', 'USSAY')",2820388857.775643
1,"('Cartographic', 'relief', 'presentation')",2538349971.9982543
2,"('Harajuku', 'Fun', 'madness')",1208746620.452172
3,"('Vietnam', 'Veterans', 'Memorial')",1153795440.4539618
4,"('Imhof', 'Cartographic', 'relief')",1101718823.6244574
5,"('relief', 'presentation', 'Berlin')",813576362.9264386
6,"('Emitt', 'Expo', 'Dweebruary')",793264242.1247545
7,"('Eduard', 'Imhof', 'Cartographic')",734493967.344416
8,"('grand', 'Puba', 'slow')",725242847.0853419
9,"('presentation', 'Berlin', '1982')",488144221.6149973
10,"('ah', 'hah', 'honey')",417835383.6704538
11,"('garage', 'door', 'opener')",375293679.15794384
12,"('repeat', '4x', 'Yeahhh')",307687955.1446143
13,"('hah', 'honey', 'honey')",278556920.5708273
14,"('crack', 'grand', 'Puba')",225631105.50279987
15,"('John', 'W.', 'Tukey')",177756799.14388192
16,"('salvation', 'salvation', 'salvation')",156723676.5420731
17,"('UI', 'design', 'patterns')",129676905.01627184
18,"('light', 'Emitt', 'Expo')",95188516.77616775
19,"('Edward', 'R', 'Tufte')",90126283.83598264
20,"('want', 'Some', 'PU-U')",83361245.08779126
21,"('4x', 'Yeahhh', 'head')",75212606.04327504
22,"('+', '1', '=')",60309439.0379231
23,"('10', 'UI', 'design')",49187733.47894264
24,"('oh', 'oh', 'oh')",47081844.86848488
25,"('Yeahhh', 'head', 'crack')",37616726.6275598
26,"('-y', '-y', '-y')",37500345.340086795
27,"('Puba', 'slow', 'down')",36505850.25710705
28,"('lump', 'matter', 'discipline')",24256818.51429922
29,"('crack', 'head', 'crack')",20897668.80620997
30,"('=', '3', 'effect')",19488806.989326775
31,"('‘Fou', 'leg', 'good')",19269562.397740398
32,"('Oh', 'oh', 'oh')",18816017.3766279
33,"('micro', 'macro', 'design')",18536857.16282093
34,"('leader', 'Comrade', 'Napoleon')",17596983.741240513
35,"('1', '=', '3')",16457484.572696494
36,"('heart', 'patiently', 'before')",15181513.832179038
37,"('Steward', 'from', 'Imhof')",13940846.634792913
38,"('mind', 'weak', 'grow')",13163689.35599314
39,"('point', 'mass', 'simplification')",11081444.791964985
40,"('head', 'banger', 'Yeah')",10914867.315063976
41,"('banger', 'Yeah', 'head')",10900247.430340458
42,"('whisk', 'his', 'tail')",10268643.912767597
43,"('head', 'crack', 'grand')",10043125.827453911
44,"('what', 'repeat', '4x')",9629929.766416736
45,"('higher', 'order', 'term')",9039743.792694481
46,"('Don', '’t', 'tell')",8984652.359919988
47,"('Maxwell', ""'s"", 'equation')",8742647.65868497
48,"('banger', 'what', 'repeat')",8735574.873333607
49,"('fifth', 'capital', 'D')",7715504.669225078
50,"('fifth', 'capital', 'D.')",7363259.190660511
51,"('head', 'crack', 'head')",6969823.122344923
52,"('1', '+', '1')",6861402.38574059
53,"('Yeah', 'head', 'crack')",5586215.122921618
54,"('translat', 'by', 'H.')",4721083.8785614
55,"('five', 'bar', 'gate')",4462914.923814546
56,"('Taylor', ""'s"", 'sery')",4150396.4629194397
57,"('don', '’t', 'want')",4099684.2441941523
58,"('his', 'hind', 'leg')",3949894.104170747
59,"('Pay', 'attention', 'to')",3857585.905805046
60,"('own', 'thing', 'sw')",3707538.5064249705
61,"('wanted', 'be', 'someo')",3650552.8102317145
62,"('someo', 'to', 'truly')",3508336.9767907443
63,"('fifth', 'small', 'd')",3157576.036634068
64,"('in', '10', 'UI')",2984765.7112994706
65,"('two', 'leg', 'bad')",2806162.1707377275
66,"('mrs', 'К', 'have')",2767133.6404531854
67,"('‘Beast', 'of', 'England')",2753716.3336734874
68,"('', 'do', 'not')",2655060.637387202
69,"('stem', 'and', 'leaf')",2494928.0372470613
70,"('be', 'Pay', 'attention')",2408342.330916815
71,"('70', 'million', '')",2223077.1604287582
72,"('head', 'banger', 'what')",2140503.655071711
73,"('left', 'hand', 'side')",2041384.0961580419
