,trigram,chi-sq
0,"('yip', 'yip', 'yip')",1244754939.9518127
1,"('Instructor', 'Brad', 'Osgood')",1028825290.278267
2,"('Aah', 'Aah', 'Aah')",637025251.5226829
3,"('body', 'burning', 'Desolate')",634932173.9310899
4,"('quality', 'control', 'team')",544674097.5077008
5,"('Merge', 'A', '8')",371615818.8559804
6,"('Hello', 'hello', 'hello')",303449603.0755646
7,"('num', 'num', 'num')",222234435.31027803
8,"('low', 'Hello', 'hello')",170694022.72957906
9,"('mag', 'ang', 'r')",84113109.69888723
10,"('c', 'sub', '-m')",82190965.89576888
11,"('honor', 'code', 'violation')",49610625.645928785
12,"('“I', '’m', 'sorry')",44643661.70589652
13,"('E', 'F', 'G')",43798518.965858094
14,"('mile', 'per', 'hour')",40313600.606826864
15,"('A', '8', 'b')",39117630.669690356
16,"('from', 'mag', 'ang')",32095070.774691787
17,"('me', 'oh', 'baby')",31875002.033982594
18,"('>', '<', '>')",29365509.944873516
19,"('<', '>', '<')",28354385.852917444
20,"('good', 'essay', 'writer')",27961159.082848843
22,"('anticipation', 'Chok', 'from')",27510058.70930997
21,"('Chok', 'from', 'intoxication')",27510058.70930997
23,"('their', 'body', 'burning')",27211373.71059692
24,"('die', 'die', 'die')",21827217.55827341
25,"('3', '4', '5')",19876037.116240647
26,"('o', ""'"", 'clock')",17486618.47687872
27,"('else', 'error', 'unknown')",16945691.240568977
28,"('sqrt', '+', 'square')",13796501.664903723
29,"('how', 'low', 'Hello')",13782446.505094206
30,"('4', '5', '6')",12171545.19114258
31,"('mag', 'ang', 'magnitude')",10636944.42348732
32,"('Conseil', 'reply', 'serenely')",10447455.406383071
33,"('finger', 'get', 'burnt')",9503862.346680025
34,"('denom', 'x', 'denom')",9192222.254053086
35,"('make', 'vect', '1.0')",8737461.435081422
36,"('map', '<', '>')",7967363.596702614
37,"('make', 'vect', '0.0')",7281629.208292284
38,"('8', 'b', '3')",6942866.912825225
39,"('hello', 'hello', 'how')",6893030.866003555
40,"('hello', 'how', 'low')",6891215.970950147
41,"('young', 'finger', 'get')",6335905.299540923
42,"('2', '3', '4')",6044456.3764596805
43,"('sum', 'od', 'square')",5604974.842949456
44,"('burning', 'Desolate', 'and')",5581329.795909164
46,"('of', 'anticipation', 'Chok')",4986899.67046195
45,"('dying', 'of', 'anticipation')",4986899.67046195
47,"('datum', 'direct', 'programming')",4841943.129908533
48,"('k', 'minus', 'm')",4469403.667988735
49,"('of', 'yearning', 'dying')",4274484.457572633
50,"('yearning', 'dying', 'of')",4274484.457572633
51,"('b', '3', 'Celsius')",4102166.058128961
52,"('Horner', ""'s"", 'rule')",3806511.670437786
53,"('1', '2', '3')",3796820.584127423
54,"('apply', 'generic', 'op')",3617515.365248668
55,"('enumerate', 'interval', '1')",3509896.8372295704
56,"('general', 'periodic', 'phenomena')",3404021.764761945
57,"('complex', 'z1', 'z2')",3393548.8447712553
58,"('period', 'many', 'frequency')",3209637.175731477
59,"('lambdum', 'x', 'y')",3146701.5706609394
60,"('cond', 'null', 'set')",3136190.8349706945
61,"('make', 'real', 'imag')",3084761.2337456034
62,"('', 'do', 'not')",2965453.514970779
63,"('Captain', 'Nemo', 'reply')",2925556.9279706674
