,trigram,chi-sq
0,"('Commercially', 'Prohibit', 'commercial')",38356887329.21154
1,"('Augustin', 'Alles', 'ist')",31964072776.38295
2,"('lieber', 'Augustin', 'Alles')",31964072776.38295
3,"('Prohibit', 'commercial', 'distribution')",31964072774.424694
4,"('CHARGES', 'For', 'DOWNLOAD')",27397776663.84263
5,"('copyray', '1990', '1993')",27397776663.84263
6,"('<<this', 'electronic', 'version')",15982036386.897808
7,"('Ach', 'du', 'lieber')",13698888332.805004
8,"('du', 'lieber', 'Augustin')",13698888332.805004
9,"('World', 'Library', 'INC')",12785629109.867928
10,"('CARNEGIE', 'MELLON', 'university')",11986527290.505009
11,"('Alles', 'ist', 'weg')",10654690925.523994
12,"('commercial', 'distribution', 'include')",6659181827.4127655
13,"('Others', 'personal', 'USE')",5993263645.266842
14,"('project', 'Gutenberg', 'ETEXT')",5046958859.173981
15,"('chateau', 'd', ""'If"")",4548275203.986188
16,"('ist', 'weg', 'weg')",3551612298.9591937
17,"('rosy', 'finger', 'Dawn')",2960651680.1925554
18,"('machine', 'READABLE', 'copies')",1880239572.7339878
19,"('mis', ""'ess"", 'Yeobray')",1616481890.264069
20,"('G.', 'G.', 'image')",1615026829.4223952
21,"('weg', 'weg', 'weg')",1183951867.283151
22,"('de', 'Saint', 'Meran')",844579152.1526816
23,"('mis', ""'ess"", 'Yeobright')",746141579.3258343
24,"('use', 'Commercially', 'Prohibit')",723714855.278981
25,"('Comte', 'de', 'Salvieux')",623697228.1704566
26,"('Palais', 'de', 'justice')",519741014.81008744
27,"('new', 'York', 'Herald')",285910440.46795833
28,"('please', 'visit', 'librivox.org')",236115667.59512264
29,"('mister', 'Jonas', 'Oldacre')",210763509.50194135
30,"('Mademoiselle', 'de', 'Saint')",173271013.31047517
31,"('For', 'DOWNLOAD', 'time')",172530078.33034286
32,"('mrs', 'Hilton', 'Cubitt')",158230946.12777075
33,"('morning', 'rosy', 'finger')",137605637.25475287
34,"('READABLE', 'copies', 'may')",135440983.8555374
35,"('volunteer', 'please', 'visit')",108465408.67099404
36,"('USE', 'only', 'And')",95443629.75975557
37,"('Falcon', ""'s"", 'Nest')",90294126.37459011
38,"('1990', '1993', 'by')",72327814.48078947
39,"('mister', 'Hilton', 'Cubitt')",70378509.1292581
40,"('finger', 'Dawn', 'appear')",68594927.59285352
41,"('for', 'MEMBERSHIP', '>>')",59801819.97156624
42,"('personal', 'USE', 'only')",50704426.01013427
43,"('M.', 'de', 'Villefort')",49649902.42393333
44,"('little', 'robber', 'maie')",44667947.872187585
45,"('enter', 'Friar', 'Laurence')",39923124.33739537
46,"('o', ""'"", 'clock')",36931155.438254274
47,"('Exeunt', 'Scene', 'second')",36348290.57887161
48,"(""'"", 'Paul', 'Jones')",35650987.83798234
49,"('1993', 'by', 'World')",33752977.45894192
50,"('by', 'World', 'Library')",33752977.45894192
51,"('at', 'Porto', 'Ferrajo')",31317315.86039357
52,"('or', 'Others', 'personal')",25855317.883695293
53,"('such', 'copies', '1')",24847686.66119983
54,"('Paul', 'Jones', ""'"")",24761121.305995557
55,"('that', 'CHARGES', 'For')",24202981.498907752
56,"('all', 'librivox', 'recording')",24086551.4187826
57,"('librivox', 'recording', 'all')",24086551.4187826
58,"('recording', 'all', 'librivox')",23982371.906714
59,"('about', 'Humpy', 'Dumpy')",22277327.298854187
60,"('M.', 'de', 'Salvieux')",22122017.120553594
61,"('mister', 'Sherlock', 'Holmes')",20086040.781054597
62,"('only', 'And', '2')",19884082.84320268
