,trigram,chi-sq
0,"('Red-', 'Head', 'LEAGUE')",94805010151.78911
1,"('bi-', 'Coloure', 'Python')",28892793545.728424
2,"('Coloure', 'Python', 'Rock')",28275186647.664337
3,"('Python', 'Rock', 'Snake')",25298852070.581
4,"('Saxe', 'Coburg', 'Square')",14045213510.556358
5,"('Suleiman', 'bin', 'Daoud')",10924696191.527699
6,"('Charles', 'le', 'Sorcier')",9564173577.459438
7,"('H.', 'P', 'Lovecraft')",9124107656.750746
8,"('misteRS', 'EYNSFORD', 'HILL')",8374746275.361713
9,"('H.', 'P', 'Lovecraave')",6982793042.434832
10,"('gree', 'greasy', 'Limpopo')",6193932756.956092
11,"('armou', 'rang', 'rattling')",3768087805.0823607
12,"('hello', 'Hello', 'hello')",3456438312.475823
13,"('Sir', 'Percival', 'Glyde')",1873356947.9907668
14,"('rue', 'd', '’Auseil')",1462629884.9184163
15,"('de', 'Bois', 'Guilbert')",989371536.5584693
16,"('ah', 'ah', 'ow')",963138658.8662457
17,"('de', 'la', 'Tremouille')",950988989.2261976
18,"('Wet', 'wild', 'Woods')",918157571.7858102
19,"('please', 'visit', 'librivox.org')",901311271.9045944
20,"('visit', 'librivox.org', 'record')",886114601.5742807
21,"('Brian', 'de', 'Bois')",879384202.1853297
22,"('LI', 'Z', 'A')",838797739.7864807
23,"('ow', 'ow', 'oo')",837945170.4114316
24,"('ah', 'ow', 'ow')",716943958.0306497
25,"('M.', 'de', 'Treville')",676699433.1801323
26,"('greasy', 'Limpopo', 'river')",669233561.1940267
27,"('volunteer', 'please', 'visit')",603956607.3547962
28,"('Pickwick', 'Esq.', 'G.')",588120404.8943925
29,"('Miss', 'Mary', 'Sutherland')",492813558.91379917
30,"('Samuel', 'Pickwick', 'Esq.')",367575483.44762427
31,"('de', 'la', 'Zouche')",361562772.34021264
32,"('grey', 'gree', 'greasy')",358030785.4688522
33,"('Ah', 'ah', 'ah')",356762906.4437518
34,"('Tottenham', 'court', 'road')",282247763.7934049
35,"('middle', 'class', 'morality')",212853305.94074145
36,"('Sir', 'Thomas', 'Clubber')",198534938.00827208
37,"('front', 'de', 'Boeuf')",188475786.08301544
38,"('lord', 'John', 'Roxton')",186600495.72995126
39,"('volonteer', 'please', 'visit')",180291008.92420936
40,"('narrow', 'oblong', 'box')",167775188.8964242
41,"('Reginald', 'front', 'de')",164916366.9418822
42,"('miste', 'de', 'Treville')",160015591.2855011
43,"('Monsieu', 'de', 'Treville')",153317732.54054537
44,"('pink', 'sloth', 'creature')",147147754.46156704
45,"('aegis', 'bear', 'Jove')",134852041.34571114
46,"('mister', 'Hosmer', 'Angel')",116326051.74881266
47,"('mister', 'Jabez', 'Wilson')",94182894.38877855
48,"('eight', 'o', '’clock')",89748997.20234707
49,"('yellow', 'dog', 'Dingo')",87528458.02034993
50,"('Payah', 'kun', ""'"")",83561745.85384993
51,"(""'"", 'satiable', 'curtiosity')",78725264.57075328
52,"('O', 'best', 'beloved')",76152568.5626278
53,"('Miss', 'EYNSFORD', 'HILL')",73909125.01057252
54,"('by', 'H.', 'P')",69565705.96367736
55,"('M.', 'de', 'la')",67785255.02176252
56,"('Pope', '’s', 'court')",59242102.54119338
57,"('shark', ""'s"", 'tooth')",58341268.513164066
58,"('white', 'kid', 'glove')",57795036.852100685
59,"('Philip', 'de', 'Malvoisin')",57535955.152777314
