,trigram,chi-sq
0,"('y', '-e', '-')",11867336576.424278
1,"('Hey', 'la', 'hey')",7928225851.034239
2,"('Louisa', 'May', 'Alcott')",7029708424.892979
3,"('la', 'hey', 'lum')",6689460164.920959
4,"('Dr', 'Van', 'Anden')",2990501138.8378167
5,"('u', 'm', 'm')",1732233615.8216305
6,"('universal', 'colour', 'Bill')",1043369590.0052767
7,"('East', 'fifty', 'fifth')",913969239.8342805
8,"('white', 'Linen', 'nurse')",808997671.5463593
9,"('Rattle', 'Pane', 'house')",712269951.342721
10,"('Percy', 'de', 'Brabazon')",702633752.0590571
11,"('Serial', 'letter', 'co')",642097615.341703
12,"('visit', 'librivox.org', 'record')",624013083.4059141
13,"('Lady', 'Jane', 'Grey')",529717938.7870388
14,"('Miss', 'Von', 'Eaton')",384031234.5300137
15,"('miss', 'Von', 'Eaton')",376862762.4419848
16,"('please', 'visit', 'librivox.org')",371651105.06661975
17,"('ha', 'hum', 'hum')",350730032.8000666
18,"('volunteer', 'please', 'visit')",259403770.13288528
19,"('ha', 'ha', 'ha')",246272494.87142074
20,"('south', 'end', 'Mission')",165571701.20014638
21,"('mister', 'de', 'Brabazon')",156585444.90909323
22,"('Traitor', ""'"", 'Gate')",148877882.08754763
23,"('Illustration', 'Illustration', 'CHAPTER')",136793950.93925163
24,"('', ""'ag"", 'Beomer')",99138164.70383318
25,"('working', 'class', 'hero')",84664849.55218737
26,"('lum', 'my', 'boyfriend')",80542043.51454724
27,"('four', 'hundred', 'muffin')",75460807.34376924
28,"('much', 'owest', 'thou')",73326338.09132543
29,"('hey', 'lum', 'my')",69035833.79507446
30,"('little', 'Eve', 'Edgarton')",68599625.67316896
31,"('o', ""'"", 'clock')",57794234.34214025
32,"('mrs', 'o', 'Keefe')",55905903.46458465
33,"('fifty', 'fifth', 'street')",49507057.04898363
34,"(""'r"", ""'"", 'ap')",46524357.33811757
35,"('P', ""'r"", ""'"")",44663359.56302446
36,"('Oh', 'ye', 'god')",40536021.242372364
37,"('all', 'librivox', 'recording')",39841169.65134575
38,"('librivox', 'recording', 'all')",39841169.65134575
39,"('recording', 'all', 'librivox')",39647666.96290372
40,"('fresh', 'water', 'pond')",33098760.22902
41,"('by', 'Louisa', 'May')",29437629.86313039
42,"('librivox.org', 'record', 'by')",28741019.320046496
43,"('Song', 'of', 'Songs')",28571925.842809435
44,"('white', 'linen', 'nurse')",28475376.076346554
45,"('old', 'John', 'Ellbertson')",27672034.97395806
46,"('deep', 'green', 'moss')",26501665.275705926
47,"('Marble', 'worker', ""'"")",25319362.534681495
48,"('public', 'domain', 'for')",21740946.324314643
49,"('twenty', 'five', 'cent')",19297855.69136848
50,"('hot', 'water', 'bottle')",18495718.210227374
51,"('mrs', 'evan', 'Roberts')",18470184.26423095
52,"('the', 'senior', 'Surgeon')",15283363.388748512
53,"('Wyatt', ""'s"", 'rebellion')",14884984.844370237
54,"('Welch', ""'s"", 'court')",14434070.795843696
55,"('Heaven', ""'s"", 'sake')",13355810.032301122
56,"('on', 'Madison', 'Avenue')",13164501.275751472
57,"('the', 'traveling', 'Salesman')",12776110.171962671
58,"('the', 'Rattle', 'Pane')",11650246.992149036
59,"('Elijah', 'the', 'Prophet')",9902359.021651242
60,"('of', 'Sight', 'recognition')",9855990.636779755
61,"('senior', 'Surgeon', ""'s"")",9785344.93683006
62,"('lady', 'Jane', 'Grey')",9568992.955008242
63,"('every', 'single', 'individual')",9149430.467848975
64,"('the', 'United', 'States')",8399965.53793031
65,"('Rockwell', 'Cooper', ""'s"")",7898382.296952877
66,"('', 'do', 'not')",7682848.8136349935
67,"('a', 'librivox', 'recording')",7677943.3121563485
68,"('struck', 'by', 'lightning')",7463420.082890363
69,"('earlier', 'than', 'usual')",7427433.652894343
70,"('a', 'public', 'domain')",7121686.233834675
71,"('worker', ""'"", 'association')",7089415.299158029
72,"('sooner', 'or', 'later')",6199928.272127018
73,"('yes', 'ma', ""'am"")",6107416.632413984
74,"('twenty', 'five', 'dollar')",6072170.597089864
75,"('librivox', 'recording', 'be')",5943476.247261024
76,"('Helene', 'Churchill', ""'s"")",5578896.296139198
77,"('the', 'Lay', 'reader')",5521373.100887548
78,"('five', 'minute', 'later')",5411315.760763296
79,"('the', 'Bengal', 'tiger')",5405357.890602032
80,"('burst', 'out', 'laughing')",5381300.789346409
81,"('the', 'Wolf', 'Hound')",5316955.562097398
82,"('Catharine', 'of', 'Aragon')",5272828.256910307
83,"('Linen', 'nurse', ""'s"")",5179864.629867718
84,"('', 'n', 'not')",5005696.126772755
85,"('Zillah', 'Forsyth', ""'s"")",4792975.276678038
86,"('twenty', 'four', 'hour')",4711325.388182488
87,"('slowly', 'very', 'complacently')",4667727.609436015
88,"('Rae', 'Malgregor', ""'s"")",4663562.368680276
89,"('the', 'white', 'Linen')",4632721.041262377
90,"('say', 'miss', 'Peyton')",4388026.417427625
91,"('Slocum', ""'s"", 'Yard')",4165765.2090746113
92,"('Eve', 'Edgarton', 'lift')",4164581.8619560525
93,"('traveling', 'Salesman', ""'s"")",3721873.3877401636
94,"('I', ""'"", 'll')",3381163.412590647
95,"('gale', 'of', 'merriment')",3268610.641876612
96,"('pretty', 'little', 'horsy')",3261589.370908187
97,"('eight', 'o', ""'"")",3256654.083232341
98,"('how', 'much', 'owest')",3221589.981006178
99,"('five', 'hundred', 'dollar')",3153212.5433838754
100,"('I', 's', ""'pose"")",3053128.8918710607
101,"('eleven', 'o', ""'"")",3007095.7987513626
102,"('Henry', 'the', 'Eighth')",2881650.011587553
103,"('garden', 'of', 'Eden')",2854346.832231892
104,"('the', 'Marble', 'worker')",2841875.5553711187
105,"('the', 'olive', 'grive')",2748389.1754872072
106,"('earl', 'of', 'Northumberland')",2696435.528986115
107,"('now', 'a-', 'day')",2557137.3564494057
108,"('more', 'information', 'or')",2541834.6662291638
109,"('of', 'Anne', 'Boleyn')",2531874.4849552293
110,"('Dr', 'Dennis', ""'"")",2460641.411401903
111,"('little', 'rose', 'Leaf')",2454650.4107953175
112,"('you', 'ma', ""'am"")",2411482.10460385
113,"('Policeman', 'Duffer', 'be')",2351219.250270715
114,"('ice', '-cream', 'and')",2314708.957171524
115,"('Sight', 'recognition', 'be')",2309498.0486556706
116,"('', 'can', 'not')",2226890.757376514
117,"('eight', 'or', 'nine')",2183283.0036645206
118,"('good', 'old', 'summertime')",2094133.8019236238
119,"('nine', 'o', ""'"")",2093200.0335468918
120,"('turn', 'upside', 'down')",2067000.5979869245
121,"('on', 'Pearl', 'street')",1997834.356329113
122,"('Od', 'or', 'even')",1897390.4505814859
123,"('', 'ai', 'not')",1879000.8483286262
124,"('boyfriend', ""'s"", 'back')",1852193.2268979405
125,"('Lily', 'Bell', ""'s"")",1731828.4924188603
126,"('Kalo', 'and', 'Muside')",1705321.4602141336
127,"('the', 'saving', 'bank')",1650384.7942234545
128,"('I', 'don', ""'t"")",1570484.8083835784
129,"('the', 'social', 'scale')",1563528.097245497
130,"('Bab', 'and', 'Betty')",1548303.5258249196
131,"('domain', 'for', 'more')",1536603.8903105054
132,"('year', 'older', 'than')",1470838.023611214
133,"('God', 'bless', 'us')",1466475.9312186157
134,"('art', 'of', 'Sight')",1446211.8928641216
135,"('two', 'or', 'three')",1408993.181516234
136,"('no', 'ma', ""'am"")",1378627.371209921
137,"('dron', 'little', 'Eve')",1367160.152222417
138,"('one', 'single', 'solitary')",1356406.4521080288
139,"('say', 'miss', 'Scott')",1326339.2337349786
140,"('in', 'New', 'York')",1308629.755999126
141,"('lick', 'his', 'lip')",1306443.966606384
142,"('the', 'Chief', 'Circle')",1304804.638151083
143,"('said', 'mrs', 'Jo')",1297621.3078539395
144,"('six', 'or', 'seven')",1295582.0902012277
145,"('at', 'eight', 'o')",1291755.5706822842
146,"('ma', ""'am"", 'I')",1287372.418843573
147,"('sense', 'of', 'Humor')",1286601.2763249022
148,"('half', '-way', 'up')",1259330.733843352
149,"('shrugge', 'his', 'shoulder')",1254127.3338763125
150,"('queen', 'of', 'Scots')",1167141.1964959379
151,"('', 'will', 'not')",1157746.0458520704
152,"('Queen', 'of', 'Scots')",1157618.8086393797
153,"('I', 'couldn', ""'t"")",1157277.7729372927
154,"('to', 'volunteer', 'please')",1152144.6769760626
155,"('the', 'hotel', 'proprietor')",1139394.7235877546
156,"('said', 'mrs', 'Moss')",1122896.0888044087
157,"('yes', ""'"", 'm')",1114628.4253482628
158,"('the', 'fir', 'bough')",1092718.4119366626
159,"('Van', 'Anden', 'be')",1092713.632885393
160,"('don', ""'t"", 'say')",1032081.2548763304
161,"('at', 'eleven', 'o')",1026303.470008367
162,"('of', 'Lily', 'Bell')",986048.7877863784
163,"('week', ""'s"", 'subscription')",977091.3974960938
164,"('a', 'great', 'deal')",957784.7854977158
165,"('get', 'ten', 'dollar')",953553.4149844608
166,"('King', 'Henry', ""'s"")",916505.9276667977
167,"('once', 'or', 'twice')",910603.0196354535
168,"('flesh', 'and', 'blood')",904968.0817389454
169,"('drawle', 'little', 'Eve')",900914.7681127182
170,"('Eve', 'Edgarton', ""'s"")",898267.7618251825
171,"('Col', 'Baker', 'be')",896686.7226607108
172,"('Lily', 'Bell', 'and')",896207.8744661849
173,"('with', 'intense', 'interest')",895804.8127493727
174,"('little', 'eve', 'Edgarton')",866229.2594801242
175,"('the', 'Spanish', 'match')",863142.213208794
176,"('Molly', 'make', 'believe')",862106.432058709
177,"('I', 'didn', ""'t"")",850802.6094742683
178,"('be', 'Dirk', 'Colson')",842670.7555354631
179,"(""'"", 'll', 'wager')",840671.9074941633
