,trigram,chi-sq
0,"('Instructor', 'Julie', 'Zelenski')",1882770129.99884
1,"('epocum', 'del', 'mito')",522991715.61315304
2,"('la', 'epocum', 'del')",245152702.743978
3,"('lum', 'lum', 'lum')",77139938.21815716
4,"('oh', 'oh', 'oh')",55162305.15802752
5,"('rude', 'boy', 'boy')",34232397.68566558
6,"('Dance', 'Dance', 'Dance')",21704718.795103665
7,"('human', 'interface', 'object')",18878475.721824404
8,"(""'m"", 'takin', ""'"")",10470164.992242798
9,"('here', 'rude', 'boy')",9443573.82960514
10,"('takin', ""'"", 'back')",8171725.170263949
11,"('gonnon', 'live', 'forever')",8018565.3067256445
12,"('miss', 'my', 'lovin')",6311953.2551343115
13,"('Baby', 'baby', 'take')",4908361.571174854
14,"('number', 'number', 'number')",4646376.4357519625
15,"('gonnon', 'miss', 'my')",4369822.408835793
16,"('get', 'lost', 'inside')",3076411.1516104476
17,"('into', 'la', 'epocum')",2600796.0655201445
18,"('come', 'here', 'rude')",1436250.024552349
19,"('span', 'of', 'control')",1390828.5432741921
20,"(""'"", 'mma', 'let')",1211968.9569905635
21,"('be', 'gonnon', 'miss')",1200077.326405361
22,"('shook', 'her', 'head')",1105128.324142528
23,"('sphere', 'of', 'influence')",1014137.5740612387
24,"('“I', 'don', '’t')",909286.3384403102
25,"(""'"", 'll', 'keep')",849535.6468199092
26,"('I', ""'m"", 'takin')",845861.9948652412
27,"('', 'ai', 'not')",816643.5030832979
28,"('my', 'lovin', ""'"")",799929.1841981573
29,"('it', 'Baby', 'baby')",716520.2261765692
30,"('ai', 'not', 'gonnon')",678072.8613167905
31,"('', 'do', 'not')",648719.3073113803
32,"('shook', 'his', 'head')",610142.5224473691
33,"('shake', 'her', 'head')",592735.7749015855
34,"('we', ""'"", 'll')",587238.5249785816
35,"('back', 'my', 'love')",584743.8579912438
36,"(""'"", 'll', 'never')",523174.2839514857
37,"('the', 'experiencing', 'self')",456634.67353831674
38,"('let', 'her', 'dance')",427901.62829534936
39,"(""'"", 'back', 'my')",399223.7315908774
40,"('', 'can', 'not')",398873.3658900815
41,"('a', 'half', 'dozen')",387759.46151902876
42,"('a', 'little', 'bit')",325903.3550544003
43,"('love', 'my', 'love')",294516.496305739
44,"('be', 'takin', ""'"")",288202.00060029497
45,"('the', 'remembering', 'self')",281462.34775723756
46,"('I', ""'"", 'mma')",234757.19896511483
47,"('mister', 'Raven', 'I')",211353.92375814027
48,"('love', 'I', ""'m"")",206253.75827923795
49,"('ll', 'never', 'find')",174638.0115663173
50,"('ll', 'keep', 'on')",172937.90397989666
51,"('didn', '’t', 'think')",148531.44686616506
52,"('take', 'it', 'Baby')",145434.56374022138
53,"('don', '’t', 'think')",142333.02897731456
54,"('don', '’t', 'want')",138245.24846971614
55,"('she', 'couldn', '’t')",126606.35998585072
56,"('sign', 'up', 'for')",123370.1248621831
57,"('little', 'bit', 'more')",122501.62079281996
58,"('I', ""'"", 'll')",120779.08234404649
59,"('take', 'a', 'sip')",116078.89098930126
