,trigram,chi-sq
0,"('ral', 'oo-ral-', 'i-do')",126302227396.86913
1,"('S', 'ral', 'oo-ral-')",68892109586.2076
2,"('Fizzy', 'fezzy', 'fuzzy')",50520880364.846565
3,"('Li', 'Mon', 'Eag')",30312722922.46898
4,"('Li', 'Mon', 'Eags')",26523716495.185642
5,"('Kut', 'kut', 'kut')",22026404586.236576
6,"('fiddle', 'cum', 'faddle')",21050371232.864384
7,"('iddle', 'oom', 'pom')",18216672759.309505
8,"('kut', 'kut', 'kum')",15733159329.49609
9,"('oom', 'pom', 'pom')",12144449013.345314
10,"('l', 'Frank', 'Baum')",8674519418.18868
11,"('L', 'Frank', 'BAUM.')",5413065931.300073
12,"('H.', 'M.', 'Wogglebug')",4399126554.169207
13,"('L', 'Frank', 'BAUM')",2255582334.74402
14,"('high', 'Coco', 'Lorum')",2085724419.9993868
15,"('mrs', 'Clayton', 'Vernon')",1788983012.6563017
16,"('six', 'snubnosed', 'Princesse')",1612404266.9938033
17,"('l', 'Frank', 'BAUM')",1393425212.963041
18,"('Antoinette', 'Seaver', 'Jones')",1029216221.7585902
19,"('Cap', ""'n"", 'Bill')",912439950.39897
20,"('L', 'Frank', 'Baum')",610012118.1643528
21,"('page', 'line', 'art')",609880322.7015806
22,"('ha', 'hum', 'hum')",533559290.981494
23,"('|', '|', '|')",369954631.6995311
24,"('line', 'art', 'drawing')",327321967.8132685
25,"('long', 'eared', 'Hearer')",265899411.3136793
26,"('Josie', 'O', 'Gorman')",259578665.45571697
27,"('line', '-Art', 'draw')",259527293.57875726
28,"('mrs', 'Antoinette', 'Seaver')",255836232.3332112
29,"('please', 'visit', 'librivox.org')",251065288.00648236
30,"('full', 'page', 'line')",237175687.13447568
31,"('Merry', 'go', 'Round')",203963676.8477942
32,"('go', 'Round', 'Mountains')",154231895.4398302
33,"('by', 'l', 'Frank')",148814951.38452077
34,"('volunteer', 'please', 'visit')",145617848.0798787
35,"('reg', ""'"", 'lar')",140852429.44832683
36,"('b', ""'"", 'lieve')",136247307.0376908
37,"('marry', 'Nimmie', 'Amee')",111095845.40198937
38,"('nine', 'tiny', 'piglet')",110322228.67224765
39,"('Rug-', 'ge', 'do')",104031707.61625972
40,"('Queen', 'Coo-ee', 'oh')",99498328.92372482
41,"('little', 'Bo', 'Peep')",94361866.99498619
42,"('studd', 'gold', 'dishpan')",91037703.87372634
43,"('Gran', ""'"", 'pum')",90062838.47091936
44,"('diamond', 'studd', 'gold')",76733991.81084171
45,"('Marooner', ""'"", 'Rock')",71804542.42214455
46,"('HOLLYWOOD', 'in', 'CALIFORNIA')",69566695.7297651
47,"(""'r"", ""'"", 'ap')",68425697.03608096
48,"('visit', 'librivox.org', 'record')",64379424.0340663
49,"('Ol', ""'"", 'Swallertail')",58640420.2030231
50,"(""'"", 'pum', 'Je')",58289984.558469474
51,"('reply', 'Dr', 'Leete')",54635878.02172998
52,"('John', 'O', 'Gorman')",52665484.56464196
53,"('all', 'librivox', 'recording')",48325322.8874872
54,"('librivox', 'recording', 'all')",48325322.8874872
55,"('recording', 'all', 'librivox')",48089649.97336994
56,"('invis', ""'"", 'ble')",48006515.683510564
57,"('P', ""'"", 'rap')",41672269.57651475
58,"('soft', 'shell', 'crab')",41238041.76571363
59,"('Colonel', 'James', 'Hathaway')",32185587.11333785
60,"('P', ""'r"", ""'"")",31769157.07485801
61,"('great', 'Blue', 'Grotto')",28793337.246633854
62,"('Garment', 'of', 'Repulsion')",25221927.782558724
63,"('Mantle', 'of', 'Immortality')",23645533.680692293
64,"('Arch', 'of', 'Phinis')",23406690.348365635
65,"('Cragg', ""'s"", 'Crossing')",23300161.213563602
66,"('Rain', 'of', 'Stones')",22419479.098794468
67,"('public', 'domain', 'for')",22327759.937982697
68,"('Rainbow', ""'s"", 'daughter')",21524749.888269797
69,"('Tony', 'Seaver', ""'s"")",20393884.63206561
70,"('o', ""'"", 'clock')",19998638.321599387
71,"('Slave', 'cry', 'Princess')",19135819.044603363
