,trigram,chi-sq
0,"('L.um', 'L.um', 'L.um')",642262559.0344037
1,"('cold', 'bloody', 'war')",69120786.36268458
2,"('gottum', 'die', 'gottum')",52577106.70623354
3,"('can’t', 'wake', 'up')",33566554.17956983
4,"('die', 'gottum', 'die')",28674033.18794922
5,"('better', 'lose', 'yourself')",9762707.81149786
6,"('sound', 'everybody', 'look')",8263742.946513508
7,"('from', 'cold', 'bloody')",7383819.085843611
8,"('o', ""'"", 'clock')",5989102.38279046
9,"('wild', 'so', 'beautiful')",5654683.446883509
10,"('smile', 'so', 'beautiful')",3991741.786645218
11,"('right', 'here', 'waiting')",3795275.0892145885
12,"('for', 'dangerous', 'driving')",3036623.2830757643
13,"('sorry', 'mister', 'Jackson')",2968876.858549652
14,"('warrior', 'Warrior', 'of')",2894479.369506522
15,"('run', 'from', 'cold')",2461282.256407796
16,"('I', 'can’t', 'wake')",2286070.26535624
17,"('be', 'warrior', 'Warrior')",2177389.116916004
18,"('opportunity', 'come', 'once')",2060497.6251413955
19,"('blow', 'this', 'opportunity')",1997329.19700614
20,"('beautiful', 'and', 'wild')",1993216.1948460941
21,"('tonight', 'you', 'kill')",1904696.706462271
22,"('', 'do', 'not')",1802600.0084484655
23,"('the', 'hitch', 'hiker')",1381152.6104781802
24,"('miss', 'you', 'chance')",1236815.5190979985
25,"('car', 'stop', 'suddenly')",1165486.9722765374
26,"('moot', 'i', 'half')",1142977.6551816668
27,"('remember', 'anything', 'about')",1128857.0630038814
28,"('keep', 'on', 'moving')",1101031.760025945
29,"('shit', 'you', 'gottum')",1012710.2813919844
30,"('quicke', 'my', 'end')",989214.5026409144
31,"('chance', 'to', 'blow')",905479.4773066617
32,"('that', 'sound', 'everybody')",853438.2436021909
33,"('everybody', 'look', 'what')",796038.9135075241
34,"('Wake', 'i', 'up')",732828.4167697823
35,"('roof', 'the', 'roof')",719956.3105391682
36,"('gottum', 'die', 'for')",659136.550634351
37,"('Oh', 'tonight', 'you')",560199.4895159347
38,"('better', 'never', 'let')",543890.7728343639
39,"('government', 'die', 'for')",540455.5150693379
40,"('any', 'further', 'then')",520040.6271863825
41,"('move', 'to', 'L.A')",495300.96066471277
42,"('', 'can', 'not')",487019.9977996368
43,"('lose', 'yourself', 'in')",474934.99537743983
44,"('go', 'any', 'further')",445244.1429042294
45,"('get', 'one', 'shot')",436526.2890405942
46,"('this', 'new', 'divide')",424968.64711914066
47,"('you', 'government', 'die')",423686.5061894903
48,"('you', 'gottum', 'die')",370555.0116599024
49,"('about', 'twenty', 'year')",344068.47311000054
50,"('lose', 'my', 'job')",340184.05145769514
51,"('best', 'the', 'best')",337978.4575465879
52,"('here', 'waiting', 'for')",333720.569398348
53,"('mile', 'a', 'hour')",327651.4193585319
54,"('at', 'new', 'York')",314736.2049547716
55,"('I', 'don', '’t')",313437.1487014975
56,"('fight', 'for', 'her')",224934.15217787656
57,"('colour', '', 'do')",224870.92062954945
58,"('a', 'good', 'deal')",217120.2575758468
59,"('she', 'fight', 'for')",207996.67105940782
60,"('the', 'police', 'station')",207828.0813449658
61,"('across', 'this', 'new')",202366.5750189392
62,"('hitch', 'hiker', 'be')",191855.59456446953
63,"('mister', 'Jackson', ""'s"")",186851.8898657494
