,en,ru,fr
0,before,до,avant
1,before,до,auparavant
2,before,до,précédant
3,before,впереди,devant
4,before,пред,devant
5,before,накануне,juste avant
6,before,передо,devant
7,before,прежде,avant
8,before,прежде,déjà
9,before,прежде,précédemment
10,before,прежде,auparavant
11,before,прежде,passé
12,before,раньше,avant
13,before,раньше,déjà
14,before,раньше,précédemment
15,before,раньше,auparavant
16,before,раньше,passé
17,before,до этого,auparavant
18,before,в преддверии,avant
19,before,до наступления,avant
20,before,прежде чем,avant
21,before,прежде чем,avant que
22,before,прежде нежели,avant
23,before,прежде нежели,déjà
24,before,прежде нежели,auparavant
25,before,пока,avant que
26,adverb,наречие,adverbe
27,during,в течение,pendant
28,during,во время,pendant
29,during,в процессе,pendant
30,during,во,no_equality
31,airport,аэропорт,aéroport
32,airport,авиапорт,no_equality
33,airport,аэровокзал,no_equality
34,airport,аэропортовый,no_equality
35,drum,барабан,tambour
36,drum,барабанный бой,no_equality
37,drum,бочка,baril
38,drum,барабанчик,no_equality
39,drum,барабанщик,no_equality
40,drum,бубен,tambour
41,drum,ударный инструмент,no_equality
42,drum,партия ударных,tambour
43,drum,барабанная перепонка,no_equality
44,drum,дробь,no_equality
45,drum,Бикс,no_equality
46,drum,барабанить,no_equality
47,drum,ударный,no_equality
48,empty,пустой,vide
49,empty,бессодержательный,creux
50,empty,пустынный,désert
51,empty,свободный,libre
52,empty,голодный,no_equality
53,empty,опорожнять,vider
54,empty,пустеть,no_equality
55,empty,высыпать,no_equality
56,empty,очистить,vider
57,empty,пустота,no_equality
58,empty,опорожнение,no_equality
59,empty,пустышка,no_equality
60,empty,порожняк,no_equality
61,empty,пустующий,no_equality
62,empty,порожняком,no_equality
63,dressed,одетый,habillé
64,dressed,облаченный,no_equality
65,dressed,заправленный,no_equality
66,dressed,выделанный,no_equality
67,dressed,украшенный,no_equality
68,dressed,обтесанный,no_equality
69,dressed,одеваемый,no_equality
70,dressed,одевший,no_equality
71,cafe,кофейня,café
72,cafe,буфет,no_equality
73,cafe,кафе-ресторан,café
74,cafe,кафе-ресторан,bar
75,flight,полет,vol
76,flight,стая,no_equality
77,flight,бегство,fuite
78,flight,пролет,escalier
79,flight,взлет,no_equality
80,flight,налет,vol
81,flight,облет,no_equality
82,flight,отлет,no_equality
