,word_id,word,wordform
0,3647166,pises,"['jam', 'pis', 'pare', 'pi', 'hop', 'wtf']"
1,3648008,intermediating,"['intermediates', 'intermediate', 'intermediators', 'intermediations', 'intermediator', 'intermediation']"
2,3648595,improveing,"['improvements', 'improved', 'improve', 'improving', 'improvers', 'improver', 'improves', 'improvement']"
3,3648881,reproofing,"['reproofs', 'reload', 'detroit', 'reproof', 'repeated', 'weirdos']"
4,3649055,commercialise,"['commercialisations', 'commercialisation']"
5,3649103,pauseing,"['puss', 'paused', 'push', 'pause', 'pausing', 'pauses']"
6,3649415,generationals,"['generations', 'generate', 'generating', 'generated', 'generative', 'generates', 'generator', 'generational', 'generation', 'generators']"
7,3650270,wastings,"['wastage', 'wastages', 'wasters', 'wasting', 'wasted', 'wastes', 'waste', 'waster']"
8,3650912,ringses,"['rung', 'ringings', 'ring', 'ringing', 'ringer', 'ringers', 'rings']"
9,3651279,bullys,"['bullied', 'bullies', 'bully', 'boldly', 'bullying', 'badly']"
10,3651581,methos,"['method', 'mezzo', 'fetuses', 'macho', 'metro', 'ether']"
11,3651799,joggles,"['doggie', 'joggling', 'joggle', 'joggled', 'juggler']"
12,3652095,stymieing,"['stymie', 'stymies', 'skyline', 'statue', 'staples', 'thyme']"
13,3654072,triangularity,"['triangularities', 'triangles', 'triangular', 'triangle', 'triangulated', 'triangulation', 'triangulating', 'triangulate', 'triangulates', 'triangulations']"
14,3654568,transferables,"['transferabilities', 'transferable', 'transferability']"
15,3657561,bonforte,"['concerts', 'pinafore', 'connote', 'converged', 'conserve', 'bonkers']"
16,3657708,caretaker,"['partaking', 'caretakers', 'carriers', 'partaken', 'crusader']"
17,3658991,tuvok,"['avow', 'sunk', 'tracks', 'kooks', 'throws', 'throes']"
18,1062574,nras,"['arya', 'arc', 'yea', 'orca', 'bray', 'via']"
19,1063016,sitars,"['sear', 'stay', 'stag', 'swear', 'sitar']"
20,1063044,abstinences,"['abstention', 'abstinence', 'abstainer', 'abstinent', 'abstains', 'abstain', 'abstinents', 'abstained', 'abstaining', 'abstentious', 'abstentions', 'abstainers']"
21,1063070,foliages,"['foiling', 'foliage', 'foliating', 'foliations', 'foliated', 'foliation', 'foilings', 'foliates', 'foil', 'foliate', 'foils', 'foiled']"
22,1063200,repentants,"['repent', 'repents', 'repentance', 'repented', 'repentances', 'repenting', 'repentant', 'repentantly']"
23,1063334,absolutists,"['absolutist', 'absolutistic', 'absolutism', 'absolutisms']"
24,1063522,misdirects,"['misdirections', 'misdirecting', 'misdirection', 'misdirected', 'misdirect']"
25,1063589,prestiges,"['prestigiousnesses', 'prestige', 'prestigiousness', 'prestigious']"
26,1063639,dinnertimes,"['mannerisms', 'diversions', 'dinnertime', 'incentive', 'vignettes']"
27,1063723,floaties,"['floatation', 'floaty', 'floatations', 'floater', 'flotations', 'flotation', 'floating', 'floats', 'float', 'floated', 'floatings', 'floaters']"
28,1064006,gestations,"['gestated', 'gestates', 'gestation', 'gestate', 'gestating', 'gestational']"
29,1064172,silicons,"['lexicon', 'silicone', 'salmon', 'silicon', 'billions']"
30,1064189,sledder,"['sleds', 'sledding', 'sleddings', 'sled', 'sledders']"
31,1064261,coning,"['cod', 'hon', 'sons', 'con', 'cons', 'ion']"
32,1064338,refloated,"['refloating', 'rollout', 'refloat', 'refloats', 'zealot']"
33,1065743,modernisms,"['modernist', 'journalism', 'modernists', 'modernism', 'modernistic']"
34,1065888,overgrowths,"['overworked', 'overlooking', 'overstate', 'overgrowth', 'overreacted']"
35,1066125,pley,"['peers', 'leg', 'len', 'plows', 'paler', 'pep']"
36,1066244,disbelieves,"['disbelief', 'disbelievers', 'disbelieving', 'disbeliefs', 'disbelieved', 'disbelieve', 'disbeliever']"
37,1066267,inducible,"['crucible', 'unusable', 'unbuckle', 'indelibly', 'knuckles', 'inquired']"
38,1066502,loyals,"['loyal', 'loyally']"
