,word_id,word,wordform
0,513988,hoofing,"['hoofs', 'hoofer', 'hoof', 'hoofed', 'hoofers', 'hoofings']"
1,514044,acquaints,"['acquaintanceships', 'acquaintanceship', 'acquaintance', 'acquaintances', 'acquainted', 'acquaint', 'acquainting']"
2,514083,spieled,"['spiel', 'spiels', 'stills', 'spike', 'spieling']"
3,514120,sooting,"['sootiness', 'soot', 'sootinesses', 'sooty', 'soots', 'sooted']"
4,514127,holocausts,"['holocaust', 'honorable', 'forecasts', 'bookcase', 'coloratura']"
5,514167,oldtimer,"['loitering', 'courtiers', 'slithered', 'pastimes', 'oldtimers']"
6,514181,usufructs,"['suspects', 'usufructuaries', 'spruces', 'usufructuary', 'usufruct']"
7,514189,adventuresses,"['advertising', 'earnestness', 'addressing', 'adventuress', 'parenthesis']"
8,514212,hitchcock’s,"['kitchens', 'mischance', 'nitpicking', 'headlock', 'shithole', 'richmond']"
9,514275,meddlings,"['meddlers', 'meddling', 'meddle', 'meddles', 'meddled', 'meddler']"
10,514301,seaboard’s,"['seasoned', 'standard', 'laggard', 'seaboards', 'seaboard', 'laboring']"
11,514604,underrates,"['underratings', 'underrating', 'underrated', 'underrate']"
12,514715,art’s,"['arty', 'arts', 'artistic', 'artists', 'artist', 'artistically', 'art']"
13,514895,europes,"['scrapes', 'neurons', 'proper', 'furze', 'crops', 'throe']"
14,514896,africas,"['arity', 'acrid', 'aurora', 'aerie', 'brick', 'arenas']"
15,514933,lakesides,"['otherside', 'capsized', 'lakeside', 'residue', 'insides']"
16,514936,shmuck,"['spruces', 'sharks', 'mocks', 'shmucks', 'struck']"
17,514956,reminisces,"['reminisce', 'reminiscing', 'reminiscence', 'reminisced', 'reminiscently', 'reminiscent', 'reminiscences']"
18,514973,throaties,"['throaty', 'throat', 'throats']"
19,514974,manges,"['manginess', 'mangy', 'mangily', 'mangey', 'mange', 'manginesses']"
20,514975,livening,"['livened', 'liven', 'ever', 'livens', 'eave']"
21,515059,heterogeneities,"['heterogeneousness', 'heterogeneousnesses', 'heterogeneous', 'heterogeneity', 'reverberating']"
22,515062,requesters,"['requester', 'sequitur', 'pestered', 'requires', 'receptors']"
23,515073,boners,"['boner', 'bone', 'boar', 'buyer', 'bonnet']"
24,515098,puttying,"['puttied', 'lusty', 'putty', 'putties', 'musty']"
25,515125,swiming,"['swimmer', 'swims', 'swimmings', 'swam', 'swimming', 'swimmers', 'swum', 'swim']"
