,word_id,word,wordform
0,53939,tradesmen,"['traditions', 'tradeoffs', 'guardsman', 'marksman', 'tradesman', 'tradesmans']"
1,53940,irritated,"['indicated', 'privates', 'critters', 'hesitated', 'hesitates']"
2,53941,stairs,"['stair', 'stands', 'steers', 'stasis', 'stag']"
3,53942,trumps,"['trumpings', 'truman', 'trumping', 'trump', 'trumped']"
4,53944,palming,"['sole', 'solely', 'palmar', 'soles', 'palm', 'soling', 'palmed', 'soled', 'palms']"
5,53945,miles,"['milers', 'mild', 'Nile', 'mile', 'miler']"
6,53947,hazarded,"['hazard', 'hazardous', 'hazards', 'hazardousness', 'hazardousnesses', 'hazarding', 'hazardously']"
7,53948,queried,"['query', 'queries', 'queriers', 'querier', 'querying']"
8,53949,workmen,"['workmate', 'workmanship', 'workman', 'workmanships', 'foreman']"
9,53950,mused,"['musingly', 'muse', 'muser', 'musing', 'musings', 'muses', 'musers']"
10,53951,surveyed,"['surveyor', 'surveyors', 'surveyings', 'surveying', 'survey', 'surveys']"
11,53955,covertly,"['covertnesses', 'coverts', 'overrun', 'covertness', 'covert']"
12,53956,patients,"['patience', 'patiences', 'patiently', 'potent', 'patient']"
13,53960,occupied,"['occupations', 'occupying', 'occupiers', 'occupy', 'occupier', 'occupancies', 'occupancy', 'occupants', 'occupation', 'occupies', 'occupant']"
14,53964,tenants,"['tenantry', 'tenanted', 'tenancy', 'tenant', 'tenantries', 'tenancies', 'tenanting']"
15,53965,predecessors,"['precessions', 'precedences', 'precedents', 'precedent', 'precedential', 'preceded', 'precede', 'precedencies', 'precedes', 'precedence', 'predecessor', 'precedency', 'preceding', 'precession']"
16,53966,chimed,"['chimes', 'shires', 'chime', 'chase', 'chiming']"
17,53968,glided,"['glider', 'gliding', 'glidings', 'glides', 'gliders', 'glide']"
18,53969,sighed,"['sim', 'sighs', 'sighing', 'sigh', 'wish']"
19,53970,bricklayers,"['backwaters', 'sprinklers', 'bracelets', 'breakages', 'bricklayer']"
20,53973,fireplace,"['fireside', 'preparing', 'birthplace', 'fuselage', 'fireplaces']"
21,53975,reappeared,"['reappearances', 'reappearance', 'reappear', 'reappearing', 'reappears']"
22,53977,trotted,"['trot', 'trotting', 'trotter', 'trotters', 'trots']"
23,53978,boards,"['boarders', 'boarded', 'boarding', 'boarder', 'board']"
24,53982,dejected,"['dejectedly', 'dejects', 'deject', 'dejecting', 'dejections', 'dejection']"
25,53985,securing,"['secureness', 'securer', 'secures', 'secured', 'secure', 'security', 'securenesses', 'securely', 'securers', 'securities']"
26,53986,tarpaulins,"['tarpaulin', 'battalion', 'palpably', 'zeppelin', 'threatened']"
27,53987,cured,"['curings', 'curabilities', 'curability', 'cures', 'curing', 'curablenesses', 'cure', 'curable', 'curative', 'curatives', 'curableness']"
28,53989,believing,"['belief', 'beliefs', 'believers', 'believable', 'believe', 'believability', 'believably', 'believabilities', 'believed', 'believer', 'believings', 'believes']"
29,53991,novels,"['novelist', 'novelette', 'novel', 'novelettes', 'novelists']"
30,53992,containing,"['containerise', 'coloniser', 'contented', 'contenting', 'colonization', 'colonized', 'continences', 'content', 'containerizes', 'colonisations', 'containerized', 'continency', 'continental', 'containments', 'colonists', 'continencies', 'Colonys', 'Colony', 'colonisation', 'contents', 'contentments', 'continent', 'containerize', 'container', 'colonials', 'contentment', 'containerizing', 'contain', 'colonial', 'colonizer', 'colonizations', 'containers', 'continence', 'colonies', 'contains', 'colonizes', 'colony', 'contained', 'colonize', 'colonise', 'colonizers', 'colonist', 'continents', 'containment', 'colonizing', 'colonisers']"
31,53993,characters,"['characteristics', 'characterization', 'charactered', 'characterizes', 'character', 'charactering', 'characterized', 'characterize', 'characterisation', 'characterisations', 'characteristic', 'characterise', 'characteristically', 'characterizing', 'characterizations']"
32,53994,seconds,"['seconders', 'seconder', 'second', 'seconded', 'seconding', 'secondment', 'secondments']"
33,54006,jacobses,"['races', 'lacks', 'favor', 'boobs', 'falcon', 'majors']"
34,54009,josephses,"['spying', 'rises', 'loopy', 'roses', 'jerseys', 'weepy']"
35,54013,endangering,"['endangers', 'messenger', 'endangered', 'endanger', 'engineers']"
36,54015,christened,"['christen', 'hostels', 'christenings', 'christens', 'christening']"
37,54017,waterloo,"['afternoon', 'waterloos', 'warlord', 'exteriors', 'catalog']"
38,54018,napier,"['brazier', 'amber', 'spiel', 'saner', 'snipers', 'mater']"
39,54020,tablecloth,"['stalemate', 'wavelength', 'cheesecloth', 'tablecloths', 'anecdotes']"
40,54023,anxiousness,"['anxiousnesses', 'announcing', 'mindfulness', 'anxiously', 'anxious']"
41,54024,presumed,"['presumptuous', 'presumptuousness', 'presumptions', 'presumptuously', 'presumption', 'presumptive', 'presumes', 'presume', 'presuming', 'presumptuousnesses']"
42,54025,windows,"['winners', 'cinder', 'window', 'sinew', 'widows']"
43,54027,choked,"['hooked', 'chores', 'chords', 'shooed', 'chore']"
44,54028,murmured,"['murmur', 'murmuration', 'murmuring', 'murmurer', 'murmurs', 'murmurous', 'murmurers', 'murmurings', 'murmurations']"
45,54029,thoughtfully,"['reproachfully', 'thoughtful', 'thoroughfare', 'thoughtfulnesses', 'thoughtfulness']"
46,54031,boys,"['boyhoods', 'boyhood', 'boy', 'boos', 'bays']"
47,54032,tunes,"['tuner', 'tuned', 'tuning', 'tunings', 'tune', 'tuners']"
48,54033,annie,"['angles', 'antics', 'anvil', 'aerie', 'auntie', 'acne']"
49,54034,laurie,"['lurks', 'marries', 'sauce', 'lyric', 'hares', 'varied']"
50,54035,regarded,"['hazards', 'shards', 'regard', 'regards', 'regarding']"
51,54039,announced,"['announces', 'announce', 'annunciatory', 'annunciations', 'announcements', 'announcing', 'announcer', 'announcers', 'annunciation', 'announcement']"
52,54044,toes,"['ton', 'toed', 'tot', 'toe', 'toeing']"
53,54047,cleaving,"['cloven', 'clefts', 'cleaves', 'cleavers', 'cleft', 'cleave', 'cleaver', 'cleavage', 'clove', 'cleavages']"
54,54048,tones,"['tone', 'intonating', 'intoning', 'tonality', 'toning', 'tonal', 'intonated', 'tonalities', 'intonates', 'intoned', 'toned', 'intones', 'toners', 'tonicity', 'tonic', 'toner', 'tonicities', 'intonations', 'intonation', 'tonics', 'intonate', 'tonuses', 'tonus', 'intone']"
55,54050,assisted,"['assistance', 'assistants', 'assistant', 'assist', 'assistances', 'assistive', 'assisting', 'assists']"
56,54051,intervals,"['paternal', 'internals', 'interest', 'interview', 'interval']"
57,54052,shades,"['shaded', 'shading', 'shadinesses', 'shade', 'shady', 'shadiness', 'shadings']"
58,54053,strangled,"['strangling', 'strangler', 'strangulating', 'stranglers', 'stranglings', 'strangulation', 'strangle', 'strangulations', 'strangulates', 'strangles', 'strangulate', 'strangulated']"
59,54054,plays,"['playing', 'play', 'playlets', 'playings', 'players', 'played', 'player', 'playlet']"
60,54055,melodies,"['melodiously', 'melodiousness', 'melodized', 'melodize', 'melodizes', 'melodious', 'melodizing', 'melodiousnesses', 'melody']"
61,54061,authors,"['author', 'auctorial', 'authorships', 'authorial', 'authorship']"
62,54063,shrinking,"['shrinkings', 'shrunken', 'shrunk', 'shrinkages', 'shrink', 'shrinks', 'shrinkage']"
63,54064,writers,"['writing', 'write', 'writes', 'writer', 'wrote', 'written', 'writings']"
64,54066,circumstances,"['circumcised', 'circumstance', 'circumstantial', 'cornerstone', 'circumstantially']"
65,54069,reasons,"['reasoner', 'reason', 'reasoners', 'reasonings', 'reasoning', 'reasoned']"
66,54070,replacing,"['replace', 'replacements', 'replacings', 'replaced', 'replacement', 'replaces']"
67,44290,vindictive,"['inductive', 'indicated', 'vindictivenesses', 'vindictively', 'vindictiveness']"
68,44291,vine,"['times', 'mint', 'linen', 'Nile', 'vines']"
69,44294,vinegar,"['integers', 'ringer', 'zinger', 'vinegars', 'mineral']"
70,44295,vinegary,"['victory', 'vinegariness', 'vinegarinesses', 'sanitary', 'lifeguard']"
71,44297,vineyard,"['shipyard', 'Finland', 'lizards', 'vineyards', 'misheard']"
72,44299,vino,"['lin', 'vinoes', 'binds', 'inns', 'kin']"
73,44300,vinous,"['wineries', 'winy', 'wining', 'wines', 'vinaceous', 'winey', 'vinification', 'vinifications', 'vinify', 'winery', 'wined', 'wine']"
74,44301,vintage,"['intire', 'vestiges', 'montague', 'vicarage', 'vintages']"
75,44303,vintner,"['dither', 'pointer', 'vintners', 'winter', 'banners']"
76,44304,viol,"['rio', 'viols', 'ion', 'ail', 'via']"
77,44305,viola,"['violas', 'molars', 'fellas', 'sidle', 'viva']"
78,44307,violate,"['violator', 'violators', 'violative', 'violating', 'violations', 'violable', 'violation', 'violates', 'violated']"
79,44308,violation,"['violator', 'violators', 'violative', 'violate', 'violating', 'violations', 'violable', 'violates', 'violated']"
80,44309,violator,"['violators', 'violative', 'violate', 'violating', 'violations', 'violable', 'violation', 'violates', 'violated']"
81,44310,violence,"['violences', 'distances', 'violets', 'violently', 'violent']"
82,44311,violent,"['violences', 'violets', 'violently', 'potent', 'violence']"
83,44312,violently,"['violences', 'vileness', 'silently', 'violent', 'violence']"
84,44313,violet,"['poets', 'cutlets', 'violets', 'giblets', 'fillers']"
85,44314,violin,"['violinist', 'violins', 'violinists', 'violets', 'goblins']"
86,44315,violinist,"['violin', 'violins', 'violinists', 'volition', 'vileness']"
87,44318,viper,"['vipers', 'bipeds', 'hiker', 'pipes', 'biped']"
88,44321,viral,"['feral', 'viruses', 'axial', 'equal', 'virus']"
89,44322,virgin,"['virginities', 'virgins', 'virginals', 'virginal', 'virginity']"
90,44323,virginal,"['virginities', 'virgins', 'virginals', 'virgin', 'virginity']"
91,44324,virginity,"['virginities', 'virgins', 'virginals', 'virgin', 'virginal']"
92,44326,virile,"['pimples', 'virilities', 'circle', 'villa', 'virility']"
93,44327,virility,"['fidelity', 'virile', 'aridity', 'virilities', 'variety']"
94,44328,virology,"['virologists', 'virologist', 'virologies', 'virological']"
95,44329,virtu,"['vortex', 'mites', 'virtus', 'rictus', 'bits']"
96,44330,virtual,"['steals', 'sexual', 'vertices', 'tribal', 'virtually']"
97,44331,virtually,"['arguably', 'unusually', 'virtual', 'formally', 'sexually']"
98,44332,virtue,"['virtuousnesses', 'virtues', 'virtuous', 'virtuousness', 'virtuously']"
99,44333,virtuosi,"['tortuous', 'hartford', 'witless', 'virtuosos', 'virtuoso', 'overturn']"
100,44335,virtuoso,"['tortuous', 'hartford', 'witless', 'virtuosos', 'overturn']"
101,44336,virtuous,"['virtuousnesses', 'virtue', 'virtues', 'virtuousness', 'virtuously']"
102,44337,virulence,"['virulences', 'virulency', 'virulencies', 'virulent', 'virulently']"
103,44338,virulent,"['virulences', 'virulency', 'virulencies', 'virulently', 'virulence']"
