,word_id,word,wordform
0,77569,grudging,"['grudge', 'ridge', 'grudges', 'grudged', 'grudgingly']"
1,77574,charwomen,"['horseman', 'charlotte', 'horsemen', 'chairman', 'charwoman']"
2,77576,prepares,"['preparatory', 'preparation', 'prepare', 'preparative', 'prepared', 'preparations', 'preparing']"
3,77589,incarcerated,"['incarceration', 'incarcerates', 'incarcerations', 'incarcerate', 'incarcerating']"
4,77590,counterpanes,"['underpinning', 'counterpane', 'consecrate', 'constipate', 'conversant']"
5,77594,saloons,"['slosh', 'saffron', 'salon', 'falcon', 'saloon']"
6,77596,exotics,"['exoticness', 'exotic', 'exoticnesses']"
7,77603,equestrians,"['horseback_riding', 'horseback_ridings', 'knights', 'knighted', 'ride_horseback', 'knight', 'equestrian', 'knightly', 'knighting']"
8,77610,thay,"['hats', 'teat', 'thuds', 'shat', 'hap', 'wha']"
9,77615,greets,"['greeter', 'greetings', 'greet', 'greeted', 'greeting', 'greeters']"
10,77631,chez,"['hexes', 'chas', 'cheat', 'chins', 'clef', 'theo']"
11,77640,monde,"['modes', 'nonce', 'bone', 'mounds', 'hone', 'mend']"
12,77649,socialists,"['socialistic', 'socially', 'socialist', 'socialism', 'socialisms']"
13,77655,logicians,"['logician', 'logistician', 'logics', 'logisticians', 'logic']"
14,77660,drawling,"['drawlers', 'drawler', 'drawl', 'drawls', 'drawled']"
15,77663,salons,"['satin', 'palo', 'sons', 'salon', 'falcon']"
16,77668,contraries,"['contrarily', 'contrary', 'contrariness', 'funerary', 'contrarinesses']"
17,77675,Wellington,"['elimination', 'pollinated', 'washington', 'definitions', 'Wellingtons']"
18,77678,tappings,"['taps', 'tapping', 'tapper', 'tapped', 'tapsters', 'tappers', 'tap', 'tapster']"
19,77679,himalaya,"['dismally', 'niagara', 'highway', 'rivalries', 'homeland', 'implant']"
20,77685,dames,"['dame', 'jam', 'dope', 'dare', 'races']"
21,77686,paralyzing,"['paddles', 'partaking', 'paralyzes', 'paralyzed', 'paralyze']"
22,77689,bodyguard,"['body_guard', 'bounding', 'lifeguard', 'laggards', 'bodyguards']"
23,77694,disorders,"['disorder', 'dissolved', 'pondered', 'disordered', 'disordering']"
24,77695,caravans,"['caravanned', 'caravan', 'caravanning', 'carver', 'caraway']"
25,77696,jettisoning,"['monitoring', 'bestselling', 'antisocial', 'belongings', 'unthinking', 'wellspring']"
26,77702,voila,"['roil', 'foil', 'veils', 'holla', 'villa', 'viva']"
27,77707,ou,"['pro', 'wet', 'dew', 'sons', 'hop', 'wtf']"
28,77711,he—he,"['hefts', 'memes', 'hares', 'helps', 'hopes', 'hoses']"
29,77713,goodwin,"['wooded', 'ordain', 'knowin', 'shoutin', 'growly', 'goldmine']"
30,77719,bazaars,"['bezoar', 'hazmat', 'basal', 'bazaar', 'bankers']"
31,77720,clutching,"['blotch', 'crutch', 'clutch', 'clutches', 'clutched']"
32,77721,reconnoitred,"['reconnoitres', 'reconnoiterings', 'reconnoiter', 'reconnoitre', 'reconnoitering', 'reconnoitrings', 'reconnaissance', 'reconnoitring', 'reconnaissances']"
33,77731,negotiated,"['negotiators', 'negotiates', 'negotiating', 'negotiator', 'negotiable', 'negotiant', 'negotiation', 'negotiations', 'negotiate', 'negotiants']"
34,77733,cockerels,"['coppers', 'mackerel', 'cracker', 'cockerel', 'counsel']"
35,77738,communed,"['Communion', 'commune', 'communions', 'communes', 'communisation', 'communion', 'communing', 'communisations', 'communise', 'Communions']"
