,en,fr,ru
0,before,avant,прежде чем
1,before,avant,ранний
2,before,avant,прежде
3,before,avant,до тот
4,before,avant,ранее
5,before,avant,до наступление
6,before,avant,перед
7,before,avant,пока
8,before,avant,
9,before,auparavant,прежде
10,before,auparavant,ранее
11,before,auparavant,до это
12,before,auparavant,
13,adverb,adverbe,наречие
14,during,lors,в время
15,during,lors,после
16,during,lors,этап
17,during,lors,
18,during,durant,в ход
19,during,durant,на протяжение
20,during,durant,в течение
21,during,durant,в время
22,during,durant,пока
23,during,durant,летом
24,during,durant,этап
25,during,durant,
26,airport,aéroport,аэропорт
27,airport,aéroport,аэродром
28,drum,Tambour,барабан
29,drum,Tambour,барабанный
30,drum,fût,no_equality
31,empty,vide,пустой
32,empty,vide,порожний
33,empty,vide,пустота
34,empty,vider,опустошить
35,empty,vider,освободить
36,empty,vider,очистить
37,empty,vider,опорожнять
38,empty,vider,освобождать
39,cafe,café,кафе
