,en,fr,ru
0,before,avant,прежде чем
1,before,avant,ранний
2,before,avant,прежде
3,before,avant,до тот
4,before,avant,ранее
5,before,avant,до наступление
6,before,avant,перед
7,before,avant,пока
8,before,avant,
9,before,auparavant,прежде
10,before,auparavant,ранее
11,before,auparavant,до это
12,before,auparavant,
13,adverb,adverbe,наречие
14,during,lors,в время
15,during,lors,после
16,during,lors,этап
17,during,lors,
18,during,durant,в ход
19,during,durant,на протяжение
20,during,durant,в течение
21,during,durant,в время
22,during,durant,пока
23,during,durant,летом
24,during,durant,этап
25,during,durant,
26,airport,aéroport,аэропорт
27,airport,aéroport,аэродром
28,drum,Tambour,барабан
29,drum,Tambour,барабанный
30,drum,fût,no_equality
31,empty,vide,пустой
32,empty,vide,порожний
33,empty,vide,пустота
34,empty,vider,опустошить
35,empty,vider,освободить
36,empty,vider,очистить
37,empty,vider,опорожнять
38,empty,vider,освобождать
39,cafe,café,кафе
40,flight,vol,полёт
41,flight,vol,рейс
42,flight,vol,самолёт
43,flight,vol,перелёт
44,flight,vol,вылет
45,flight,vol,билет
46,flight,vol,пролёт
47,flight,vol,
48,begin,commencer,начать
49,begin,commencer,начаться
50,begin,commencer,начинать
51,begin,commencer,приступить к
52,begin,commencer,начинаться
53,begin,commencer,стать
54,begin,commencer,начало
55,begin,commencer,
56,fact,fait,факт
57,fact,fait,тот
58,fact,fait,дело
59,fact,fait,
60,dream,rêve,мечта
61,dream,rêve,сон
62,dream,rêve,сказка
63,dream,rêver,мечтать
64,dream,rêver,сниться
65,dream,rêver,помечтать
66,dream,rêver,видеть сон
67,dream,rêver,спать
68,dream,rêver,присниться
69,dream,rêver,грезить
70,dream,rêver,увидеть в сон
71,dream,rêver,видеть в сон
72,dream,rêver,фантазировать
73,dream,rêver,
74,alarm,alarme,сигнализация
75,alarm,alarme,тревога
76,alarm,alarme,будильник
77,alarm,alarme,сигнал тревога
78,alarm,alarme,напоминание
79,alarm,alarme,сирена
80,alarm,alarmer,пугать
81,alarm,alarmer,тревожить
82,alarm,alarmer,встревожить
83,along,ainsi,
84,warm,chaud,тепло
85,warm,chaud,тёплый
86,warm,chaud,горячий
87,warm,réchauffer,согреть
88,warm,réchauffer,согревать
89,warm,réchauffer,погреть
90,warm,réchauffer,подогревать
91,collide,collision,no_equality
92,collide,heurter,сталкиваться
93,excellent,excellent,прекрасный
94,excellent,excellent,отличный
95,excellent,excellent,превосходный
96,excellent,excellent,великолепный
97,excellent,excellent,замечательный
98,excellent,excellent,великолепно
99,excellent,excellent,отлично
100,excellent,super,прекрасный
101,excellent,super,отличный
102,excellent,super,превосходный
103,excellent,super,замечательный
104,excellent,super,великолепно
105,break,briser,сломать
106,break,briser,разбить
107,break,briser,нарушить
108,break,briser,разорвать
109,break,briser,нарушать
110,break,briser,разрушить
111,break,briser,сломить
112,break,briser,ломать
113,break,briser,разбивать
114,break,pause,перерыв
115,break,pause,отдых
116,break,pause,прорыв
117,break,pause,
118,break,rupture,разрыв
119,break,rupture,прорыв
120,break,rupture,нарушение
121,examination,examen,рассмотрение
122,examination,examen,экзамен
123,examination,examen,изучение
124,examination,examen,осмотр
