"word","word_cnt"
"the",2764665
"and",2729658
"that",2609765
"for",2507278
"with",2433755
"but",2340883
"you",2274832
"this",2229858
"not",2206018
"have",2155076
"all",2138420
"what",2049518
"from",2047397
"one",1983226
"there",1971124
"they",1914541
"out",1872415
"are",1818903
"when",1799920
"like",1741444
"can",1723828
"about",1664356
"just",1584961
"then",1579536
"now",1550891
"time",1533306
"your",1514742
"into",1504355
"know",1474975
"who",1457533
"said",1415520
"how",1386604
"back",1367600
"see",1339160
"some",1336622
"only",1293357
"her",1273378
"she",1272985
"down",1268095
"get",1267502
"their",1265444
"over",1247916
"way",1227847
"well",1212137
"other",1209107
"here",1184034
"which",1180720
"than",1168028
"right",1137683
"even",1130752
"where",1114063
"think",1110325
"two",1083406
"before",1083335
"good",1062811
"come",1040832
"any",1033067
"very",1029196
"too",1021410
"after",1019210
"make",1012637
"first",1012517
"through",993452
"never",984913
"much",980177
"still",972558
"something",971417
"little",962719
"because",955686
"off",954008
"again",950184
"want",944711
"take",943619
"say",940656
"made",924679
"look",923413
"let",918251
"people",918180
"why",907093
"long",886461
"away",881540
"our",878274
"man",873761
"around",845915
"day",763218
"head",759114
"another",751761
"tell",748813
"really",747877
"life",727370
"thing",721052
"own",718722
"last",717832
"face",708070
"while",702535
"hand",698554
"new",697793
"need",694874
"nothing",688902
"put",685791
"must",669024
"every",668938
"many",668037
"same",664236
"find",653835
"old",648769
"also",647347
"such",640820
"always",633834
"once",633748
"without",626627
"work",621351
"great",617754
"yes",614962
"three",612807
"ever",609360
"place",607971
"give",604768
"anything",596194
"though",594276
"sure",587946
"few",584791
"enough",582169
"saw",578005
"night",577988
"better",572610
"each",563482
"next",558322
"may",557375
"room",555627
"both",551360
"between",542581
"mind",529808
"feel",522962
"keep",521089
"himself",517834
"help",516901
"against",516106
"under",514427
"moment",513732
"end",512151
"course",508634
"until",500327
"behind",488896
"mean",484279
"everything",484050
"door",482237
"voice",480631
"far",478730
"side",478591
"yet",478470
"home",472620
"love",467504
"almost",463877
"use",463807
"kind",458414
"since",454650
"part",453169
"small",449302
"hard",449070
"house",447863
"already",436709
"open",433889
"else",431967
"together",425831
"name",423911
"someone",422744
"big",420663
"best",419755
"maybe",417925
"set",411903
"hear",404980
"call",403833
"light",401775
"talk",398740
"half",397059
"lot",396807
"high",396681
"across",390487
"different",389589
"believe",388377
"second",388343
"whole",385499
"point",377249
"leave",375307
"yeah",372513
"quite",368888
"stop",366948
"myself",366302
"heart",362172
"along",359924
"least",359574
"try",359397
"soon",359129
"dark",358959
"understand",358093
"front",356965
"black",355865
"inside",354206
"body",353905
"ask",350178
"remember",346107
"idea",343322
"four",342363
"white",342174
"woman",341914
"fact",339759
"morning",338004
"young",337227
"five",335543
"bad",335270
"real",334789
"full",334172
"close",333371
"tried",332385
"year",332145
"able",331816
"actually",331614
"air",330692
"dead",325670
"turn",325532
"word",320904
"past",320205
"probably",320020
"show",319237
"perhaps",318666
"father",316989
"upon",315887
"sorry",315078
"true",313844
"okay",313446
