,ru,en,fr
0,подчиненный,inferior,subordonné
1,подчиненный,subject,subordonné
2,подчиненный,subordination,subordonné
3,подчиненный,subordination,subordination
4,подчиненный,underling,subordonné
5,подчиненный,subaltern,no_equality
6,подчиненный,subordinate,subordonné
7,подчиненный,slave,no_equality
8,подчиненный,subordinated,no_equality
9,подчиненный,dependent,no_equality
10,подчиненный,subdued,no_equality
11,точечный,spot,no_equality
12,точечный,punctual,no_equality
13,точечный,dotty,no_equality
14,точечный,bitmap,no_equality
15,точечный,pinpoint,no_equality
16,точечный,precision,no_equality
17,пожаробезопасность,fire safety,no_equality
18,значительно,significantly,considérablement
19,значительно,significantly,beaucoup
20,значительно,significantly,sensiblement
21,значительно,significantly,nettement
22,значительно,significantly,bien
23,значительно,significantly,fortement
24,значительно,significantly,grandement
25,значительно,significantly,notablement
26,значительно,significantly,très
27,значительно,significantly,largement
28,значительно,significantly,substantiellement
29,значительно,significantly,significativement
30,значительно,dramatically,considérablement
31,значительно,dramatically,sensiblement
32,значительно,dramatically,nettement
33,значительно,dramatically,fortement
34,значительно,dramatically,grandement
35,значительно,dramatically,significativement
36,в секрете,in secret,secrète
37,в секрете,secret,secret
38,профессионализм,professionalism,professionnalisme
39,профессионализм,professionalism,professionalisme
40,профессионализм,professionalism,qualités professionnelles
41,профессионализм,qualification,no_equality
42,очистить,clean,nettoyer
43,очистить,clean,laver
44,очистить,clean,vider
45,очистить,clean,purifier
46,очистить,peel,no_equality
47,очистить,empty,vider
48,очистить,wipe,nettoyer
49,очистить,wipe,effacer
50,очистить,flush,purger
51,труба,pipe,tuyau
52,труба,pipe,tube
53,труба,pipe,canalisation
54,труба,pipe,conduit
55,труба,trumpet,trompette
56,труба,chimney,conduit
57,труба,chimney,cheminée
