,fr,ru,en
0,tomber,упасть,fall
1,tomber,упасть,drop
2,tomber,упасть,fall down
3,tomber,попасть,fall into
4,tomber,попасть,
5,tomber,опускать,drop out
6,tomber,опадать,no_equality
7,tomber,положить,
8,tomber,снижаться,fall
9,tomber,снижаться,drop
10,tomber,снижаться,go down
11,tomber,снижаться,come down
12,tomber,приходиться,no_equality
13,pénétrer,проникать,enter
14,pénétrer,проникать,penetrate
15,pénétrer,проникать,permeate
16,pénétrer,проникать,infiltrate
17,pénétrer,пронизывать,penetrate
18,pénétrer,пронизывать,permeate
19,pénétrer,пронизывать,pervade
20,pénétrer,входить,enter
21,pénétrer,входить,get into
22,pénétrer,входить,
23,pénétrer,пробраться,no_equality
24,pénétrer,впитаться,no_equality
25,pénétrer,вникнуть,penetrate
26,pénétrer,внедриться,infiltrate
27,pénétrer,пробить,penetrate
28,pénétrer,пролезать,no_equality
29,pénétrer,пронять,no_equality
30,complet,полный,complete
31,complet,полный,full
32,complet,полный,comprehensive
33,complet,полный,entire
34,complet,полный,whole
35,complet,полный,fully
36,complet,полный,total
37,complet,полный,thorough
38,complet,полный,absolute
39,complet,полный,exhaustif
40,complet,полный,
41,complet,всеобъемлющий,full
42,complet,всеобъемлющий,comprehensive
43,complet,всеобъемлющий,exhaustif
44,complet,всеобъемлющий,
45,complet,комплектный,no_equality
46,complet,комплексный,comprehensive
47,complet,комплексный,integral
48,complet,комплексный,
