"?column?","word_rating"
"variorum",16
"shun",16
"couple",16
"anticipate",16
"affair",16
"candy",16
"shampoo",16
"presentable",16
"pict",16
"value",16
"cover",16
"cover",16
"covert",16
"thoracic",16
"thoracic",16
"beetle",16
"albeit",16
"cholesterol",16
"dire",16
"enemy",16
"labium",16
"baksheesh",16
"alternative",16
"nowhere",16
"nowhere",16
"pending",16
"daddy",16
"albeit",16
"hac",16
"table",16
"singly",16
"pending",16
"wean",16
"anticipate",16
"frisky",16
"spore",16
"cock",16
"brood",16
"reward",16
"prey",16
"immensely",16
"shrapnel",16
"directive",16
"separate",16
"advantage",16
"penurious",16
"moray",16
"consequence",16
"advantage",16
"crew",16
"overnight",16
"bug",16
"checkout",16
"dingo",16
"separate",16
"venison",16
"promote",16
"brood",16
"thence",16
"challenger",16
"maverick",16
"bold",16
"develop",16
"hammerhead",16
"constituency",16
"mutual fund",16
"immersiveness",16
"die",16
"observation",16
"trumpet",16
"anon",16
"distract",16
"stewie",16
"disable",16
"brood",16
"prompt",16
"tally",16
"propose",16
"exorcise",16
"unfulfilled",16
"sympathy",16
"fry",16
"netmask",16
"tally",16
"savory",16
"separate",16
"disable",16
"smash",16
"second",16
"directory",16
"penitentiary",16
"mob",16
"judy",16
"throughout",16
"Norma",16
"prompt",16
"evermore",16
"wrinkle",16
"contiguous",16
"marrieds",16
"ticket",16
"springfield",16
"peculiar",16
"conjuration",16
"retard",16
"treacle",16
"dingy",16
"frost",16
"reconcilable",16
"blackball",16
"compatible",16
"howl",16
"dag",16
"theme",16
"smash",16
"frigate",16
"obscure",16
"trust",16
"turnout",16
"transfix",16
"amicus",16
"adolescent",16
"life-cycle",16
"column",16
"gain",16
"sock",16
"muffle",16
"smallness",16
"strap",16
"gas",16
"analyze",16
"statute",16
"peculiar",16
"zillion",16
"propose",16
"tabulate",16
"junky",16
"andiron",16
"executor",16
"interspecies",16
"durban",16
"introduce",16
"carcase",16
"ballot",16
"stomach",16
"squeal",16
"watch",16
"villain",16
"negative impact",16
"yet",16
"soothe",16
"villain",16
"irresistible",16
"vault",16
"register",16
"decade",16
"sensibly",16
"register",16
"breed",16
"take off",16
"subconscious",16
"call",16
"sweatpants",16
"unless",16
"Input",16
"asthenosphere",16
"dawn",16
"provision",16
"metamorphose",16
"friction",16
"friction",16
"refurbish",16
"lousy",16
"neatly",16
"gaze",16
"slime",16
"maverick",16
"ss",16
"deal",16
"termination",16
"charge",16
"trudge",16
"unless",16
"pep",16
"intime",16
"salesclerk",16
"grab",16
"misshapen",16
"necessitate",16
"secondhand",16
"exchange",16
"slur",16
"evocative",16
"captivity",16
"upchuck",16
"unwisely",16
"score",16
"manufactured goods",16
"necessitate",16
"auntie",16
"hold up",16
"disastrous",16
"cleanse",16
"kale",16
"executive",16
"help",16
"executive",16
"bialy",16
"reconnoitre",16
"vaccination",16
"carbonate",16
"attache",16
"cleanse",16
"prepositional",16
"easy going",16
"blow",16
"gesundheit",16
"type",16
"tableland",16
"persist",16
"lousy",16
"scintillate",16
"bleary",16
"asymmetry",16
"shady",16
"africa",16
"shut down",16
"perfectibility",16
"godly",16
"ryazan",16
"vagabond",16
"misdemeanor",16
"chemistry",16
"treason",16
"dust-up",16
"downpayment",16
"simple",16
"peck",16
"boun",16
"hang",16
"decree",16
"bahrain",16
"zone",16
"effectually",16
"exacerbate",16
"cuff",16
"type",16
"taiga",16
"housebreaker",16
"trot",16
"mentally",16
"neatness",16
"unconstrained",16
"ethnology",16
"sidearms",16
"jewellery",16
"hollow",16
"hollow",16
"discomfit",16
"wave",16
"glass",16
"strumpet",16
"politely",16
"underneath",16
"needy",16
"slam",16
"long-run",16
"distract",16
"disclaim",16
"gain",16
"pim",16
"bondage",16
"gate",16
"sleeplessness",16
"take off",16
"swan-like",16
"crocodile",16
"mentally",16
"first floor",16
"bit",16
"bondage",16
"gregarious",16
"sensuous",16
"favor",16
"loosen",16
"hothouse",16
"discernible",16
"sadness",16
"friendliness",16
"vocabulary",16
"researcher",16
"startle",16
"mean",16
"target",15
"mustang",15
"goddess",15
"bravely",15
"alle",15
"asleep",15
"pant",15
"diplomat",15
"owe",15
"beeper",15
"dilettante",15
"homeroom",15
"consonant",15
"blow up",15
"head",15
"flounce",15
"hexyl",15
"smush",15
"through",15
"wheezy",15
"zealous",15
"reach",15
"innovation",15
"bend",15
"tiptoe",15
"audience",15
"lavish",15
"unshaken",15
"bother",15
"rush",15
"incognito",15
"derive",15
"bend",15
"deluge",15
"departure",15
"single",15
"marmalade",15
"transport",15
"interpret",15
"cambrian",15
"layoff",15
"pursuit",15
"fervour",15
"interpret",15
"bend",15
"apology",15
"awake",15
"marmalade",15
"tandem",15
"boot",15
"bug",15
"along",15
"bend",15
"anesthetize",15
"think",15
"callahan",15
"qualified",15
"stiff",15
"congestive",15
"pontoon",15
"fright",15
"maneuver",15
"biannual",15
"carnelian",15
"harmonic",15
"go by",15
"accurately",15
"parcel",15
"figure",15
"fatuous",15
"anyone",15
"thug",15
"trio",15
"locus",15
"spar",15
"devilish",15
"roomful",15
"initial",15
"acuity",15
"cut",15
"bulletin",15
"finish",15
"sadness",15
"retention rate",15
"schoolwide",15
"material",15
"evidence",15
"sensitivity",15
"jack",15
"bid",15
"decrease",15
"lousy",15
"incroyable",15
"bruise",15
"wayfarer",15
"irreversibly",15
"throughout",15
"value",15
"embrace",15
"dry cleaning",15
"intercept",15
"masochistic",15
"castrate",15
"savage",15
"eliminate",15
"rade",15
"extrude",15
"topical",15
"appointment",15
"consummate",15
"handicap",15
"bmp",15
"restore",15
"slutty",15
"iphone",15
"theyre",15
"send",15
"trinity",15
"stupendous",15
"sorrowful",15
"clasp",15
"sorrowful",15
"officious",15
"pen",15
"festivity",15
"closet",15
"venture",15
"proper",15
"humility",15
"lapse",15
"lapse",15
"clitoris",15
"procreate",15
"bivouac",15
"roomy",15
"lapse",15
"uptight",15
"glitch",15
"hindquarters",15
"humility",15
"steep",15
"go off",15
"smug",15
"keks",15
"leaflet",15
"interbreed",15
"backbone",15
"truly",15
"halfway",15
"narrow-minded",15
"dumb-ass",15
"stave",15
"blighter",15
"all-out",15
"dazzlingly",15
"shrew",15
"swirl",15
"shelley",15
"hold out",15
"symbiotic",15
"jet",15
"go",15
"lea",15
"patch",15
"rocket",15
"quantify",15
"elevation",15
"hound",15
"blossom",15
"slaughter",15
"try",15
"passerby",15
"grump",15
"all Inclusive",15
"mitred",15
"ingrain",15
"cater",15
"loyally",15
"background music",15
"meddle",15
"parchingly",15
"jell-o",15
"negotiate",15
"bebe",15
"gloomy",15
"beat",15
"utter",15
"elicit",15
"accordingly",15
"sap",15
"populace",15
"oft",15
"tyrant",15
"elicit",15
"maneuver",15
"alert",15
"litte",15
"all-out",15
"beat",15
"beat",15
"beat",15
"neuroimaging",15
"telegraphic",15
"certain",15
"folk",15
"milion",15
"steering wheel",15
"fellowship",15
"fruit",15
"hittin",15
"roundabout",15
"lack",15
"elevation",15
"accept",15
"oil",15
"taste",15
"thrift",15
"armour",15
"creepsy",15
"flog",15
"appeal",15
"betray",15
"buggy",15
"nearly",15
"preferably",15
"on",15
"calculated risk",15
"inquiry",15
"mortis",15
"accomplish",15
"allege",15
"swell",15
"southern",15
"certainly",15
"comely",15
"certainly",15
"swagger",15
"inquiry",15
"eggplant",15
"cinch",15
"pagan",15
"harangue",15
"aron",15
"league",15
"conscientiousness",15
"leather-bound",15
"material",15
"savage",15
"attraction",15
"commodity",15
"greedy",15
"goggle",15
"whether",15
"stave",15
"copious",15
"sigil",15
"spot",15
