"?column?","word_rating"
"sentimental",302
"chap",302
"Resentment",302
"sure",302
"illusory",302
"camera",302
"pronouncement",302
"damage",302
"nourish",302
"suspension",302
"reemerge",302
"piece",302
"pooper",302
"believe",302
"suds",302
"extensive",302
"national security",302
"jackrabbit",302
"temperamental",302
"hogmanay",302
"age",302
"flip",302
"notify",302
"Boron",302
"impish",302
"monkshood",302
"puffy",302
"toeic",302
"district",302
"ewe",302
"instalment",302
"domineer",302
"backtick",302
"horizontal",302
"panache",302
"suspicion",302
"contrivance",302
"boast",302
"spinal",302
"hectically",302
"overload",302
"saline",302
"radiologist",302
"misfit",302
"cooperate",302
"past",302
"miraculous",302
"icky",302
"masterplan",302
"yowza",302
"cut",302
"relight",302
"folklore",302
"counter-offer",302
"instigate",302
"spake",302
"spacex",302
"loyal",302
"skulk",302
"anvil",301
"wisteria",301
"clever",301
"ride",301
"bigheaded",301
"accuracy",301
"dramatically",301
"consistently",301
"vegetation",301
"inpatient",301
"gladly",301
"protestation",301
"siege",301
"anyways",301
"fattish",301
"scapegoat",301
"majorly",301
"technically",301
"khaki",301
"chronicle",301
"storeroom",301
"finesse",301
"tight",301
"bowl",301
"sewage",301
"venture",301
"furor",301
"preordain",301
"disinter",301
"heedlessness",301
"bye",301
"relocate",301
"pinterest",301
"stagnate",301
"babel",301
"bulimic",301
"convergence",301
"suddenly",301
"fairness",301
"derisory",301
"gunk",301
"specter",301
"welfare",301
"new",301
"earshot",301
"hover",301
"sow",301
"flush",301
"parity",301
"department store",301
"stylesheet",301
"teak",301
"smash",301
"swig",301
"legume",301
"assize",301
"mime",301
"crowdfunding",301
"block",301
"flush",301
"wardrobe",301
"intrigue",301
"chemistry",301
"inactive",301
"inbox",301
"instigator",301
"decline",301
"maintain",301
"brothel",301
"peasant",301
"docile",301
"theyre",301
"enliven",301
"petulantly",301
"accenture",301
"substitute",301
"partake",301
"stumblin",301
"bake",301
"toast",301
"dodge",301
"acid rain",301
"sculptor",301
"cautiously",301
"timid",301
"negotiation",301
"striated",301
"dictionary",301
"establishment",301
"waist",301
"thoroughfare",301
"dress code",301
"small-minded",301
"quip",301
"heath",301
"abuser",301
"purposely",301
"unbolt",301
"foster mother",301
"watermelon",301
"halve",301
"previous",301
"carry out",301
"ablation",301
"can",301
"model",301
"common",301
"hit",301
"quiescent",301
"uncannily",301
"origin",301
"refuse",301
"coalmine",301
"gain",301
"gunslinger",301
"ditch",301
"bi",301
"jostle",301
"devolve",301
"voldemort",301
"oil",301
"key",301
"bid",301
"fence",301
"reference",301
"equalizer",301
"hijack",301
"wicked",301
"placebo",301
"regression",301
"horse racing",301
