,ru,fr,en
0,подчиненный,subordonné,subordinate
1,подчиненный,subalterne,subordinate
2,подчиненный,assujetti,no_equality
3,подчиненный,sujet,no_equality
4,подчиненный,sous-ordre,subordinate
5,подчиненный,préposé,no_equality
6,подчиненный,soumis,no_equality
7,точечный,ponctuel,no_equality
8,пожаробезопасность,incendie,no_equality
9,значительно,considérablement,significantly
10,значительно,considérablement,considerably
11,значительно,considérablement,much
12,значительно,considérablement,greatly
13,значительно,considérablement,substantially
14,значительно,considérablement,considerable
15,значительно,considérablement,dramatically
16,значительно,considérablement,markedly
17,значительно,considérablement,vastly
18,значительно,considérablement,severely
19,значительно,grandement,significantly
20,значительно,grandement,considerably
21,значительно,grandement,much
22,значительно,grandement,greatly
23,значительно,grandement,substantially
24,значительно,grandement,dramatically
25,значительно,grandement,vastly
26,значительно,grandement,severely
27,значительно,significativement,significantly
28,значительно,significativement,considerably
29,значительно,significativement,greatly
30,значительно,significativement,substantially
31,значительно,significativement,dramatically
32,значительно,significativement,markedly
33,значительно,nettement,significantly
34,значительно,nettement,considerably
35,значительно,nettement,much
36,значительно,nettement,greatly
37,значительно,nettement,substantially
38,значительно,nettement,far
39,значительно,nettement,well
40,значительно,nettement,dramatically
41,значительно,nettement,markedly
42,значительно,fortement,significantly
43,значительно,fortement,considerably
44,значительно,fortement,greatly
45,значительно,fortement,substantially
46,значительно,fortement,dramatically
47,значительно,fortement,severely
48,значительно,substantiellement,significantly
49,значительно,substantiellement,considerably
50,значительно,substantiellement,greatly
51,значительно,substantiellement,substantially
52,значительно,substantiellement,dramatically
53,значительно,radicalement,significantly
54,значительно,radicalement,substantially
55,значительно,radicalement,dramatically
56,значительно,sérieusement,significantly
57,значительно,sérieusement,severely
58,значительно,autrement,no_equality
59,значительно,singulièrement,significantly
60,значительно,significatif,significant
61,значительно,significatif,substantial
62,профессионализм,professionnalisme,professionalism
63,профессионализм,professionnalisme,professional
64,профессионализм,professionnalisme,competence
65,профессионализм,professionnalisme,professionalization
