,ru,fr,en
0,подчиненный,subordonné,subordinate
1,подчиненный,subalterne,subordinate
2,подчиненный,assujetti,no_equality
3,подчиненный,sujet,no_equality
4,подчиненный,sous-ordre,subordinate
5,подчиненный,préposé,no_equality
6,подчиненный,soumis,no_equality
7,точечный,ponctuel,no_equality
8,пожаробезопасность,incendie,no_equality
9,значительно,considérablement,significantly
10,значительно,considérablement,considerably
11,значительно,considérablement,much
12,значительно,considérablement,greatly
13,значительно,considérablement,substantially
14,значительно,considérablement,considerable
15,значительно,considérablement,dramatically
16,значительно,considérablement,markedly
17,значительно,considérablement,vastly
18,значительно,considérablement,severely
19,значительно,grandement,significantly
20,значительно,grandement,considerably
21,значительно,grandement,much
22,значительно,grandement,greatly
23,значительно,grandement,substantially
24,значительно,grandement,dramatically
25,значительно,grandement,vastly
26,значительно,grandement,severely
