,ru,fr,en
0,подчиненный,subordonné,subordinate
1,подчиненный,subalterne,subordinate
2,подчиненный,assujetti,no_equality
3,подчиненный,sujet,no_equality
4,подчиненный,sous-ordre,subordinate
5,подчиненный,préposé,no_equality
6,подчиненный,soumis,no_equality
7,точечный,ponctuel,no_equality
8,пожаробезопасность,incendie,no_equality
9,значительно,considérablement,significantly
10,значительно,considérablement,considerably
11,значительно,considérablement,much
12,значительно,considérablement,greatly
13,значительно,considérablement,substantially
14,значительно,considérablement,considerable
15,значительно,considérablement,dramatically
16,значительно,considérablement,markedly
17,значительно,considérablement,vastly
18,значительно,considérablement,severely
19,значительно,grandement,significantly
20,значительно,grandement,considerably
21,значительно,grandement,much
22,значительно,grandement,greatly
23,значительно,grandement,substantially
24,значительно,grandement,dramatically
25,значительно,grandement,vastly
26,значительно,grandement,severely
27,значительно,significativement,significantly
28,значительно,significativement,considerably
29,значительно,significativement,greatly
30,значительно,significativement,substantially
31,значительно,significativement,dramatically
32,значительно,significativement,markedly
33,значительно,nettement,significantly
34,значительно,nettement,considerably
35,значительно,nettement,much
36,значительно,nettement,greatly
37,значительно,nettement,substantially
38,значительно,nettement,far
39,значительно,nettement,well
40,значительно,nettement,dramatically
41,значительно,nettement,markedly
42,значительно,fortement,significantly
43,значительно,fortement,considerably
44,значительно,fortement,greatly
45,значительно,fortement,substantially
46,значительно,fortement,dramatically
47,значительно,fortement,severely
48,значительно,substantiellement,significantly
49,значительно,substantiellement,considerably
50,значительно,substantiellement,greatly
51,значительно,substantiellement,substantially
52,значительно,substantiellement,dramatically
53,значительно,radicalement,significantly
54,значительно,radicalement,substantially
55,значительно,radicalement,dramatically
56,значительно,sérieusement,significantly
57,значительно,sérieusement,severely
58,значительно,autrement,no_equality
59,значительно,singulièrement,significantly
60,значительно,significatif,significant
61,значительно,significatif,substantial
62,профессионализм,professionnalisme,professionalism
63,профессионализм,professionnalisme,professional
64,профессионализм,professionnalisme,competence
65,профессионализм,professionnalisme,professionalization
66,профессионализм,qualification,skill
67,очистить,nettoyer,clear
68,очистить,nettoyer,clean up
69,очистить,nettoyer,purify
70,очистить,nettoyer,cleanse
71,очистить,nettoyer,sweep
72,очистить,effacer,clear
73,очистить,peler,peel
74,очистить,voler,no_equality
75,труба,tuyau,pipe
76,труба,tuyau,tube
77,труба,tuyau,duct
78,труба,trompette,trumpet
79,труба,trompette,horn
80,труба,conduite,pipe
81,труба,conduite,duct
82,труба,gaine,duct
83,труба,trompe,horn
84,труба,tube d'usure,no_equality
85,несколько,plusieurs,multiple
86,несколько,plusieurs,numerous
87,несколько,différents,multiple
88,несколько,différents,several
89,несколько,différents,number
90,несколько,divers,multiple
91,несколько,divers,numerous
92,несколько,divers,several
93,несколько,quelque,a little
94,несколько,quelque,couple of
95,несколько,un peu,a few
96,несколько,un peu,some
97,несколько,un peu,slightly
98,несколько,un peu,somewhat
99,несколько,un peu,a little
100,несколько,quelque peu,slightly
101,несколько,quelque peu,somewhat
102,несколько,quelque peu,a little
103,несколько,légèrement,slightly
104,несколько,légèrement,somewhat
105,несколько,sur les bords,no_equality
106,невежественный,ignorant,ignorant
107,невежественный,ignorant,clueless
108,невежественный,profane,no_equality
109,написанное,écrit,written
110,написанное,écrit,writing
111,завтрак,déjeuner,breakfast
112,завтрак,déjeuner,lunch
113,завтрак,déjeuner,brunch
114,завтрак,déjeuner,luncheon
115,завтрак,petit déjeuner,breakfast
116,завтрак,petit déjeuner,lunch
117,завтрак,casse-croûte,lunch
118,быть знакомым,connaître,no_equality
119,быть знакомым,se connaître,no_equality
120,район,quartier,area
121,район,quartier,district
122,район,quartier,neighborhood
123,район,quartier,neighbourhood
124,район,quartier,block
125,район,quartier,part
126,район,quartier,hood
127,район,quartier,ward
128,район,quartier,borough
129,район,endroit,area
130,район,endroit,site
131,район,voisinage,area
132,район,voisinage,neighborhood
133,район,voisinage,neighbourhood
134,район,voisinage,vicinity
135,район,coin,area
136,район,coin,neighborhood
137,район,coin,neighbourhood
138,район,coin,part
139,район,rayon,area
140,район,section,area
141,район,section,part
142,долить,remplir,refill
143,долить,ajouter,no_equality
144,пряный,épicé,spicy
145,пряный,épicé,spiced
146,пряный,épicé,spicier
147,пряный,épice,no_equality
148,во,durant,for
149,во,durant,over
150,во,durant,throughout
151,одобрять,approuver,approve
152,одобрять,approuver,endorse
153,одобрять,approuver,condone
154,одобрять,approuver,countenance
155,одобрять,cautionner,approve
156,одобрять,cautionner,endorse
157,одобрять,cautionner,condone
158,одобрять,cautionner,countenance
159,одобрять,autoriser,approve
160,одобрять,autoriser,condone
161,одобрять,applaudir,approve
162,одобрять,agréer,approve
163,одобрять,trouver bon,no_equality
164,всполошить,alarmer,no_equality
165,восьмерка,huit,eight
166,восьмерка,Eight,no_equality
167,слон,éléphant,elephant
168,слон,éléphant,bull
169,подача,alimentation,supply
170,подача,alimentation,feed
171,подача,dépôt,filing
172,подача,dépôt,submission
173,подача,dépôt,application
174,подача,dépôt,lodging
175,подача,débit,no_equality
176,подача,avance,feed
177,подача,présentation,filing
178,подача,présentation,submission
179,подача,fourniture,supply
180,подача,mouvement d'avance,no_equality
181,подача,service,serve
182,войсковая часть,unité,part
183,войсковая часть,troupe,no_equality
184,стойкость,résistance,resilience
185,стойкость,résistance,resistance
186,стойкость,résistance,endurance
187,стойкость,résistance,stamina
188,стойкость,résistance,strength
189,стойкость,durabilité,endurance
