,eng_word,rus,fr
0,for,для,pour
1,for,ради,pour
2,for,в течение,no_equality
3,for,в отношении,no_equality
4,for,для целей,no_equality
5,for,ибо,no_equality
6,for,чтобы,pour
7,cafe,кофейня,café
8,cafe,буфет,no_equality
9,cafe,кафе-ресторан,no_equality
10,follow,следовать,suivre
11,follow,следить,no_equality
12,follow,соблюдать,suivre
13,follow,сопровождать,suivre
14,follow,идти,suivre
15,follow,выполнять,suivre
16,follow,вытекать,no_equality
17,follow,далее следовать,no_equality
18,follow,повторять,no_equality
19,follow,последующий,suivi
20,warm,теплый,chaud
21,warm,сердечный,no_equality
22,warm,согревать,réchauffer
23,warm,погреться,no_equality
24,warm,утеплить,no_equality
25,warm,тепло,no_equality
26,warm,разминка,no_equality
27,collide,сталкиваться,no_equality
28,collide,конфликтовать,no_equality
29,collide,наехать,no_equality
30,collide,соударяться,no_equality
31,collide,в конфликт,no_equality
32,break,ломать,no_equality
33,break,нарушать,no_equality
34,break,разбивать,briser
35,break,разорвать,no_equality
36,break,прорваться,no_equality
37,break,разрушить,briser
38,break,вырваться,no_equality
39,break,разбиться,no_equality
40,break,разразиться,no_equality
41,break,пробить,no_equality
42,break,преодолеть,no_equality
43,break,отколоться,no_equality
44,break,вырывать,no_equality
45,break,преломлять,no_equality
46,break,перерыв,pause
47,break,перерыв,rupture
48,break,разрыв,rupture
49,break,пролом,no_equality
50,break,каникулы,no_equality
51,break,передышка,no_equality
52,tiger,тигр,tigre
53,tiger,зверь,no_equality
54,tiger,тигриный,no_equality
55,lion,лев,lion
56,lion,львиный,no_equality
57,background,фон,fond
58,background,предпосылка,no_equality
59,background,происхождение,no_equality
60,background,подготовка,no_equality
61,background,история,no_equality
62,background,сведения,no_equality
63,background,фоновый режим,no_equality
64,background,опыт,no_equality
65,background,справочная информация,no_equality
66,background,история вопроса,no_equality
67,background,прошлое,antécédent
68,background,образование,no_equality
69,background,корень,no_equality
70,background,исходная информация,no_equality
71,background,контекст,no_equality
72,background,общие сведения,no_equality
73,background,исток,no_equality
74,background,фоновое изображение,no_equality
75,background,фоновая,no_equality
76,background,фоновый,no_equality
77,background,справочный,no_equality
78,background,второстепенный,no_equality
79,write,писать,écrire
80,write,записывать,no_equality
81,write,выписывать,no_equality
82,write,вписать,no_equality
83,write,списать,no_equality
84,write,письменный,no_equality
85,apologise,извиниться,no_equality
86,fly,летать,voler
87,fly,вылететь,no_equality
88,fly,влететь,no_equality
89,fly,подлететь,voler
90,fly,отлететь,no_equality
91,fly,слетаться,no_equality
92,fly,муха,mouche
93,fly,полет,voler
94,beaver,бобр,no_equality
95,beaver,Бобрик,no_equality
96,beaver,Бивер,no_equality
97,beaver,работяга,no_equality
98,beaver,бородач,no_equality
99,beaver,бобровый,no_equality
100,coincide,совпадать,coïncider
101,coincide,совмещаться,no_equality
102,anything,что угодно,no_equality
103,anything,ничего,no_equality
104,anything,все,no_equality
105,exhaustively,исчерпывающе,no_equality
106,exhaustively,полностью,no_equality
107,exhaustively,тщательно,no_equality
108,apoplexy,удар,no_equality
109,apoplexy,инсульт,no_equality
110,apoplexy,кровоизлияние,no_equality
111,apoplexy,апоплексический,no_equality
112,coconut,кокос,coco
113,coconut,мякоть кокоса,no_equality
114,coconut,кокосовый,no_equality
115,not,не,pas
116,not,нет,pas
117,international,международный,international
118,international,Интернационал,no_equality
119,parent,родитель,parent
120,parent,предок,no_equality
121,parent,отец,no_equality
122,parent,родительский элемент,no_equality
123,parent,родительница,no_equality
124,parent,родительский,no_equality
125,parent,исходный,parent
126,parent,вышестоящий,no_equality
127,parent,один из родителей,no_equality
128,ocean,океан,océan
129,ocean,дно океана,no_equality
130,ocean,океанский,océanique
131,coincidental,случайный,no_equality
132,coincidental,совпадающий,no_equality
133,coincidental,случайное совпадение,coïncidence
134,buzzer,сирена,no_equality
135,buzzer,звонок,no_equality
136,buzzer,пищалка,no_equality
137,buzzer,зуммерный,no_equality
138,dynamite,динамит,dynamite
139,dynamite,динамитная шашка,no_equality
140,dynamite,динамитный,no_equality
141,dynamite,взрывной,no_equality
142,buy,купить,acheter
143,buy,продать,no_equality
144,buy,накупить,acheter
145,buy,подкупить,no_equality
146,buy,покупка,achat
147,peremptory,императивный,no_equality
148,peremptory,безапелляционный,no_equality
149,member,член,membre
150,member,представитель,no_equality
151,member,элемент,membre
152,member,депутат,no_equality
153,member,член организации,no_equality
154,member,членский,no_equality
155,childhood,детство,enfance
156,childhood,детский,no_equality
157,go,идти,aller
158,go,проходить,no_equality
159,go,ехать,aller
160,go,отправиться,aller
161,go,перейти,no_equality
162,go,происходить,no_equality
163,plate,пластина,plaque
164,plate,плита,plaque
165,plate,тарелка,no_equality
166,plate,лист,no_equality
167,plate,номерной знак,no_equality
168,plate,дощечка,no_equality
169,plate,панель,no_equality
170,plate,накладка,no_equality
171,plate,платформа,no_equality
172,plate,стяжка,no_equality
173,plate,бляха,plaque
