,eng_word,rus,fr
0,for,для,pour
1,for,для,de
2,for,для,à
3,for,для,aux
4,for,для,par
5,for,для,dans
6,for,для,au
7,for,для,en
8,for,для,sur
9,for,ради,pour
10,for,в течение,pendant
11,for,в течение,par
12,for,в течение,durant
13,for,в отношении,au titre de | au titre
14,for,для целей,pour
15,for,для целей,au titre de | au titre
16,for,ибо,car
17,for,ибо,puisque
18,for,чтобы,pour
19,cafe,кофейня,café
20,cafe,буфет,no_equality
21,cafe,кафе-ресторан,café
22,cafe,кафе-ресторан,cafétéria
23,cafe,кафе-ресторан,bar
24,follow,следовать,suivre
25,follow,следовать,respecter
26,follow,следовать,poursuivre
27,follow,следовать,appliquer
28,follow,следовать,obéir
29,follow,следовать,adopter
30,follow,следовать,se conformer
31,follow,следить,suivre
32,follow,следить,observer
33,follow,соблюдать,suivre
34,follow,соблюдать,respecter
35,follow,соблюдать,appliquer
36,follow,соблюдать,observer
37,follow,соблюдать,se conformer | se conformer à
38,follow,сопровождать,accompagner
39,follow,идти,suivre
40,follow,идти,poursuivre
41,follow,идти,prendre
42,follow,выполнять,respecter
43,follow,выполнять,appliquer
44,follow,выполнять,se conformer
45,follow,вытекать,découler
46,follow,далее следовать,suivre
47,follow,далее следовать,respecter
48,follow,далее следовать,poursuivre
49,follow,далее следовать,appliquer
50,follow,далее следовать,se conformer
51,follow,повторять,no_equality
52,follow,последующий,no_equality
53,warm,теплый,chaud
54,warm,теплый,chaleureux
55,warm,сердечный,no_equality
56,warm,согревать,chaud
57,warm,согревать,réchauffer | chauffer | échauffer
58,warm,погреться,se réchauffer
59,warm,утеплить,no_equality
60,warm,тепло,chaud
61,warm,тепло,chaleureux
62,warm,тепло,chaleur
63,warm,тепло,chaleureusement
64,warm,разминка,no_equality
65,collide,сталкиваться,no_equality
66,collide,конфликтовать,no_equality
67,collide,наехать,no_equality
68,collide,соударяться,no_equality
69,collide,в конфликт,no_equality
70,break,ломать,briser
71,break,ломать,casser
72,break,нарушать,briser
73,break,нарушать,enfreindre
74,break,нарушать,violer
75,break,разбивать,briser
76,break,разбивать,casser
77,break,разорвать,briser
78,break,разорвать,rompre
79,break,разорвать,sortir
80,break,прорваться,percer
81,break,разрушить,briser
82,break,разрушить,rompre
83,break,вырваться,rompre
84,break,вырваться,sortir
85,break,разбиться,no_equality
86,break,разразиться,no_equality
87,break,пробить,briser
88,break,пробить,percer
89,break,преодолеть,sortir
90,break,отколоться,no_equality
