,eng_word,rus,fr
0,for,для,pour
1,for,ради,pour
2,for,в течение,no_equality
3,for,в отношении,no_equality
4,for,для целей,no_equality
5,for,ибо,no_equality
6,for,чтобы,pour
7,cafe,кофейня,café
8,cafe,буфет,no_equality
9,cafe,кафе-ресторан,no_equality
10,follow,следовать,suivre
11,follow,следить,no_equality
12,follow,соблюдать,suivre
13,follow,сопровождать,suivre
14,follow,идти,suivre
15,follow,выполнять,suivre
16,follow,вытекать,no_equality
17,follow,далее следовать,no_equality
18,follow,повторять,no_equality
19,follow,последующий,suivi
20,warm,теплый,chaud
21,warm,сердечный,no_equality
22,warm,согревать,réchauffer
23,warm,погреться,no_equality
24,warm,утеплить,no_equality
25,warm,тепло,no_equality
26,warm,разминка,no_equality
27,collide,сталкиваться,no_equality
28,collide,конфликтовать,no_equality
29,collide,наехать,no_equality
30,collide,соударяться,no_equality
31,collide,в конфликт,no_equality
32,break,ломать,no_equality
33,break,нарушать,no_equality
34,break,разбивать,briser
35,break,разорвать,no_equality
36,break,прорваться,no_equality
37,break,разрушить,briser
38,break,вырваться,no_equality
39,break,разбиться,no_equality
40,break,разразиться,no_equality
41,break,пробить,no_equality
42,break,преодолеть,no_equality
43,break,отколоться,no_equality
44,break,вырывать,no_equality
45,break,преломлять,no_equality
46,break,перерыв,pause
47,break,перерыв,rupture
48,break,разрыв,rupture
49,break,пролом,no_equality
50,break,каникулы,no_equality
51,break,передышка,no_equality
