,fr,en,ru
0,tomber,fall,упасть
1,tomber,fall,падать
2,tomber,fall,пасть
3,tomber,fall,оказаться
4,tomber,fell,упасть
5,tomber,fell,пасть
6,tomber,fall down,упасть
7,tomber,fall down,падать
8,pénétrer,penetrate,проникнуть
9,pénétrer,penetrate,проникать
10,complet,full,полный
11,complet,full,всеобъемлющий
12,complet,full,всесторонний
13,complet,complete,полный
14,complet,complete,всесторонний
15,complet,comprehensive,полный
16,complet,comprehensive,всеобъемлющий
17,complet,comprehensive,комплексный
18,complet,comprehensive,всесторонний
19,complet,comprehensive,подробный
20,complet,comprehensive,исчерпывающий
21,complet,entire,полный
22,complet,fully,полный
23,complet,fully,всесторонний
24,ultérieurement,later,впоследствии
25,ultérieurement,later,поздний
26,ultérieurement,later,последующий
27,ultérieurement,later,дальнейший
28,ultérieurement,subsequently,впоследствии
29,ultérieurement,subsequently,поздний
30,ultérieurement,subsequently,последующий
