,fr,en,ru
0,tomber,fall,упасть
1,tomber,fall,падать
2,tomber,fall,пасть
3,tomber,fall,оказаться
4,tomber,fell,упасть
5,tomber,fell,пасть
6,tomber,fall down,упасть
7,tomber,fall down,падать
8,pénétrer,penetrate,проникнуть
9,pénétrer,penetrate,проникать
10,complet,full,полный
11,complet,full,всеобъемлющий
12,complet,full,всесторонний
13,complet,complete,полный
14,complet,complete,всесторонний
15,complet,comprehensive,полный
16,complet,comprehensive,всеобъемлющий
17,complet,comprehensive,комплексный
18,complet,comprehensive,всесторонний
19,complet,comprehensive,подробный
20,complet,comprehensive,исчерпывающий
21,complet,entire,полный
22,complet,fully,полный
23,complet,fully,всесторонний
24,ultérieurement,later,впоследствии
25,ultérieurement,later,поздний
26,ultérieurement,later,последующий
27,ultérieurement,later,дальнейший
28,ultérieurement,subsequently,впоследствии
29,ultérieurement,subsequently,поздний
30,ultérieurement,subsequently,последующий
31,convenir,agree,согласовать
32,convenir,agree,согласиться
33,convenir,agree,согласование
34,convenir,suitable,no_equality
35,convenir,suit,no_equality
36,convenir,agreed,no_equality
37,réellement,actually,действительно
38,réellement,actually,на самый дело
39,réellement,actually,реально
40,réellement,actually,фактически
41,réellement,really,действительно
42,réellement,really,на самый дело
43,réellement,really,реально
44,réellement,really,поистине
45,devant,front,впереди
46,devant,front,вперёд
47,devant,front,спереди
48,devant,front,прямо
49,devant,front,перед
50,devant,before,перед
51,devant,before,впереди
52,devant,ahead,впереди
53,devant,ahead,вперёд
54,virer,turn,no_equality
55,alcool,alcohol,алкоголь
56,alcool,alcohol,выпивка
57,alcool,alcohol,спиртное
58,alcool,alcohol,спирт
59,alcool,alcohol,алкогольный напиток
60,alcool,alcohol,алкоголизм
61,alcool,alcohol,спиртное напиток
62,histoire,history,история
63,histoire,history,прошлое
64,histoire,history,исторический
65,histoire,story,история
66,histoire,story,рассказ
67,histoire,story,сказка
68,histoire,story,дело
69,histoire,story,статья
70,histoire,story,сюжет
71,histoire,story,версия
72,histoire,story,роман
73,histoire,story,легенда
74,pile,stack,куча
75,pile,stack,стопка
76,pile,battery,батарейка
77,unique,unique,единый
78,unique,unique,уникальный
79,unique,unique,единственный
80,unique,unique,неповторимый
81,unique,single,единый
82,unique,single,единственный
83,unique,single,один
84,exposer,expose,разоблачить
85,exposer,expose,подвергать
86,exposer,exposed,подвергать
87,exposer,showcase,no_equality
