,bigram,PMI
0,"('Von', 'Eaton')",15.85433834595462
1,"(""'ag"", 'Beomer')",15.647887468487195
2,"('Prof', 'Easton')",15.554778064095713
3,"('Robinson', 'Crusoe')",15.417274540345776
4,"('Rattle', 'Pane')",15.306850550652126
5,"('Policeman', 'Duffer')",15.199935346735614
6,"('y', '-e')",14.981888395675128
7,"('Tammy', 'Tammy')",14.876706158983072
8,"('Anne', 'Boleyn')",14.729501234040844
9,"('-e', '-')",14.677033814146709
10,"('Sight', 'recognition')",14.614334908776165
11,"('Madison', 'Avenue')",14.536332396774892
12,"('Helene', 'Churchill')",14.384853062653397
13,"('Van', 'Anden')",14.232849969208347
14,"('Zillah', 'Forsyth')",13.969815563374556
15,"('blanket', 'wrapper')",13.91536777935218
16,"('librivox', 'recording')",13.85433834595462
17,"('de', 'Brabazon')",13.747423142038103
18,"('Lily', 'Bell')",13.71742840174027
19,"('owest', 'thou')",13.672135014733868
20,"('Col', 'Baker')",13.667988674543702
21,"('Dirk', 'Colson')",13.631945924618169
22,"('fir', 'bough')",13.314463734761999
23,"('Rae', 'Malgregor')",13.285317389102486
24,"('Micky', 'Maguire')",13.002237041066929
25,"('traveling', 'Salesman')",12.997288488968875
26,"('public', 'domain')",12.896566581343915
27,"('ma', ""'am"")",12.840532546429587
28,"('visit', 'librivox.org')",12.77341835057105
29,"('Rockwell', 'Cooper')",12.765570488748365
30,"('New', 'York')",12.740996872878675
31,"('Molly', 'Loo')",12.647887468487193
32,"('ha', 'hum')",12.642349284945764
33,"('John', 'Ellbertson')",12.521355062558262
34,"('Jane', 'Grey')",12.495163207798488
35,"('Aunt', 'Minna')",12.374868974080774
36,"('Lay', 'reader')",12.358663538672536
37,"('Lady', 'Jane')",12.30977394585889
38,"('King', 'Henry')",12.211370241797894
39,"('Captain', 'John')",12.199426967670899
40,"('didn', ""'t"")",12.153898627813525
41,"('wouldn', ""'t"")",12.153898627813525
42,"('Lemuel', 'Shackford')",12.080292099736125
43,"('Dr', 'Douglass')",12.070962286831453
44,"('Uncle', 'Fritz')",12.054268105635586
45,"('m', 'm')",12.024176649578877
46,"('ha', 'ha')",12.008741075282876
47,"('Flat', 'land')",12.007883604208072
48,"('senior', 'Surgeon')",12.00736649376045
49,"('Dr', 'Van')",11.996961705387678
50,"('frost', 'King')",11.996357350827045
51,"('Dr', 'Everett')",11.964047082914943
52,"('evan', 'Roberts')",11.951488915567962
53,"('don', ""'t"")",11.89755887455374
54,"('Cousin', 'Abbie')",11.85532954835767
55,"('Curtis', 'Waring')",11.844720343393025
56,"('Linen', 'nurse')",11.82685760953251
57,"('post', 'office')",11.778604797286384
58,"('o', 'Keefe')",11.768181702204902
59,"('self', 'control')",11.766005362916205
60,"('Tim', 'Bolton')",11.755643648843074
61,"('Aunt', 'Betsey')",11.733322944993251
62,"('Straight', 'line')",11.662994360877404
63,"('CHAPTER', 'sixth')",11.575937626608177
64,"('Dr', 'Dennis')",11.554386761090544
65,"('terminal', 'point')",11.498411303071181
66,"('o', ""'er"")",11.44625360731754
67,"('Te', 'Bolton')",11.358380851292207
68,"('CHAPTER', 'fifth')",11.34532469846676
69,"('bell', 'rang')",11.330776389897604
70,"('Eve', 'Edgarton')",11.21532806538391
71,"('Flossy', 'Shipley')",11.206049909864632
72,"('Gracie', 'Dennis')",11.198426138604823
73,"('CHAPTER', 'fourth')",11.138873820999336
74,"('Nimble', 'dick')",11.124325512430177
75,"('John', 'Linden')",11.096857234030349
76,"('prayer', 'meeting')",10.911673473734126
77,"('Serial', 'letter')",10.873363938896958
78,"('green', 'moss')",10.862558852759586
79,"('wide', 'awake')",10.849836953719677
80,"('won', ""'t"")",10.8043141900233
81,"('miss', 'Peyton')",10.731233903938772
82,"('linen', 'nurse')",10.70132672744865
83,"('marble', 'yard')",10.691830816074788
84,"('straw', 'hat')",10.647887468487193
85,"('eleven', 'o')",10.59825670076259
86,"('white', 'Linen')",10.59477613202763
87,"('volunteer', 'please')",10.59224350058444
88,"('half', '-way')",10.568651599916437
89,"('Miss', 'Flora')",10.484388736204313
90,"('miss', 'Scott')",10.417573425035012
91,"('miss', 'Celia')",10.309162812805406
92,"('Miss', 'Wilbu')",10.27793785873689
93,"('miss', 'Ellery')",10.275554420162585
94,"('Aunt', 'Jo')",10.269515973934546
95,"('Miss', 'Cotton')",10.244922801508924
96,"('fast', 'asleep')",10.230276025544521
97,"('Miss', 'Bat')",10.199935346735614
98,"('Miss', 'Devon')",10.199935346735614
99,"('Pane', 'house')",10.10099300859956
100,"('straight', 'line')",10.089619834431454
101,"('first', '-rate')",10.072978632429962
102,"('new', 'comer')",10.048362673563147
103,"('letter', 'co')",10.042576322374234
104,"('book', 'keeper')",10.011394667125955
105,"('CHAPTER', 'third')",10.001370297249403
106,"('eight', 'o')",9.948753947846726
107,"('God', 'bless')",9.937561073938731
108,"('nine', 'o')",9.936058874998357
109,"('dining', 'room')",9.927426579906477
110,"('Miss', 'Ellery')",9.917348143480416
111,"('thousand', 'dollar')",9.901154098072166
112,"('Miss', 'Celia')",9.899426235483155
113,"('fifteen', 'minute')",9.862453164686508
