,bigram,PMI
0,"('Cybernetics', 'corporation')",13.666850557787175
1,"('Ursa', 'minor')",13.666850557787173
2,"('Sirius', 'Cybernetics')",13.647398195121001
3,"('Informational', 'illusion')",13.432385304150149
4,"('total', 'Perspective')",13.361995976258752
5,"('Perspective', 'Vortex')",13.230751442980498
6,"('hitch', 'hiker')",12.896332403909945
7,"('guitar', 'guitar')",12.554641054201147
8,"('O', 'Brien')",12.513999069703805
9,"('Hitch', 'Hiker')",12.468911180175265
10,"('Galactic', 'Gargle')",12.396761394419432
11,"('Pan', 'Galactic')",12.396761394419432
12,"('Bill', 'Hutchinson')",11.711907832772514
13,"('stay', 'forever')",11.065014238501625
14,"('“Of', 'course')",10.914536999287531
15,"('mrs', 'Hutchinson')",10.863910926217562
16,"('Improbability', 'drive')",10.70991927967906
17,"('mister', 'Summer')",10.648695844393103
18,"('mister', 'Summers')",10.614223627135964
19,"('forever', 'young')",10.560541655640836
20,"('oh', 'oh')",10.477801224632895
21,"('mister', 'Prosser')",10.415205714173323
22,"('human', 'being')",10.289155169373261
23,"('keep', 'bleed')",10.265516861141178
24,"('Stupid', 'girl')",10.236465094174893
25,"('big', 'brother')",10.228512970784504
26,"('car', 'park')",10.192070974816444
27,"('<', 'i>')",10.117051580872563
28,"('mister', 'Grave')",10.103261707858588
29,"('poker', 'face')",9.972953685512856
30,"('clever', 'bit')",9.926609831588106
31,"('thought', 'police')",9.890815398942376
32,"('’m', 'afray')",9.367157681374533
33,"('', 'ai')",9.366296113692378
34,"('party', 'member')",9.06114327365561
35,"('love', 'nobody')",8.972625837530334
36,"(""'s"", 'gonna')",8.953952723582796
37,"('year', 'ago')",8.853446591056763
38,"('move', 'among')",8.703376433812291
39,"('Ford', 'Prefect')",8.635062535666286
40,"(""'"", 'll')",8.614762046638718
41,"('Zaphod', 'Beeblebrox')",8.542790081946139
42,"('star', 'system')",8.532967955475074
43,"('hundred', 'thousand')",8.480051737780467
44,"('each', 'other')",8.288746994228115
45,"('tonight', ""'s"")",8.275880818470158
46,"('million', 'year')",8.145627342550075
49,"('“Don', '’t')",8.13226157958114
48,"('shouldn', '’t')",8.13226157958114
47,"('doesn', '’t')",8.13226157958114
50,"('hadn', '’t')",8.132261579581138
51,"('wouldn', '’t')",8.132261579581138
52,"('wasn', '’t')",8.132261579581137
53,"('couldn', '’t')",8.132261579581135
54,"('don', '’t')",8.117762009886025
55,"('didn', '’t')",8.115959767252036
56,"('everything', 'everything')",8.105827411968722
57,"('Hiker', '’')",8.099677370509545
58,"('thirty', 'second')",8.09327761928596
59,"('haven', '’t')",8.081635506511171
60,"('“Oh', 'yes')",8.080709865868734
61,"('’ve', 'got')",8.031261983996052
62,"('Don', '’t')",7.971796907387896
63,"('every', 'single')",7.969678553479996
64,"('no', 'longer')",7.937863021044491
65,"('better', 'than')",7.877029265514317
66,"('Arthur', 'Dent')",7.865806315535394
67,"('my', 'poker')",7.771034734916158
68,"('Oh', 'yes')",7.726909996111759
69,"('life', 'form')",7.704464849586952
70,"('settle', 'down')",7.612844843644428
71,"('apart', 'from')",7.6112781158442395
72,"('“I', '’m')",7.495991816283031
73,"('wake', 'up')",7.482169648173102
74,"('ai', 'not')",7.4448370451964045
75,"('life', 'today')",7.4369007852726465
76,"('old', 'man')",7.368091627353994
77,"('Hiker', '’s')",7.363607026164738
78,"('slow', 'down')",7.353926546282864
79,"('’', 'Guide')",7.340685470013337
80,"('“That', '’s')",7.327081150139623
81,"('for', 'instance')",7.321539535461861
82,"('old', 'boy')",7.294881780400219
83,"('worry', 'about')",7.29436955066258
84,"('my', 'soul')",7.256461562086399
85,"('few', 'second')",7.240503572469139
86,"('cope', 'with')",7.175511882943031
87,"('won', '’t')",7.168787455606253
88,"('let', ""'s"")",7.16735636169199
89,"('pick', 'up')",7.145134660895534
90,"('good', 'night')",7.141790416067577
91,"('at', 'least')",7.014532789264251
92,"('“You', '’re')",7.000917548034545
93,"('Vogon', 'ship')",6.935731221556658
94,"('“It', '’s')",6.928669969448189
95,"('any', 'kind')",6.921423384872771
96,"('five', 'year')",6.886613454991963
97,"('us', 'house')",6.880302746149301
98,"('talk', 'about')",6.824470116349222
99,"('how', 'much')",6.778527722217925
100,"('my', 'father')",6.771034734916158
101,"('too', 'much')",6.760976925487251
102,"('“I', '’ll')",6.760741819921339
103,"('some', 'kind')",6.745720001106909
