,bigram,PMI
0,"('District', 'Attorney')",16.678310138740674
1,"('Kriss', 'Kringle')",16.678310138740674
2,"('Bower', 'Lane')",16.54080661499074
3,"('Homicide', 'Squad')",16.263272639461835
4,"('Simon', 'Screecher')",16.26327263946183
5,"('Special', 'Investigator')",16.26327263946183
6,"('Jennie', 'Junebug')",16.093347638019523
7,"('Leonard', 'Hust')",16.093347638019516
8,"('Rocky', 'Mountains')",16.07627412466058
9,"('Paddy', 'Muskrat')",16.070627561519437
10,"('Shaw', 'zummaun')",16.022264539958037
11,"('Belle', 'Etoile')",16.01534512601825
12,"('Friar', 'Tuck')",16.01534512601825
13,"('United', 'States')",16.005884796769184
14,"('Primrose', 'Meadows')",15.678310138740677
15,"('Mu', ""'ín"")",15.678310138740676
16,"('fred', 'borders')",15.562832921320739
17,"('Chirpy', 'Cricket')",15.382854255214507
18,"('Wash', 'Williams')",15.330386835320368
19,"('Blaize', 'Castle')",15.263272639461832
20,"('Fifth', 'Avenue')",15.192883311570434
21,"('Don', 'Leonardo')",15.01826852122501
22,"('Breakaway', 'Inn')",15.015345126018248
23,"('Giant', 'Northwind')",14.886896760552094
24,"('Shaykh', 'Ibrahim')",14.837007884759734
25,"('district', 'attorney')",14.820329143613106
26,"('Hank', 'Sterling')",14.718952123238019
27,"('Shaykh', 'Ibrahe')",14.69261797542456
28,"('Doctor', 'Parcival')",14.67831013874068
29,"('Cooper', 'Edgecombe')",14.678310138740676
30,"('Doctor', 'Reefy')",14.678310138740674
31,"('Jasper', 'Jay')",14.619416449687106
32,"('ma', ""'am"")",14.590847297490335
33,"('pump', '-room')",14.571394934824161
34,"('Al', 'Mu')",14.540806614990743
35,"('physician', 'Douban')",14.536954289495133
36,"('s', ""'pose"")",14.535352184898633
37,"('Solomon', 'Owl')",14.529918298848004
38,"('l', 'Estorade')",14.527000815465712
39,"('Joseph', 'Bumble')",14.500117521314767
40,"('Robber', 'Hawk')",14.476676277571025
41,"('Al', 'Fazl')",14.455917717404226
42,"('Mrs', 'Johnson')",14.417782588517454
