,bigram,PMI
0,"('Pusat', 'Tasek')",15.93535986886059
1,"('ROBINSON', 'CRUSOE')",15.82844466494408
2,"('Vincent', 'Spaulding')",15.828444664944076
3,"('De', 'Bracy')",15.797856345110654
4,"('PARLOR', 'MAID.')",15.728908991393165
5,"('bi-', 'Coloure')",15.45522734135986
6,"('Coloure', 'Python')",15.3878720735581
7,"('Anne', 'Catherick')",15.243482164222922
8,"('Saxe', 'Coburg')",15.243482164222922
9,"('Python', 'Rock')",15.24348216422292
10,"('Briony', 'Lodge')",15.112237630944668
11,"('Rock', 'Snake')",15.083017492029677
12,"('canary', 'creeper')",14.889845209608222
13,"('turbid', 'Amazon')",14.880912084838211
14,"('ma', ""'am"")",14.828444664944078
15,"('Boscombe', 'Pool')",14.828444664944076
16,"('Coburg', 'Square')",14.710987083395901
17,"('Cousin', 'Jane')",14.702913782860222
18,"('Stickly', 'Prickly')",14.681603276614807
19,"('EYNSFORD', 'HILL')",14.635799587001683
20,"('H.', 'P')",14.591405467643229
21,"('Eau', 'douce')",14.54833674575134
22,"('Paint', 'Jaguar')",14.46587458555937
23,"('Rosanna', 'Spearman')",14.426346221372734
24,"('Louis', 'thXird')",14.413407165665236
25,"('Auntie', 'Nan')",14.398760389700833
26,"('Bois', 'Guilbert')",14.387872073558098
27,"('Hyena', 'swine')",14.387872073558094
28,"('Pau', 'Amma')",14.313871492114318
29,"('March', 'Hare')",14.223673683142742
30,"('South', 'America')",14.138299927530868
31,"('Godfrey', 'Norton')",13.980447758389126
32,"('Aunt', 'Ann')",13.966914602735432
33,"('Jabez', 'Wilson')",13.935359868860589
34,"('Suleiman', 'bin')",13.904986219817069
35,"('bin', 'Daoud')",13.902938391168215
36,"('eldest', 'Magician')",13.897885163441927
37,"('la', 'Tremouille')",13.790309536057304
38,"('Hosmer', 'Angel')",13.684514872034713
39,"('misteRS', 'EYNSFORD')",13.627155492592431
40,"('Manx', 'fairy')",13.571669249581968
41,"('Mock', 'turtle')",13.527275130223513
42,"('Grey', 'Beaver')",13.476600992152429
43,"('“the', 'Coroner')",13.4069808965058
44,"('librivox', 'recording')",13.369013046306783
45,"('ow', 'oo')",13.328371061809433
46,"('Teddy', 'Henfrey')",13.301898850448245
47,"('ha', 'hum')",13.165972797002008
