,bigram,PMI
0,"('del', 'mito')",12.396143906117864
1,"('epocum', 'del')",12.396143906117864
2,"('la', 'epocum')",11.566068907560172
3,"('mister', 'Raven')",11.311255008531349
4,"('lum', 'lum')",11.252652312528326
5,"('el', 'lobo')",11.074215811230498
6,"('oh', 'oh')",10.981106406839016
7,"('Dance', 'Dance')",10.978796246151818
8,"('gonnon', 'miss')",10.754597877030339
9,"('experiencing', 'self')",10.588788984060258
10,"('remembering', 'self')",10.588788984060258
11,"('little', 'Ones')",9.13144067992345
12,"('', 'ai')",9.106637288922876
13,"(""'"", 'll')",9.0742158112305
14,"(""'"", 'mma')",9.074215811230497
15,"('takin', ""'"")",9.074215811230497
16,"('bad', 'giant')",9.065558949100048
17,"('lovin', ""'"")",8.604730527929279
18,"('little', 'bit')",8.453368774810812
19,"('didn', '’t')",8.416321788055495
20,"('wouldn', '’t')",8.416321788055495
21,"('don', '’t')",8.416321788055493
22,"('couldn', '’t')",8.416321788055491
23,"('hadn', '’t')",8.416321788055491
24,"('won', '’t')",8.41632178805549
25,"('wasn', '’t')",8.416321788055487
26,"('doesn', '’t')",8.290790905971633
27,"('remember', 'self')",7.9799797413847315
28,"('good', 'giant')",7.862395999243651
29,"('rather', 'than')",7.762186177409376
30,"('no', 'longer')",7.63730381232889
31,"('“It', '’s')",7.56130824763815
32,"('“I', 'don')",7.450591690140238
33,"('each', 'other')",7.308681064867523
34,"('at', 'least')",7.305715606390962
35,"('my', 'lovin')",7.303974062189992
36,"(""'"", 'cause')",7.148216392674273
37,"('at', 'length')",7.11472898942082
38,"('never', 'mind')",7.084086055254561
39,"('his', 'wife')",7.080910463804507
40,"('too', 'much')",7.0804408255886155
41,"('“I', '’m')",7.067967663565323
42,"('talk', 'about')",7.0289349319296335
43,"('last', 'night')",7.021280059879276
44,"('ai', 'not')",6.915017216381246
45,"('more', 'than')",6.533917189736258
46,"('my', 'father')",6.515478167383707
47,"('at', 'once')",6.448466386597817
48,"('miss', 'my')",6.410889266106503
49,"('shook', 'her')",6.398650761728435
50,"(""'"", 'back')",6.39614390611786
51,"('toward', 'i')",6.3639450837297105
52,"('for', 'example')",6.350839281812249
53,"('’ve', 'get')",6.315223910734293
54,"('my', 'feet')",6.303974062189996
55,"('wait', 'for')",6.303533567033892
56,"('his', 'gaze')",6.241683766877289
57,"('', 'do')",6.070568034215352
58,"('my', 'love')",6.005315746625481
59,"('so', 'far')",5.98893062328553
60,"('his', 'head')",5.932208733449706
61,"('make', 'sure')",5.907321870125164
62,"('we', '’ll')",5.799816086425723
63,"('', 'can')",5.797200138218713
64,"('people', 'who')",5.796782026336089
65,"('we', '’re')",5.792340965863573
66,"('once', 'more')",5.755657938228277
67,"('look', 'at')",5.728488754449408
68,"('my', 'heart')",5.719011561468836
69,"('my', 'eyes')",5.615918068504731
70,"('his', 'own')",5.55484165213692
71,"('she', '’d')",5.513855283742423
72,"('just', 'want')",5.48258958022833
73,"('how', 'much')",5.449353644032433
74,"('away', 'from')",5.4017904692590015
75,"('there', '’')",5.396143906117862
76,"('tell', 'i')",5.384122965667341
77,"('so', 'much')",5.377219823738766
78,"('think', 'about')",5.367869452122683
79,"('told', 'her')",5.3523571094545
80,"('their', 'own')",5.296007234832409
81,"('her', 'head')",5.273390275117372
82,"('as', 'well')",5.217230121448296
83,"('able', 'to')",5.191384678296149
84,"('at', 'home')",5.18898354411424
