,eng_word,l1,l1_context,l2,l2_context
0,treat,gâterie,wholesome treat|sweet treats|,угощение,morning treat|feast | 
1,treat,gâterie,wholesome treat|sweet treats|,удовольствие,pleasure | fun | satisfaction | enjoyment | amusement | joy | delight | 
2,treat,délice,delight | delicacy | bliss | delicious treats | ,лакомство,delicacy | dainty | 
3,treat,délice,delight | delicacy | bliss | delicious treats | ,угощение,morning treat|feast | 
4,treat,soigner,to treat people|to treat angina|cure | heal | look after | care | look after | heal | care | ,лечить,to treat people|heal | cure | heal | dose | 
5,treat,soigner,to treat people|to treat angina|cure | heal | look after | care | look after | heal | care | ,вылечить,cure | heal | 
6,treat,considérer,treated on a case-by-case basis|treated confidentially|treat as error|treated as a contempt|consider | regard | see | view | believe | look | think | feel | ,рассматривать,consider | see | view | regard | examine | review | 
7,treat,considérer,treated on a case-by-case basis|treated confidentially|treat as error|treated as a contempt|consider | regard | see | view | believe | look | think | feel | ,относиться,include | apply | belong | relate | concern | view | regard | date back | 
8,treat,considérer,treated on a case-by-case basis|treated confidentially|treat as error|treated as a contempt|consider | regard | see | view | believe | look | think | feel | ,обращаться,turn | contact | apply | appeal | address | deal | turn | reach out | 
9,treat,considérer,treated on a case-by-case basis|treated confidentially|treat as error|treated as a contempt|consider | regard | see | view | believe | look | think | feel | ,рассматриваться,consider | view | address | examine | regard | see | review | construe | 
10,treat,traiter,to treat cancer|to treat disease|to treat diabetes|to treat depression|process | address | deal | handle | discuss | cover | process | ,обрабатывать,to treat even vast skin areas|process | handle | process | handle | machine | cultivate | 
11,treat,friandise,real treat|natural pet treats|sweet | candy | delicacy | goody | pet treats | ,угощение,morning treat|feast | 
12,treat,régal,real treat for the eyes|delight | feast | real treat | special treat | ,угощение,morning treat|feast | 
13,treat,festin,feast | banquet | ,угощение,morning treat|feast | 
14,treat,douceur,softness | sweetness | sweet | gentleness | mildness | smoothness | delicacy | meekness | kindness | ,no_equality,
15,treat,émail,enamel | ,no_equality,
16,treat,gâterie,wholesome treat|sweet treats|,угощение,morning treat|feast | 
17,treat,friandise,real treat|natural pet treats|sweet | candy | delicacy | goody | pet treats | ,угощение,morning treat|feast | 
18,treat,régal,real treat for the eyes|delight | feast | real treat | special treat | ,угощение,morning treat|feast | 
19,treat,délice,delight | delicacy | bliss | delicious treats | ,угощение,morning treat|feast | 
20,treat,festin,feast | banquet | ,угощение,morning treat|feast | 
21,treat,gâterie,wholesome treat|sweet treats|,удовольствие,pleasure | fun | satisfaction | enjoyment | amusement | joy | delight | 
22,treat,délice,delight | delicacy | bliss | delicious treats | ,лакомство,delicacy | dainty | 
23,treat,soigner,to treat people|to treat angina|cure | heal | look after | care | look after | heal | care | ,лечить,to treat people|heal | cure | heal | dose | 
24,treat,considérer,treated on a case-by-case basis|treated confidentially|treat as error|treated as a contempt|consider | regard | see | view | believe | look | think | feel | ,рассматривать,consider | see | view | regard | examine | review | 
25,treat,considérer,treated on a case-by-case basis|treated confidentially|treat as error|treated as a contempt|consider | regard | see | view | believe | look | think | feel | ,относиться,include | apply | belong | relate | concern | view | regard | date back | 
26,treat,considérer,treated on a case-by-case basis|treated confidentially|treat as error|treated as a contempt|consider | regard | see | view | believe | look | think | feel | ,обращаться,turn | contact | apply | appeal | address | deal | turn | reach out | 
27,treat,soigner,to treat people|to treat angina|cure | heal | look after | care | look after | heal | care | ,вылечить,cure | heal | 
28,treat,considérer,treated on a case-by-case basis|treated confidentially|treat as error|treated as a contempt|consider | regard | see | view | believe | look | think | feel | ,рассматриваться,consider | view | address | examine | regard | see | review | construe | 
29,treat,no_equality,,угостить,
30,treat,traiter,to treat cancer|to treat disease|to treat diabetes|to treat depression|process | address | deal | handle | discuss | cover | process | ,обрабатывать,to treat even vast skin areas|process | handle | process | handle | machine | cultivate | 
31,treat,no_equality,,лечиться,
32,diner,dîner,dinner | ,no_equality,
33,diner,convive,guest | seater | ,no_equality,
34,diner,couvert,seat | cover | cutlery | canopy | place setting | silverware | ,no_equality,
35,diner,café-restaurant,coffee shop | cafe-restaurant | café restaurant | café-restaurant | café-restaurants | restaurant-café | ,no_equality,
36,diner,souper,dinner | supper | ,no_equality,
37,diner,dîneur,,no_equality,
38,diner,no_equality,,diners,
39,dinner,repas,theme dinners|medieval dinners|nice dinner|family dinner|meal | food | lunch | ,ужин,romantic dinner|gala dinner|family dinner|themed dinner|supper | meal | 
40,dinner,repas,theme dinners|medieval dinners|nice dinner|family dinner|meal | food | lunch | ,обед,business dinner|excellent dinner|lunch | meal | afternoon | lunchtime | 
41,dinner,dîner,gala dinner|romantic dinner|mess dinner|business dinners|diner | ,ужин,romantic dinner|gala dinner|family dinner|themed dinner|supper | meal | 
42,dinner,soir,evening | night | ,обед,business dinner|excellent dinner|lunch | meal | afternoon | lunchtime | 
43,dinner,souper,formal dinner|group dinner|supper | diner | ,ужин,romantic dinner|gala dinner|family dinner|themed dinner|supper | meal | 
44,dinner,repas,theme dinners|medieval dinners|nice dinner|family dinner|meal | food | lunch | ,ужин,romantic dinner|gala dinner|family dinner|themed dinner|supper | meal | 
45,dinner,dîner,gala dinner|romantic dinner|mess dinner|business dinners|diner | ,ужин,romantic dinner|gala dinner|family dinner|themed dinner|supper | meal | 
46,dinner,souper,formal dinner|group dinner|supper | diner | ,ужин,romantic dinner|gala dinner|family dinner|themed dinner|supper | meal | 
47,dinner,repas,theme dinners|medieval dinners|nice dinner|family dinner|meal | food | lunch | ,обед,business dinner|excellent dinner|lunch | meal | afternoon | lunchtime | 
48,dinner,soir,evening | night | ,обед,business dinner|excellent dinner|lunch | meal | afternoon | lunchtime | 
49,necessary,nécessaire,absolutely necessary|reasonably necessary|really necessary|still necessary|required | needed | needed | appropriate | essential | ,нужный,right | needed | correct | appropriate | proper | relevant | 
50,necessary,nécessaire,absolutely necessary|reasonably necessary|really necessary|still necessary|required | needed | needed | appropriate | essential | ,обязательный,mandatory | compulsory | obligatory | binding | essential | indispensable | optional | 
