,eng_word,l1,l1_context,l2,l2_context
0,treat,gâterie,wholesome treat|sweet treats|,угощение,morning treat|feast | 
1,treat,gâterie,wholesome treat|sweet treats|,удовольствие,pleasure | fun | satisfaction | enjoyment | amusement | joy | delight | 
2,treat,soigner,to treat people|to treat angina|cure | heal | look after | care | look after | heal | care | ,лечить,to treat people|heal | cure | heal | dose | 
3,treat,soigner,to treat people|to treat angina|cure | heal | look after | care | look after | heal | care | ,вылечить,cure | heal | 
4,treat,considérer,treated on a case-by-case basis|treated confidentially|treat as error|treated as a contempt|consider | regard | see | view | believe | look | think | feel | ,рассматривать,consider | see | view | regard | examine | review | 
5,treat,considérer,treated on a case-by-case basis|treated confidentially|treat as error|treated as a contempt|consider | regard | see | view | believe | look | think | feel | ,относиться,include | apply | belong | relate | concern | view | regard | date back | 
6,treat,considérer,treated on a case-by-case basis|treated confidentially|treat as error|treated as a contempt|consider | regard | see | view | believe | look | think | feel | ,обращаться,turn | contact | apply | appeal | address | deal | turn | reach out | 
7,treat,considérer,treated on a case-by-case basis|treated confidentially|treat as error|treated as a contempt|consider | regard | see | view | believe | look | think | feel | ,рассматриваться,consider | view | address | examine | regard | see | review | construe | 
8,treat,traiter,to treat cancer|to treat disease|to treat diabetes|to treat depression|process | address | deal | handle | discuss | cover | process | ,обрабатывать,to treat even vast skin areas|process | handle | process | handle | machine | cultivate | 
9,treat,friandise,real treat|natural pet treats|sweet | candy | delicacy | goody | pet treats | ,угощение,morning treat|feast | 
10,treat,régal,real treat for the eyes|delight | feast | real treat | special treat | ,угощение,morning treat|feast | 
11,treat,délice,delight | delicacy | bliss | delicious treats | ,угощение,morning treat|feast | 
12,treat,festin,feast | banquet | ,угощение,morning treat|feast | 
13,treat,douceur,softness | sweetness | sweet | gentleness | mildness | smoothness | delicacy | meekness | kindness | ,no_equality,
14,treat,émail,enamel | ,no_equality,
15,treat,gâterie,wholesome treat|sweet treats|,угощение,morning treat|feast | 
16,treat,friandise,real treat|natural pet treats|sweet | candy | delicacy | goody | pet treats | ,угощение,morning treat|feast | 
17,treat,régal,real treat for the eyes|delight | feast | real treat | special treat | ,угощение,morning treat|feast | 
18,treat,délice,delight | delicacy | bliss | delicious treats | ,угощение,morning treat|feast | 
19,treat,festin,feast | banquet | ,угощение,morning treat|feast | 
20,treat,gâterie,wholesome treat|sweet treats|,удовольствие,pleasure | fun | satisfaction | enjoyment | amusement | joy | delight | 
21,treat,no_equality,,лакомство,delicacy | dainty | 
22,treat,soigner,to treat people|to treat angina|cure | heal | look after | care | look after | heal | care | ,лечить,to treat people|heal | cure | heal | dose | 
23,treat,considérer,treated on a case-by-case basis|treated confidentially|treat as error|treated as a contempt|consider | regard | see | view | believe | look | think | feel | ,рассматривать,consider | see | view | regard | examine | review | 
24,treat,considérer,treated on a case-by-case basis|treated confidentially|treat as error|treated as a contempt|consider | regard | see | view | believe | look | think | feel | ,относиться,include | apply | belong | relate | concern | view | regard | date back | 
25,treat,considérer,treated on a case-by-case basis|treated confidentially|treat as error|treated as a contempt|consider | regard | see | view | believe | look | think | feel | ,обращаться,turn | contact | apply | appeal | address | deal | turn | reach out | 
26,treat,soigner,to treat people|to treat angina|cure | heal | look after | care | look after | heal | care | ,вылечить,cure | heal | 
27,treat,considérer,treated on a case-by-case basis|treated confidentially|treat as error|treated as a contempt|consider | regard | see | view | believe | look | think | feel | ,рассматриваться,consider | view | address | examine | regard | see | review | construe | 
28,treat,no_equality,,угостить,
29,treat,traiter,to treat cancer|to treat disease|to treat diabetes|to treat depression|process | address | deal | handle | discuss | cover | process | ,обрабатывать,to treat even vast skin areas|process | handle | process | handle | machine | cultivate | 
30,treat,no_equality,,лечиться,
31,diner,dîner,dinner | ,no_equality,
32,diner,convive,guest | seater | ,no_equality,
33,diner,couvert,seat | cover | cutlery | canopy | place setting | silverware | ,no_equality,
34,diner,café-restaurant,coffee shop | cafe-restaurant | café restaurant | café-restaurant | café-restaurants | restaurant-café | ,no_equality,
35,diner,souper,dinner | supper | ,no_equality,
36,diner,dîneur,,no_equality,
37,diner,no_equality,,diners,
38,dinner,repas,theme dinners|medieval dinners|nice dinner|family dinner|meal | food | lunch | ,ужин,romantic dinner|gala dinner|family dinner|themed dinner|supper | meal | 
39,dinner,repas,theme dinners|medieval dinners|nice dinner|family dinner|meal | food | lunch | ,обед,business dinner|excellent dinner|lunch | meal | afternoon | lunchtime | 
40,dinner,dîner,gala dinner|romantic dinner|mess dinner|business dinners|diner | ,ужин,romantic dinner|gala dinner|family dinner|themed dinner|supper | meal | 
41,dinner,soir,evening | night | ,обед,business dinner|excellent dinner|lunch | meal | afternoon | lunchtime | 
42,dinner,souper,formal dinner|group dinner|supper | diner | ,ужин,romantic dinner|gala dinner|family dinner|themed dinner|supper | meal | 
43,dinner,repas,theme dinners|medieval dinners|nice dinner|family dinner|meal | food | lunch | ,ужин,romantic dinner|gala dinner|family dinner|themed dinner|supper | meal | 
44,dinner,dîner,gala dinner|romantic dinner|mess dinner|business dinners|diner | ,ужин,romantic dinner|gala dinner|family dinner|themed dinner|supper | meal | 
45,dinner,souper,formal dinner|group dinner|supper | diner | ,ужин,romantic dinner|gala dinner|family dinner|themed dinner|supper | meal | 
46,dinner,repas,theme dinners|medieval dinners|nice dinner|family dinner|meal | food | lunch | ,обед,business dinner|excellent dinner|lunch | meal | afternoon | lunchtime | 
47,dinner,soir,evening | night | ,обед,business dinner|excellent dinner|lunch | meal | afternoon | lunchtime | 
48,necessary,nécessaire,absolutely necessary|reasonably necessary|really necessary|still necessary|required | needed | needed | appropriate | essential | ,нужный,right | needed | correct | appropriate | proper | relevant | 
49,necessary,nécessaire,absolutely necessary|reasonably necessary|really necessary|still necessary|required | needed | needed | appropriate | essential | ,должный,proper | due | adequate | appropriate | 
50,necessary,indispensable,particularly necessary|essential | indispensable | vital | crucial | critical | needed | needed | imperative | ,нужный,right | needed | correct | appropriate | proper | relevant | 
