,bigram,chi-sq
0,"('Hitch', 'Hiker')",215425.89726840457
1,"('<', 'i>')",202103.39738603253
2,"('Cybernetics', 'corporation')",182076.5880788443
3,"('Sirius', 'Cybernetics')",166805.66943487068
4,"('Ursa', 'minor')",143058.23510095265
5,"('total', 'Perspective')",136863.99970879286
6,"('hitch', 'hiker')",129600.96497632068
7,"('Perspective', 'Vortex')",124961.65184155705
8,"('Informational', 'illusion')",121597.84975371465
9,"('O', 'Brien')",87725.55472457678
10,"('guitar', 'guitar')",72184.32591999455
11,"('big', 'brother')",58740.315550657215
12,"('mister', 'Summer')",57766.243127318165
13,"('don', '’t')",54848.66821642656
14,"('Galactic', 'Gargle')",53918.29234093432
15,"('Pan', 'Galactic')",53918.29234093432
16,"('Bill', 'Hutchinson')",36887.17197366378
17,"('oh', 'oh')",34195.9024871658
18,"('mister', 'Prosser')",32747.978867509457
19,"('Improbability', 'drive')",31801.392817677955
20,"('mister', 'Summers')",29764.703693115887
21,"(""'"", 'll')",29727.29653707408
22,"('wasn', '’t')",27410.860424351868
23,"('Ford', 'Prefect')",26576.495036646364
24,"('keep', 'bleed')",25829.101692627006
25,"('didn', '’t')",24334.304555983967
26,"('Zaphod', 'Beeblebrox')",22314.124090443453
27,"('stay', 'forever')",21410.52337816744
28,"('“Of', 'course')",21221.470090253126
29,"('mrs', 'Hutchinson')",20484.95048034644
30,"('couldn', '’t')",17618.47713384369
31,"('thought', 'police')",17065.12524425383
32,"('hadn', '’t')",15940.094232492173
33,"('forever', 'young')",15087.992516387585
34,"('poker', 'face')",14056.63553350423
35,"('Arthur', 'Dent')",13462.617903752505
36,"('wouldn', '’t')",13422.690719446835
37,"('Stupid', 'girl')",13257.629586680749
38,"('human', 'being')",12497.488829288577
39,"(""'s"", 'gonna')",11878.373481925435
40,"('car', 'park')",11683.123447613423
41,"('', 'do')",11131.909544600278
42,"('year', 'ago')",11067.470129772088
43,"('mister', 'Grave')",10987.214087136048
44,"('clever', 'bit')",10690.108361634093
45,"('each', 'other')",10271.652779814862
46,"('’m', 'afray')",9885.279770352614
47,"('“I', '’m')",9484.63867961969
48,"('let', ""'s"")",9099.112639263061
49,"('do', 'not')",9058.73099651784
50,"('Don', '’t')",8499.382154083869
51,"('', 'can')",8488.015941483492
52,"('', 'ai')",7908.285939159479
53,"('old', 'man')",7853.21582474601
54,"('haven', '’t')",7557.325353119788
55,"('doesn', '’t')",7549.546307762102
56,"('tonight', ""'s"")",7406.496298704018
57,"('say', 'Ford')",7284.996375492755
58,"('at', 'least')",7175.6600393269855
59,"('say', 'Arthur')",6333.268923690436
60,"('look', 'at')",6198.300439481111
61,"('there', 'be')",6192.709711327438
62,"('it', 'be')",6136.161198656075
63,"('I', '’m')",6128.507461283726
64,"('his', 'head')",5976.335826030541
65,"('party', 'member')",5858.770473121972
66,"('no', 'longer')",5852.469703262314
67,"('as', 'if')",5800.067202985724
68,"('love', 'nobody')",5008.090508789434
69,"('try', 'to')",4965.148140620902
70,"('pick', 'up')",4903.250150923708
71,"('talk', 'about')",4804.359894329165
72,"('man', 'who')",4747.566277025544
73,"('can', 'not')",4440.574103791315
74,"('“It', '’s')",4332.971092302558
75,"('tell', 'i')",4275.921550703703
76,"('want', 'to')",4261.797890114497
77,"('Hiker', '’s')",4248.033979357853
78,"('million', 'year')",4223.405817670098
79,"('of', 'the')",4182.602579393545
