,bigram,chi-sq
0,"('del', 'mito')",86242.66637345217
1,"('epocum', 'del')",86242.66637345217
2,"('mister', 'Raven')",55894.297343388884
3,"('la', 'epocum')",45472.02987771062
4,"('gonnon', 'miss')",43174.710285345645
5,"('lum', 'lum')",41467.85123090815
6,"('experiencing', 'self')",33867.425324269956
7,"('el', 'lobo')",30174.042629341802
8,"(""'"", 'll')",26376.681981166017
9,"('Dance', 'Dance')",26223.07826842385
10,"('oh', 'oh')",24244.248515846524
11,"('don', '’t')",21815.178543543934
12,"('remembering', 'self')",16931.792621323515
13,"('takin', ""'"")",16145.825600975995
14,"('wasn', '’t')",16017.713385662611
15,"('didn', '’t')",10903.990632110375
16,"('couldn', '’t')",10563.132018729488
17,"('little', 'bit')",10479.661850819977
18,"('hadn', '’t')",8177.3185073887
19,"('', 'ai')",6604.157707776746
20,"('bad', 'giant')",6411.869326613401
21,"('little', 'Ones')",6158.917907206289
22,"('wouldn', '’t')",5451.096101291023
23,"('do', 'not')",5439.809061284696
24,"(""'"", 'mma')",5380.832359829808
25,"('', 'do')",5196.703954424803
26,"('lovin', ""'"")",5045.199365244033
27,"('“It', '’s')",4879.417999020737
28,"('at', 'least')",4240.659628438487
29,"('no', 'longer')",3558.4831991771493
30,"('more', 'than')",3551.3318353903023
31,"('good', 'giant')",3466.8381960639113
32,"('doesn', '’t')",3433.3512294446973
33,"('won', '’t')",3406.724357638902
34,"('look', 'at')",3394.2924444223663
35,"('my', 'love')",3136.389621372824
36,"('', 'can')",3134.4895184447255
37,"('talk', 'about')",2967.9372703609765
38,"('want', 'to')",2932.7776863443887
39,"('my', 'lovin')",2826.9055527374044
40,"('rather', 'than')",2802.104903971945
41,"('at', 'once')",2746.8883436555843
42,"('too', 'much')",2673.577730175853
43,"('there', 'be')",2668.4810433341936
44,"('“I', 'don')",2599.153618880845
45,"('remember', 'self')",2507.9640862403444
46,"(""'"", 'back')",2476.535005556555
47,"('I', '’m')",2383.4920780796806
48,"('at', 'length')",2197.1783214472634
49,"('“I', '’m')",2119.694542716133
50,"('each', 'other')",2039.4198806580268
51,"('she', '’d')",2031.546624357438
52,"('we', '’re')",1882.043667985622
53,"('try', 'to')",1842.361212164392
54,"('a', 'lot')",1788.3316435563493
55,"('miss', 'my')",1756.9216078556833
56,"('of', 'the')",1745.7491543087629
57,"('in', 'the')",1734.993379502386
58,"('begin', 'to')",1707.237206086627
59,"('his', 'wife')",1606.8027215794
60,"('can', 'not')",1583.159249397233
61,"('if', 'you')",1545.3227407751635
62,"('a', 'little')",1543.592554257901
63,"('never', 'mind')",1473.878767297122
64,"('kind', 'of')",1455.6179463990081
65,"('tell', 'i')",1443.1583989376827
66,"('ai', 'not')",1436.311970652956
67,"('lot', 'of')",1428.040831627827
68,"('last', 'night')",1409.6644586467833
69,"('it', 'be')",1404.26590512803
70,"(""'"", 'cause')",1401.713060887753
71,"('a', 'few')",1397.2988924340839
72,"('the', 'same')",1370.9776078129246
73,"('for', 'example')",1282.8825399707093
74,"('his', 'head')",1246.3114041949127
75,"('shook', 'her')",1245.6430465480541
76,"('wait', 'for')",1240.4855989979533
77,"('part', 'of')",1238.4753129054125
78,"('think', 'about')",1186.0364577353412
79,"('seem', 'to')",1147.9051931823922
80,"('I', 'have')",1128.9227192516262
81,"('you', '’re')",1107.6876269197662
82,"('her', 'head')",1073.7372593487098
83,"('as', 'well')",1064.9965983032455
84,"('my', 'heart')",1020.9423273997191
85,"('one', 'of')",1013.5814986175859
86,"('’ve', 'get')",1012.9207468860415
87,"('my', 'father')",990.9292852009179
88,"('there', '’')",968.5118505343593
89,"('my', 'feet')",930.395388844135
90,"('able', 'to')",923.3217768511369
91,"('my', 'life')",904.7419046437998
92,"('on', 'the')",872.1231311297975
93,"('my', 'eyes')",853.0107721788501
94,"('need', 'to')",837.8314426025752
95,"('he', '’d')",834.5241478461526
96,"('his', 'gaze')",813.7629446143735
97,"('we', '’ll')",810.315376885284
98,"('toward', 'i')",808.8390320560578
99,"('so', 'far')",803.0800540749387
100,"('it', '’s')",794.6354825486646
101,"('let', 'i')",767.0244048616058
102,"('so', 'much')",755.7682451691946
103,"('such', 'as')",729.4931220992514
104,"('her', 'own')",708.1298790028477
105,"('be', 'gonnon')",706.6860358815605
106,"('back', 'my')",687.6430074657758
107,"('go', 'to')",678.7439968684499
