,bigram,chi-sq
0,"('21', 'st')",60493.124708262716
1,"('United', 'States')",60205.63155106971
2,"('lum', 'lum')",51369.322397520285
3,"('9', '11')",46745.583857736085
4,"(""'"", 'll')",42159.98051097296
5,"('health', 'care')",32939.64371245662
6,"('CONGRESSMAN', 'PENCE')",26732.455667070873
7,"('mister', 'president')",26251.067802725607
8,"('nuclear', 'weapon')",25908.59829348807
9,"('little', 'bit')",25652.33097298008
10,"('st', 'century')",21418.689256359234
11,"('Fourier', 'sery')",18932.62863234699
12,"('don', '’t')",17370.85799797042
13,"('tax', 'cut')",17286.43675369134
14,"('Fourier', 'analysis')",14896.626916572453
15,"('small', 'business')",13812.025012189812
16,"('human', 'being')",12489.373624804459
17,"('won', '’t')",11603.517008827563
18,"('move', 'forward')",10694.9979523815
19,"('national', 'security')",10651.109779251892
20,"('black', 'history')",10473.308589435326
21,"('', 'do')",9970.919211589575
22,"('periodic', 'phenomenon')",9241.113434167586
23,"('new', 'York')",9072.084272380775
24,"('climate', 'change')",8921.561940746136
25,"('relationship', 'between')",8330.939509435546
26,"('all', 'right')",7996.4061091211
27,"('year', 'ago')",7690.726806074452
28,"('do', 'not')",7502.354768646081
29,"('Barbie', 'let')",6802.9231574100395
30,"('make', 'sure')",5058.099777319346
31,"('mamma', 'say')",4933.247559867424
32,"('each', 'other')",4369.290532173378
33,"('American', 'people')",4331.770390121929
34,"('health', 'insurance')",4280.304488336284
35,"('no', 'longer')",4029.774165433305
36,"('talk', 'about')",4014.371599899909
37,"('once', 'again')",3951.4653682623434
38,"('too', 'often')",3699.4595409323815
39,"('let', 'i')",3603.337912781176
40,"('', 'can')",3185.6950090074815
41,"('my', 'mamma')",2937.3794642644116
42,"('say', 'goodbye')",2880.7530334305175
43,"('thank', 'you')",2876.5275233245306
44,"('look', 'at')",2797.2623948089395
45,"('more', 'than')",2728.159838056892
46,"('associate', 'with')",2116.2542162634254
47,"('their', 'own')",1897.130594292868
48,"('a', 'lot')",1812.293582296518
49,"('deal', 'with')",1794.3406166686696
50,"('my', 'oh')",1791.380707335655
51,"('oh', 'my')",1791.380707335655
52,"('very', 'much')",1785.569069189922
53,"('look', 'forward')",1785.351175605952
54,"('on', 'Barbie')",1764.4351105527355
55,"('let', ""'s"")",1706.6519405862243
56,"('civil', 'right')",1695.250256902596
57,"('human', 'right')",1615.3687897162808
58,"('there', 'be')",1598.8748956536715
59,"('I', 'want')",1580.7626322941132
60,"('last', 'year')",1546.7505083806025
61,"('one', 'another')",1512.301009321965
62,"('can', 'not')",1489.9556804238446
63,"('it', 'be')",1488.257667190384
64,"('one', 'percent')",1453.4705455257738
65,"('wannon', 'say')",1358.1814302062862
66,"('go', 'party')",1343.135616369627
67,"('the', 'world')",1336.7057829949817
68,"('go', 'to')",1336.2104186921272
69,"('it', ""'s"")",1280.013734203851
70,"('if', 'you')",1277.5222866369918
71,"('for', 'example')",1264.1551462050807
72,"('I', 'think')",1246.4091852594872
73,"('part', 'of')",1224.5311798739715
74,"('lot', 'of')",1164.399804816386
75,"('want', 'to')",1164.2054631011902
76,"('in', 'the')",1110.5949007763252
77,"('sort', 'of')",1110.2877458954104
78,"('the', 'United')",1045.435317808709
79,"('we', 'have')",1005.0944359958496
80,"('I', '’ve')",966.7846799593718
81,"('I', 'be')",939.9285612540841
82,"('I', 'have')",938.6765182138066
83,"('try', 'to')",932.0934092300688
84,"('I', 'mean')",908.5859596627384
85,"('in', 'space')",899.145780185436
86,"('a', 'little')",873.9046175494576
87,"('I', '’m')",859.5128931868782
88,"('of', 'the')",852.4314514433024
89,"('here', 'today')",811.1495486906242
90,"('periodicity', 'in')",800.871040095691
91,"('hold', 'on')",782.1642714169909
92,"('the', 'PRESIDENT:')",780.5256147696319
93,"('I', 'will')",725.059984498989
94,"('right', 'now')",720.7047749254382
95,"('as', 'a')",708.144300486225
96,"('we', 'can')",706.7841772112614
97,"('be', 'not')",701.454351210785
98,"('we', 'must')",696.1317796739072
99,"('work', 'together')",681.966006508415
100,"('be', 'a')",674.7793540065248
101,"('have', 'got')",646.0647046848296
102,"('able', 'to')",623.6866277207914
103,"('the', 'same')",621.8507054667648
104,"('we', 'need')",621.0228835456268
105,"('as', 'well')",614.8720016197695
106,"('kind', 'of')",590.0143281755961
107,"('that', 'we')",582.430388896928
108,"('if', 'we')",577.9612478320606
109,"('you', 'wannon')",576.4699949742902
110,"('of', 'us')",569.455326398524
111,"('will', 'never')",567.9560183927515
112,"('look', 'like')",557.1780770666782
113,"('will', 'not')",535.7197439928432
114,"('give', 'i')",525.9689638977653
115,"('work', 'with')",523.0879463108674
116,"('I', 'hope')",514.0991256130989
117,"('a', 'new')",508.5254376067111
118,"('my', 'own')",508.060426683335
119,"('ll', 'see')",504.1062671547664
120,"('sure', 'that')",499.8691029022273
121,"('out', 'of')",497.3363328599774
122,"('believe', 'that')",491.02854877479683
123,"('I', 'believe')",486.45806340244866
124,"('we', 'will')",484.59867998057814
125,"('America', ""'s"")",483.60213729501766
126,"('right', 'so')",477.71442212591364
127,"('tell', 'i')",464.29317567901484
128,"('so', 'much')",463.3641846554322
129,"('and', 'women')",460.2842403073358
130,"('I', 'know')",457.7433786734897
131,"('on', 'the')",447.99834661902094
132,"('want', 'it')",447.34104004766374
133,"('be', 'go')",447.10676652402145
134,"('number', 'of')",436.23214435873336
135,"('source', 'of')",429.5268824871011
136,"('my', 'life')",427.81758805477045
137,"('we', 'be')",427.7567218386988
138,"('I', '')",405.0978314967018
139,"('this', 'country')",397.739599435196
140,"('out', 'there')",395.56981497660246
141,"('it', '’s')",390.3845228694135
142,"('us', 'economy')",387.5110995414349
143,"('a', 'few')",387.0672048274908
144,"('commitment', 'to')",373.4991159308651
145,"('you', 'guy')",369.03024240856143
146,"('in', 'term')",363.06384761214923
147,"('be', 'why')",360.6330556132728
148,"('some', 'of')",358.35217991377124
149,"('continue', 'to')",356.5232404065262
150,"('Jeff', 'so')",350.3015972593747
151,"('goodbye', 'to')",347.51965385715084
152,"('the', 'American')",346.66945092492244
153,"('at', 'the')",345.81068695481804
154,"('member', 'of')",342.4672531035267
155,"('that', 'be')",341.4004051913083
156,"('got', 'to')",338.3576779525802
157,"('us', 'country')",338.1606697500654
158,"('he', 'see')",334.5637157686648
159,"('there', ""'s"")",333.3139148903416
160,"('us', 'child')",329.5861809137634
161,"('', 'will')",329.0482552320485
162,"('the', 'fact')",328.4364964470038
163,"('you', 'better')",328.08465633703304
164,"('when', 'we')",326.6068716691006
165,"('and', 'I')",324.9255074455485
166,"('in', 'Washington')",321.92118047841876
167,"('that', 'who')",318.01921176013224
168,"('be', 'gonnon')",317.1190504794182
169,"('have', 'propose')",309.72835684038284
170,"('you', 'can')",301.9737005583413
171,"('in', 'Afghanistan')",300.1337485262937
172,"('somebody', 'to')",299.98498813053834
173,"('go', 'through')",296.8838892236567
174,"('in', 'this')",291.4589227220015
175,"('not', 'just')",290.91369364049245
176,"('us', 'nation')",289.21861987278334
177,"('consequence', 'of')",282.9114718534177
178,"('in', 'Iraq')",281.2235741457272
179,"('the', 'way')",280.6711341485108
180,"('we', ""'"")",278.89186836211906
181,"('and', 'yet')",278.38121027870767
182,"('chance', 'to')",273.65526740082606
183,"('I', ""'"")",273.4542510563344
