,bigram,chi-sq
0,"('Fraser', 'Freer')",1146995.0
1,"('librivox', 'recording')",1132475.0885404474
2,"('Johnny', 'Crow')",983135.1427854011
3,"('United', 'States')",948798.3087867609
4,"('Aph', 'Lin')",947927.9338677324
5,"('Von', 'der')",941053.7203937611
6,"('Horton', 'Lodge')",809639.9999630745
7,"('Vril', 'ya')",808832.459427905
8,"('der', 'Herts')",782037.2726648558
9,"('Bo', ""'sun"")",771031.677738588
10,"('Olga', 'Bracely')",767213.511569693
11,"('Adelphi', 'Terrace')",764657.3332391727
12,"('ma', ""'am"")",749952.3845281655
13,"('Scotland', 'Yard')",706670.9586307195
14,"('Herbert', 'Calvert')",705834.4613733448
15,"('Ezra', 'Brunt')",693918.0045724176
16,"('Hamdi', 'Bey')",635253.0460903216
17,"('Mdlle', 'Reuter')",621386.3100466916
18,"('Uncle', 'Sam')",565447.874590469
19,"('Suan', 'Isco')",521347.72697550146
20,"('Gy', 'ei')",518868.28554192773
21,"('M.', 'Pelet')",517492.5514256613
22,"('Lee', 'Haines')",500811.12199108297
23,"('Tewfick', 'Pasha')",497709.91876167967
24,"('Silent', 'One')",477908.749949142
25,"('Sampson', 'Levi')",461300.2810889853
26,"('Sports', 'Club')",458791.99994768895
27,"('South', 'Africa')",388326.1018429419
28,"('Ronicky', 'Doone')",385934.4300277247
29,"('Rupert', 'Steele')",367801.6731247247
30,"('Betty', 'Neal')",322984.1112213539
31,"('Prince', 'Aribert')",320090.41343896935
32,"('Vega', 'Interplanet')",318601.3888104224
33,"('Caroline', 'Smith')",310689.9292741062
34,"('Bill', 'Gregg')",296191.2916416185
35,"('Grey', 'Molly')",292792.9206473825
36,"('Agony', 'column')",291015.8953343534
37,"('Theodore', 'Racksole')",269533.87538937957
38,"('Prince', 'Eugen')",255934.76740401622
39,"('Orphan', 'asylum')",251732.20246832195
40,"('don', '’t')",244164.44422096096
41,"('Mary', 'Ann')",242573.81024428218
42,"('buck', 'Daniels')",239311.69500943148
43,"('Reginald', 'Dimmock')",238976.9175759463
44,"('Robert', 'Macklin')",232247.09222590516
45,"('public', 'domain')",228550.6991678188
46,"('visit', 'librivox.org')",225949.69163103885
47,"('Eli', 'Machin')",220567.8845449659
48,"('mrs', 'Maldon')",218474.9794429411
49,"('grand', 'Babylon')",214421.26125350242
50,"('St', 'Luke')",208533.09076927725
51,"('Lady', 'ambermere')",208062.98791230275
52,"('Sir', 'Launcelot')",197192.83607661686
53,"('training', 'tape')",196613.6570388375
54,"('Felix', 'Babylon')",191747.59751775602
55,"('librivox.org', 'record')",191576.00762668342
56,"('David', 'Briscoe')",185193.56720337202
57,"('mantel', 'shelf')",157975.86771861382
58,"('dry', '-towner')",157009.22579240424
59,"(""'"", 'll')",148262.2328890884
60,"('Miss', 'Katherine')",146804.6655072313
61,"('-', 'law')",143798.12247891127
62,"('Captain', 'Fraser')",142885.10744700214
63,"('Uncle', 'Parke')",141276.83013680577
64,"('per', 'cent')",140652.88672307134
65,"('motor', '-car')",140552.9165797561
66,"('1', '2')",139037.72306147
67,"('Mary', 'Cary')",138172.59668394664
68,"('warp', 'drive')",138072.39670514595
69,"('Parke', 'Alden')",131696.4975944795
70,"('Ruth', 'Earp')",127658.96342863124
71,"('didn', ""'t"")",125262.01438651262
72,"('five', 'towns')",124089.06732026442
73,"('King', 'Arthur')",123733.10378342462
74,"('cosmic', 'dust')",120372.06984579879
75,"('Madome', 'Beck')",119861.88921727889
76,"('Harry', 'Fisher')",119843.42729051776
77,"('do', 'not')",117621.79769740014
78,"('volunteer', 'please')",116261.76861487396
79,"('chocolate', 'remedy')",113651.108147868
80,"('Sir', 'Walter')",111305.38511894485
81,"('Colonel', 'Hughes')",110954.29137812635
82,"('taxi', 'driver')",108375.87662886293
83,"('Captain', 'Arcoll')",106427.00563312414
84,"('', 'do')",103141.18823246223
85,"('dry', '-town')",102396.60696420477
86,"('orphan', 'asylum')",100084.80008419955
87,"('Christmas', 'Eve')",90190.97248589661
88,"('Miss', 'Terry')",87317.80814860562
89,"('grand', 'Duke')",85765.56753966698
90,"('Louis', 'Fores')",85141.12710555943
91,"('observation', 'Lounge')",85012.24615135347
92,"('Ruth', 'Tolliver')",80305.12431587612
93,"('Staffordshire', 'signal')",79639.23615205726
94,"('Sampson', 'Gundry')",79239.07368823164
95,"('mrs', 'Baine')",78744.50811659975
96,"('mrs', 'Quantock')",78321.54272667211
97,"('lord', 'Tynedale')",76592.21529515523
98,"('May', 'Deane')",76556.50196376919
99,"('May', 'Lawton')",76556.50196376919
100,"('mister', 'Carlyle')",76041.08522592766
101,"('mister', 'Povey')",74231.29354448577
102,"('Geoffrey', 'West')",73324.24556237587
103,"('Harry', 'Morgan')",73001.44316169962
104,"('Raynor', 'three')",70004.05227587683
105,"('year', 'ago')",69934.50245649336
106,"('replied', 'Carrado')",67857.23519522403
107,"('Sir', 'Kay')",65344.231448012935
108,"('Madome', 'Reuter')",65193.08215764244
109,"('John', 'mark')",63696.002071887844
110,"('Christmas', 'Angel')",63424.88772043812
111,"('Prester', 'John')",61710.34965699387
112,"('Harry', 'Meltham')",59912.28862339088
113,"('Madome', 'Pelet')",59062.01596520954
114,"('don', ""'t"")",58488.01647153678
115,"('o', '’clock')",58006.85978228894
116,"('Dr', 'silence')",57065.646696302036
117,"('Edgar', 'Linton')",56879.30595985891
118,"('Thomas', 'Batchgrew')",56448.86218084477
119,"('Sir', 'James')",56266.30990242178
120,"('Miss', 'Spencer')",55270.76093867225
121,"('Pete', 'glass')",55150.30559208751
122,"('uncle', 'Robson')",54601.286147475934
123,"('Homburg', 'hat')",54016.69327410152
124,"('CHAPTER', 'eigth')",54016.50642267989
125,"('new', 'York')",53644.0992013778
126,"('Miss', 'Grey')",52818.572248426244
127,"('invisible', 'vapour')",52654.561364475834
128,"('dining', 'room')",50938.13132511617
129,"('Miss', 'Bray')",50319.737974015145
130,"('can', 'not')",50085.005352639935
131,"('mrs', 'Baines')",48716.64249857966
132,"('miss', 'Terry')",48087.59304077496
133,"('Five', 'town')",47355.103081011504
134,"('Inspector', 'Bray')",46934.809887968506
135,"('Wee', 'bear')",46356.806786069545
136,"('CHAPTER', 'thVrd')",45408.23731835753
