,bigram,chi-sq
0,"('hitch', 'hiker')",94129.62937343074
1,"('gottum', 'die')",44039.2055115206
2,"('don', '’t')",33506.74188896668
3,"('$', 'product')",29072.031625548763
4,"('mister', 'Jackson')",28202.300058603472
5,"('thousand', 'pound')",27052.61211515935
6,"('die', 'gottum')",20801.653499539334
7,"('', 'do')",15932.558444581238
8,"('do', 'not')",14716.72009397603
9,"('printing', 'house')",13365.211287233968
10,"('new', 'York')",10712.691646278616
11,"('stop', 'suddenly')",7982.645235382759
12,"('young', 'man')",6303.044756530526
13,"(""'"", 'll')",5957.408415919332
14,"('year', 'ago')",5580.5973646932425
15,"('government', 'die')",5199.0748044886
16,"('good', 'deal')",5152.608751427344
17,"('at', 'length')",4880.786152450425
18,"('can', 'not')",4603.105969180573
19,"('pick', 'up')",4602.411954089433
20,"('tho', ""'"")",4556.566379821792
21,"('', 'can')",4041.071076993144
22,"(""'It"", ""'s"")",3816.075246224056
23,"('so', 'beautiful')",2763.8045555621384
24,"('little', 'girl')",2636.8770194801473
25,"(""'s"", 'shit')",2543.893990042976
26,"('my', 'brother')",2476.0739002359655
27,"('look', 'at')",2473.428206277733
28,"('a', 'few')",2424.582208291032
29,"(""'"", 'yes')",2305.9694295252943
30,"('someone', 'get')",2073.112309751102
31,"('set', 'up')",2029.796814103871
32,"('in', 'front')",2023.6016923534014
33,"('I', 'think')",1962.073673822144
34,"('little', 'boy')",1955.23386016254
35,"('draw', 'up')",1899.2525401176533
36,"('second', 'car')",1860.7797352457158
37,"('of', 'the')",1788.8368501436616
38,"('every', 'day')",1694.5454733331014
39,"('few', 'day')",1688.5176900788806
40,"('my', 'father')",1685.1819010214388
41,"('take', 'care')",1610.6267922478958
42,"('give', 'i')",1568.3542416653027
43,"('soon', 'after')",1567.4746742086375
44,"('her', 'face')",1523.499358074852
45,"('his', 'lordship')",1490.9289486386754
46,"('year', 'old')",1473.5251444001276
47,"('tell', 'i')",1451.4557990736537
48,"('the', 'same')",1437.5297974200373
49,"('say', ""'but"")",1405.3536280440487
50,"('thro', ""'"")",1372.5545366335393
51,"('I', 'have')",1370.7464718681033
52,"('Wake', 'i')",1360.110828068237
53,"('a', 'little')",1337.0279414474028
54,"('I', '')",1295.8659969291803
55,"('to', 'me')",1289.7935883239843
56,"('star', 'at')",1278.1619176248682
57,"('there', 'be')",1272.6458235579755
58,"('say', ""'I"")",1269.5077632572134
59,"('recefourth', 'will')",1221.0921013754341
60,"('front', 'of')",1205.5343120758514
61,"('smil', 'at')",1190.8567307617477
62,"('propo', 'will')",1188.560766020183
63,"('too', 'much')",1185.0213263519952
64,"('more', 'than')",1149.923832317165
65,"('I', '’m')",1132.5062069908395
66,"('in', 'the')",1094.7803929165602
67,"('it', 'be')",1073.9694054774288
68,"('some', 'time')",1053.218320113417
69,"('his', 'neck')",1038.0181017004586
70,"('the', 'road')",1032.4181436648441
71,"('the', 'best')",1006.7919119871592
72,"('if', 'you')",1003.0078670687413
73,"('few', 'year')",996.3041384558619
74,"('on', 'board')",979.1094379418877
75,"('king', ""'s"")",974.0607606557562
76,"(""'"", ""'"")",965.4243253521619
77,"('long', 'time')",953.3508018666031
78,"('arrfourth', 'will')",950.9022161598126
79,"('talk', 'about')",949.6478802185306
80,"('away', 'from')",933.8663806991508
81,"('part', 'of')",926.2158093551194
82,"('it', 'seem')",907.7371961236314
83,"('save', 'i')",902.3418238486829
84,"('he', 'say')",893.9205433862825
85,"('die', 'for')",871.2560840959553
86,"('you', 'know')",849.300182843049
87,"('the', 'assembly')",840.7579928256554
