,bigram,chi-sq
0,"('Carnegie', 'Mellon')",101936.0
1,"('J.', 'D.')",81545.5994976452
2,"('virtual', 'reality')",66188.44116446884
3,"('mister', 'Banner')",55892.708396832524
4,"('Baby', 'join')",51264.49311845776
5,"('Dr', 'Cox')",45846.4390692014
6,"('clinic', 'trial')",39719.376690265686
7,"('faith', 'faith')",36687.358744186975
8,"('white', 'Dope')",35143.79246065604
9,"('fix', 'point')",33733.948984987284
10,"('Dr', 'Kelso')",29572.348187701133
11,"('Randy', 'Pausch')",28951.30600665378
12,"('spirit', 'move')",23572.951107348126
13,"('don', '’t')",23455.71366130629
14,"('childhood', 'dream')",19789.539791633306
15,"('wasn', '’t')",16674.42792926669
16,"(""'"", 'll')",16654.030650489603
17,"('J.D.', ""'s"")",15098.937843803851
18,"('couldn', '’t')",14328.320649606541
19,"('didn', '’t')",13810.062816171478
20,"('square', 'root')",12512.07141410337
21,"('software', 'engineer')",11025.184116419703
22,"('exercise', '1')",10253.119453299529
23,"('normal', 'order')",10150.835781579384
24,"('', 'do')",9772.553047936104
25,"('local', 'variable')",9750.211207345723
26,"(""'s"", 'Narration')",8836.60063195494
27,"('Edward', 'Cullen')",8337.202646816146
28,"('positive', 'integer')",7999.8909020719275
29,"('rather', 'than')",7634.43306604307
30,"('special', 'form')",7464.374346414552
31,"('move', 'through')",7313.477386695053
32,"('good', 'enough')",7179.273075896586
33,"('computer', 'science')",7041.998899809162
34,"('“I', '’m')",6837.744743220969
35,"(""'s"", 'Thought')",6774.261822011585
36,"('order', 'evaluation')",6709.009207195809
37,"('initial', 'guess')",6650.1305705663735
38,"('thing', 'spirit')",6636.017623683099
39,"(""'"", ""'"")",6486.200059074302
40,"('show', 'slide')",6408.031426449788
41,"('evaluation', 'rule')",6347.985414612565
42,"('wouldn', '’t')",6250.456234337921
43,"('programming', 'language')",5973.433830635413
44,"('do', 'not')",5906.266186395307
45,"('recursive', 'process')",5594.011861134487
46,"('less', 'than')",5590.148906629065
47,"('x', 'y')",5471.782112731162
48,"('great', 'white')",5154.091241377263
49,"('Fermat', 'test')",4885.869317605072
