,bigram,chi-sq
0,"('Humpy', 'Dumpy')",437932.0
1,"('Porto', 'Ferrajo')",437932.0
2,"('librivox', 'recording')",414881.9999610594
3,"('mis', ""'ess"")",391832.10519368993
4,"('United', 'States')",386408.8234689652
5,"('Grandfer', 'Cantle')",317376.0121379779
6,"('Hilton', 'Cubitt')",315408.7615565703
7,"('hackney', 'coach')",248820.34079538228
8,"('Inspector', 'Martin')",243290.5554299622
9,"('Saint', 'Meran')",237201.24929246612
10,"('Gideon', 'Spilett')",222893.56188799473
11,"('Jonas', 'Oldacre')",211451.42548918835
12,"('weg', 'weg')",194628.44419782408
13,"('heat', 'Ray')",180991.2658806554
14,"('M.', 'Morrel')",179853.53676591374
15,"('d', ""'If"")",173089.09074905544
16,"('Christmas', 'Eve')",170121.67475076483
17,"('robber', 'maie')",169846.78679375662
18,"('Cyrus', 'Harding')",158968.8002595116
19,"('bar', ""'l"")",155090.64781312124
20,"('snow', 'Queen')",151828.2655218504
21,"('Captain', 'leclere')",135897.51673112327
22,"('Exeunt', 'Scene')",130650.62880573557
23,"('nineteenth', 'century')",112282.82034302093
24,"('King', 'Hans')",107327.54880639157
25,"('Fir', 'Tree')",92449.37624997864
26,"('Captain', 'Leclere')",90597.10318748189
27,"('-', 'law')",90574.96349244857
28,"('grand', 'marshal')",88819.35068948093
29,"('1', 'Mus')",86881.19024791745
30,"('Maybury', 'Hill')",86755.16972874191
31,"('Friar', 'Laurence')",84845.41075495735
32,"('Christmas', 'eve')",77081.65794929002
33,"('mrs', 'Yeobright')",76160.71153010924
34,"('mister', 'Bixby')",75892.99466174914
35,"('Cyrus', 'Hard')",68056.18678970498
36,"('mrs', 'Sommer')",67365.69211447208
37,"(""'"", 'll')",57663.805083674364
38,"('Uncle', 'John')",56349.36925511155
39,"('M.', 'de')",55917.53625066492
40,"('St', 'George')",55917.164667678175
41,"('St', 'Louis')",55917.164667678175
42,"('Sherlock', 'Holmes')",52533.35911379253
43,"('de', 'Saint')",50110.1991437674
44,"('drink', 'offering')",46355.96441386832
45,"('de', 'Salvieux')",43601.02191073049
46,"('do', 'not')",39882.10262803649
47,"('mrs', 'Yeobray')",37417.179484525375
48,"('Palais', 'de')",35595.040440620476
49,"('Finland', 'woman')",30463.236379554102
50,"('copy', 'clerk')",27388.56937608158
51,"('new', 'Orlean')",26621.064529500054
52,"('human', 'being')",26182.150625496277
53,"('sand', 'pit')",25958.556721779467
54,"('de', 'Villefort')",24470.783772466064
55,"('County', 'Paris')",24314.945090309382
56,"('no', 'doubt')",23388.514429549505
57,"('year', 'ago')",22990.670637691004
58,"('snow', 'flake')",22305.940599282265
59,"('mister', 'Holmes')",20294.501930551818
60,"(""'"", 'clock')",19891.18280185886
61,"('thou', 'hast')",18968.62911299934
62,"('new', 'York')",18789.7241863323
63,"('', 'do')",18691.94577212053
64,"('pine', 'tree')",18130.326896683175
65,"('Captain', 'Hard')",18102.209364077687
66,"('more', 'than')",17333.596683533142
67,"('mister', 'Coombe')",17311.621727024507
68,"('mister', 'Coombes')",16972.449735714636
69,"('East', 'street')",16624.768028243187
70,"('can', 'not')",15783.448752782166
71,"('police', 'office')",15285.348246538158
72,"('railway', 'station')",15261.470077954684
73,"('', 'can')",14875.74775101912
74,"('mister', 'Jonas')",14544.737881848308
75,"('young', 'man')",14381.436222443856
76,"('Lapland', 'woman')",14251.320335246504
77,"('it', 'be')",13883.29819849601
78,"('thou', 'art')",13278.741699720591
79,"('heart', 'attack')",12922.798801150662
80,"('each', 'other')",12680.745745977243
81,"('o', ""'er"")",12468.26474379456
82,"('my', 'wife')",12454.394813005718
83,"('art', 'thou')",12193.318713197783
84,"('de', 'justice')",11852.224882294551
85,"('picture', 'book')",11851.629294476359
86,"('Wok', 'station')",11767.168454407214
87,"('pine', 'wood')",11692.077994049623
88,"('hundred', 'yard')",11640.594533584992
89,"('my', 'brother')",11476.821156504626
90,"('o', ""'"")",11163.734769324155
91,"('sat', 'down')",11137.378252737471
92,"('little', 'Gerda')",10913.318210799951
93,"('tell', 'i')",10722.308314189611
94,"('at', 'least')",10677.906737917958
95,"('dog', 'cart')",10525.763246505669
96,"('Horsell', 'common')",10445.25469674618
97,"('of', 'the')",10414.446098477769
98,"('at', 'last')",10097.701058269724
99,"('there', 'be')",10015.450762281387
100,"('real', 'Princess')",9732.619139688355
101,"('my', 'dear')",9680.20909000754
102,"('no', 'longer')",9057.07718552668
103,"('next', 'morning')",8996.607980041867
104,"(""'"", 'st')",8966.907945582874
105,"('dear', 'Watson')",8480.873789561316
106,"('at', 'once')",8370.04411524922
107,"('on', 'board')",8125.272997686963
108,"('any', 'rate')",8056.079109649763
109,"('mister', 'Sherlock')",8005.881831617394
110,"('better', 'than')",7889.727648631162
111,"('little', 'Kay')",7841.41015626478
112,"('let', 'us')",7841.16323139668
113,"('neighbor', 'Caderousse')",7804.289983128001
114,"('high', 'heel')",7444.780928738706
115,"('court', 'yard')",6829.47640480825
116,"('few', 'minute')",6766.321785181901
117,"('good', 'deal')",6591.940849793614
118,"('in', 'the')",6552.426096690011
119,"('so', 'much')",6299.187658380176
120,"('draw', 'nearer')",6198.416717206073
121,"('his', 'own')",6088.436983218283
122,"('three', 'month')",5899.755160759099
123,"('far', 'away')",5887.894155705027
124,"('hundred', 'foot')",5874.99625166669
125,"('half', 'past')",5702.647700492128
126,"('good', 'bye')",5649.55455697852
127,"('next', 'day')",5626.514147489044
128,"('wide', 'world')",5591.923157796798
129,"('', 'ai')",5561.780945037524
130,"('blue', 'sky')",5522.199101861853
131,"('young', 'girl')",5455.411150846285
132,"(""'"", 'em')",5394.837181922218
133,"('deep', 'blue')",5293.704357142245
134,"('his', 'head')",5159.8348833056825
135,"('I', 'shall')",5024.887181085927
136,"('new', 'clothe')",5024.754966892353
137,"('minute', 'later')",5003.672245980255
138,"('little', 'Mice')",4964.296275064644
139,"('twenty', 'four')",4951.546510313335
140,"('talk', 'about')",4882.215300102301
141,"(""'"", 'Tis')",4793.942936328067
142,"('old', 'man')",4769.070733349739
143,"('five', 'minute')",4704.93736112057
144,"('well', 'known')",4678.768838210247
145,"('we', 'shall')",4614.306016069099
146,"('old', 'minister')",4567.782863259391
147,"('hundred', 'mile')",4519.503846457864
148,"('old', 'woman')",4493.798244765922
149,"('able', 'to')",4393.189840192913
150,"('seem', 'to')",4335.9932188855055
151,"('begin', 'to')",4298.902250358346
152,"('a', 'few')",4270.357154255441
153,"('green', 'smoke')",4182.854143365554
154,"('little', 'robber')",4123.802273471777
155,"('I', '')",4117.699118451627
156,"('as', 'if')",4113.727196616304
157,"('look', 'at')",4109.723240965289
158,"('Edmond', 'Dantes')",3977.094155193646
159,"('little', 'girl')",3972.034756189925
160,"('on', 'the')",3964.730564557127
161,"('I', 'have')",3959.5466614935704
162,"('same', 'time')",3952.264606203164
163,"('such', 'a')",3919.5162098381916
164,"('out', 'of')",3775.6423276240107
165,"('his', 'hand')",3741.4250407462564
166,"('never', 'mind')",3673.384883200927
167,"('his', 'companion')",3650.178270445901
168,"('yes', 'yes')",3609.1947954768
169,"('enter', 'Juliet')",3588.2353209485836
170,"('towards', 'Chertsey')",3550.467787797986
171,"('the', 'same')",3361.744320635562
172,"('to', 'me')",3315.633509175181
173,"('I', 'will')",3264.4542581182295
