,bigram,chi-sq
0,"('Aunt', 'Petunia')",177038.47455949258
1,"('Santa', 'Deodata')",176061.4166141649
2,"('Uncle', 'Vernon')",162005.94474924635
3,"('Signor', 'Carella')",159058.96441961886
4,"('Lo', 'Tek')",128040.66632648457
5,"('jiggelty', 'jolt')",124275.41154234542
6,"('jolt', 'jiggelty')",102705.13340998242
7,"('la', 'la')",101580.95786540203
8,"('Miss', 'Abbott')",87252.45905831164
9,"('rain', 'rain')",86240.84071650633
10,"('World', 'Cup')",82307.14233050973
11,"('don', '’t')",77821.56570805341
12,"('oh', 'oh')",73730.39253403575
13,"('public', 'domain')",67214.6993366449
14,"('mrs', 'Herriton')",62663.63737515044
15,"('wedding', 'ring')",58898.87031379471
16,"('Inspector', 'MacDonald')",54088.644234814805
17,"(""'"", 'll')",47633.15615550211
18,"('-', 'law')",45452.520747692455
19,"('white', 'Mason')",44998.80279717133
20,"('mister', 'Weasley')",39292.19647767585
21,"('Cecil', 'Barker')",32576.842758364404
22,"('Ludo', 'Bagman')",32022.5863373215
23,"('artificial', 'person')",28831.150398533744
24,"('Killing', 'floor')",25472.38096683998
25,"('do', 'not')",25025.137167977784
26,"('', 'do')",24772.56939769902
27,"('Dr', 'Watson')",23065.32830833594
28,"('mrs', 'Theobald')",21019.198251487152
29,"('Sherlock', 'Holmes')",16625.763204075036
30,"('miss', 'Abbott')",14172.01531462312
31,"('Manor', 'house')",13348.020107649141
32,"('thy', 'self')",13122.614044842783
33,"('mrs', 'Allen')",10486.065081546689
34,"('fall', 'asleep')",8789.957333556502
35,"('won', '’t')",8760.778653253154
36,"('living', 'room')",8619.47907854323
37,"('mrs', 'Weasley')",8209.586609088223
38,"('mister', 'Khodorkovsky')",8059.967532863658
39,"('mister', 'Holmes')",7819.982243351423
40,"('', 'can')",7773.168364928256
41,"('mister', 'Raven')",7459.752328450078
42,"('mister', 'Vinegar')",7341.987446829471
43,"('little', 'Ones')",7224.85213343841
44,"('more', 'than')",6873.147071639155
45,"('Harry', 'Potter')",6839.764058004398
46,"('bad', 'giant')",6814.708629076915
47,"('can', 'not')",6284.07713653114
48,"('at', 'once')",5822.28101994889
49,"('year', 'ago')",5751.9355630360105
50,"('at', 'least')",5613.256073683142
51,"('world', 'Cup')",5504.0560023920925
52,"('mister', 'Mac')",5310.568620624429
53,"('mister', 'Robert')",4998.781878473851
54,"('rather', 'than')",4714.567813482303
55,"('last', 'night')",4535.389288788332
56,"('mister', 'Crouch')",4432.977719296679
57,"('no', 'longer')",4240.496505414561
58,"('mister', 'Putin')",4198.532080630313
59,"('there', 'be')",4178.046382146648
60,"('cold', 'voice')",4055.001040170616
61,"('no', 'doubt')",4051.341256897066
62,"('mrs', 'Douglas')",3956.1120107267657
63,"('Riddle', 'house')",3873.425971648828
64,"('good', 'deal')",3807.9380823128295
65,"('“I', '’m')",3741.45381054961
66,"('it', 'be')",3576.3063681945177
67,"(""'"", 'st')",3332.1465328429986
68,"('try', 'to')",3300.8853252166055
69,"('of', 'course')",3231.537307894013
70,"('good', 'giant')",3214.952714617086
71,"('out', 'of')",3181.419166335121
72,"('tell', 'i')",3175.4314105045173
73,"('too', 'late')",3140.2920210959956
74,"('talk', 'about')",3009.225471166408
75,"('in', 'the')",2969.835585700628
76,"('sat', 'down')",2881.5195713233497
77,"('I', '')",2874.3579761205806
78,"('worry', 'about')",2857.082189792679
79,"('ever', 'since')",2728.507531140664
80,"('mister', 'Douglas')",2705.0086800294944
81,"('o', ""'"")",2686.3222948778343
82,"('', 'ai')",2671.305430658006
83,"('of', 'the')",2647.8678742416246
84,"('I', 'have')",2646.412106439272
85,"('seem', 'to')",2646.0862890932376
86,"('young', 'man')",2406.956006192616
87,"('each', 'other')",2377.453273409233
88,"('other', 'side')",2353.55110736991
89,"('want', 'to')",2305.7154374310694
90,"('too', 'much')",2260.3088618234456
91,"('“That', '’s')",2249.983688369403
92,"('pick', 'up')",2211.406314224231
93,"('mister', 'Dougla')",2183.0637191786204
94,"('his', 'wife')",2169.4922343395915
95,"('begin', 'to')",2164.209194561693
96,"('on', 'the')",2147.0688759357927
97,"('as', 'though')",2116.5079541757714
98,"('a', 'few')",2032.3221663630857
99,"('my', 'dear')",1964.7282544454408
100,"('said', 'mrs')",1934.3401982775513
101,"('at', 'length')",1850.11223367111
102,"('at', 'last')",1741.754298202322
103,"('the', 'same')",1725.0553801431543
