,trigram,freq
57471,"('epocum_NOUN', 'del_ADJ', 'mito_NOUN')",13
32576,"('human_ADJ', 'interface_NOUN', 'object_NOUN')",6
82183,"('good_ADJ', 'girl_NOUN', 'honey_NOUN')",4
34068,"('oh_ADJ', 'oh_ADJ', 'oh_ADJ')",4
32416,"('Fitt_NOUN', ""'_PART"", 'law_NOUN')",3
53710,"('new_ADJ', 'one_NUM', 'burn_NOUN')",3
53666,"('yeah_NOUN', 'Uh_ADP', 'huh_ADJ')",3
20064,"('delicious_ADJ', 'little_ADJ', 'fruit_NOUN')",2
67678,"('latest_ADJ', 'cold_ADJ', 'snap_NOUN')",2
79543,"('last_ADJ', 'Saturday_PROPN', 'night_NOUN')",2
67620,"('store_NOUN', '’s_DET', 'sound_ADJ')",2
60745,"('city_NOUN', '’s_ADP', 'street_NOUN')",2
31565,"('department_NOUN', 'name_NOUN', 'etc_ADJ')",2
31564,"('number_NOUN', 'department_NOUN', 'name_NOUN')",2
31563,"('phone_NOUN', 'number_NOUN', 'department_NOUN')",2
31562,"('address_NOUN', 'phone_NOUN', 'number_NOUN')",2
31561,"('name_NOUN', 'address_NOUN', 'phone_NOUN')",2
31475,"('information_NOUN', 'resource_NOUN', 'department_NOUN')",2
74052,"('red_ADJ', 'haire_VERB', 'woman_NOUN')",2
12324,"('father_NOUN', ""'s_PART"", 'death_NOUN')",2
73403,"('van_ADJ', 'last_ADJ', 'night_NOUN')",2
13009,"('nearest_ADJ', 'way_NOUN', 'home_NOUN')",2
58433,"('artist_NOUN', ""'_ADP"", 'colony_NOUN')",2
57359,"('gray_NOUN', 'fir_VERB', 'clay_NOUN')",2
82002,"('living_ADJ', 'life_NOUN', 'get_NOUN')",2
82003,"('life_NOUN', 'get_NOUN', 'hard_ADJ')",2
65126,"('Angel_NOUN', '’s_ADP', 'program_NOUN')",2
42829,"('baby_NOUN', 'like_ADP', 'boom_NOUN')",2
1534,"('eye_NOUN', 'go_VERB', 'wander_NOUN')",2
43117,"('many_ADJ', 'different_ADJ', 'thing_NOUN')",2
82540,"('world_NOUN', '’s_DET', 'crashing_NOUN')",2
20986,"('baby_NOUN', ""'s_PART"", 'lip_NOUN')",2
63516,"('summer_NOUN', '’s_ADP', 'night_NOUN')",1
57233,"('right_NOUN', 'Myth_ADP', 'time_NOUN')",1
57147,"('crazy_NOUN', 'old_ADJ', 'woman_NOUN')",1
57277,"('gallery_NOUN', 'Painting_NOUN', 'rich_ADJ')",1
57282,"('color_NOUN', 'depict_VERB', 'lo_ADJ')",1
55461,"('night_NOUN', 'sitt_VERB', 'around_NOUN')",1
55476,"('campfire_ADJ', 'moo_NOUN', 'tonight_NOUN')",1
57194,"('parent_NOUN', ""'_ADP"", 'house_NOUN')",1
62682,"('compadre_NOUN', 'Los_ADJ', 'lobo_NOUN')",1
62680,"('companion_NOUN', '’s_ADP', 'compadre_NOUN')",1
56932,"('sister_NOUN', '’s_ADP', 'amusement_NOUN')",1
56897,"('bruja_NOUN', 'make_VERB', 'dark_NOUN')",1
56899,"('dark_NOUN', 'hurtful_ADJ', 'magic_NOUN')",1
55567,"('dark_NOUN', 'skin_VERB', 'man_NOUN')",1
56850,"('sister_NOUN', '“You_ADP', 'can’t_NOUN')",1
55512,"('silver_NOUN', 'votive_ADJ', 'offering_NOUN')",1
55511,"('small_ADJ', 'silver_NOUN', 'votive_ADJ')",1
62659,"('tall_NOUN', 'older_ADJ', 'man_NOUN')",1
62642,"('question_NOUN', 'die_VERB', 'stillborn_ADJ')",1
56974,"('de_NOUN', 'lo_VERB', 'suenumber_NOUN')",1
55533,"('candle_NOUN', '’s_DET', 'flame_NOUN')",1
57659,"('tabletop_NOUN', 'El_X', 'lobo_NOUN')",1
55351,"('table_ADJ', 'many_ADJ', 'mile_NOUN')",1
55350,"('kitchen_ADJ', 'table_ADJ', 'many_ADJ')",1
57618,"('equal_ADJ', 'people_NOUN', 'animal_NOUN')",1
57619,"('people_NOUN', 'animal_NOUN', 'plant_NOUN')",1
57755,"('curious_ADJ', 'Christmas_PROPN', 'thaw_NOUN')",1
55375,"('hand_NOUN', 'remain_VERB', 'free_ADJ')",1
57389,"('smoke_NOUN', 'people_NOUN', 'frozen_ADJ')",1
55433,"('old_ADJ', 'fridge_NOUN', 'grumble_ADJ')",1
57321,"('woman_ADJ', 'clown_NOUN', 'deer_NOUN')",1
57322,"('clown_NOUN', 'deer_NOUN', 'dancer_NOUN')",1
57326,"('tiny_NOUN', 'carve_VERB', 'Zuni_ADJ')",1
55400,"('cracked_ADJ', 'porcelain_NOUN', 'saucer_NOUN')",1
57551,"('angry_ADJ', 'Bettina_PROPN', 'thought_NOUN')",1
57462,"('grandmother_NOUN', '’s_ADP', 'description_NOUN')",1
56200,"('Chuy_NOUN', '’s_DET', 'family_NOUN')",1
63142,"('second_ADJ', 'floor_NOUN', 'window_NOUN')",1
55755,"('feral_ADJ', 'musky_ADJ', 'scent_NOUN')",1
63386,"('block_NOUN', 'upon_ADP', 'frozen_ADJ')",1
63287,"('past_ADJ', 'two_NUM', 'day_NOUN')",1
56040,"('act_NOUN', 'last_ADJ', 'year_NOUN')",1
63265,"('see_NOUN', 'saw_VERB', 'weather_NOUN')",1
56039,"('support_NOUN', 'act_NOUN', 'last_ADJ')",1
56121,"('ahi_ADJ', '“I_ADJ', '’m_NOUN')",1
63182,"('moment_NOUN', 'since_ADP', 'el_ADJ')",1
63337,"('wind_NOUN', 'chill_NOUN', 'factor_NOUN')",1
56091,"('tall_NOUN', 'dark_ADJ', 'man_NOUN')",1
63342,"('biting_NOUN', 'northern_ADJ', 'wind_NOUN')",1
56081,"('echoing_NOUN', 'whisper_ADP', 'deep_NOUN')",1
62830,"('house_NOUN', 'cast_NOUN', 'square_NOUN')",1
55627,"('people_NOUN', 'distant_ADJ', 'kin_NOUN')",1
55625,"('grandmother_NOUN', '’s_ADP', 'people_NOUN')",1
56613,"('hummingbird_NOUN', '’s_ADP', 'feather_NOUN')",1
56618,"('small_ADJ', 'colored_ADJ', 'bead_NOUN')",1
62868,"('man_NOUN', 'el_ADJ', 'lobo_NOUN')",1
56598,"('sack_NOUN', 'tiny_DET', 'thread_ADJ')",1
62869,"('el_ADJ', 'lobo_NOUN', 'reply_NOUN')",1
55650,"('damp_NOUN', 'green_ADP', 'lay_NOUN')",1
62847,"('borrow_ADJ', 'parkum_NOUN', 'closer_NOUN')",1
55592,"('tall_ADJ', 'lean_ADJ', 'man_NOUN')",1
63475,"('vehicle_NOUN', '’s_DET', 'heater_NOUN')",1
62746,"('mission_NOUN', 'back_ADJ', 'home_NOUN')",1
56808,"('different_ADJ', 'Sin_ADP', 'par_NOUN')",1
62745,"('old_ADJ', 'mission_NOUN', 'back_ADJ')",1
62949,"('wild_ADJ', 'nature_NOUN', '“I_ADJ')",1
56381,"('uninvited_ADJ', 'guest_NOUN', 'los_ADJ')",1
56382,"('guest_NOUN', 'los_ADJ', 'lobo_NOUN')",1
62951,"('“I_ADJ', '’m_NOUN', 'wary_NOUN')",1
62950,"('nature_NOUN', '“I_ADJ', '’m_NOUN')",1
56417,"('sound_NOUN', '“I_ADJ', '’m_NOUN')",1
56410,"('“I_ADJ', 'keep_NOUN', 'hear_NOUN')",1
55693,"('collarless_NOUN', 'white_ADP', 'shirt_NOUN')",1
56415,"('little_ADJ', 'click_NOUN', 'sound_NOUN')",1
56416,"('click_NOUN', 'sound_NOUN', '“I_ADJ')",1
56345,"('desert_NOUN', 'seem_ADJ', 'kind_NOUN')",1
56533,"('thing_NOUN', 'simple_ADJ', 'word_NOUN')",1
56547,"('moment_NOUN', 'part_ADJ', 'mojo_NOUN')",1
56548,"('part_ADJ', 'mojo_NOUN', 'charm_NOUN')",1
56549,"('mojo_NOUN', 'charm_NOUN', 'part_ADJ')",1
56550,"('charm_NOUN', 'part_ADJ', 'amuleto_NOUN')",1
56554,"('small_NOUN', 'cotton_ADJ', 'sack_NOUN')",1
56564,"('bad_ADJ', 'feeling_NOUN', 'Pollen_NOUN')",1
55685,"('man_NOUN', 'dark_ADJ', 'skinn_ADJ')",1
56492,"('quaint_ADJ', 'outdated_VERB', 'view_NOUN')",1
61586,"('la_NOUN', 'curandera_NOUN', 'tonta_NOUN')",1
60004,"('older_ADJ', 'woman_NOUN', 'said_NOUN')",1
60210,"('dome_NOUN', 'shape_VERB', 'cacti_NOUN')",1
61752,"('small_NOUN', 'pale_ADJ', 'limb_NOUN')",1
61756,"('large_ADJ', 'luminous_ADJ', 'eyes_NOUN')",1
59754,"('surrounding_ADJ', 'wild_ADJ', 'acre_NOUN')",1
59824,"('head_NOUN', '“I_ADJ', 'doubt_NOUN')",1
60769,"('dog_NOUN', 'since_ADP', 'dog_NOUN')",1
61155,"('lobo_NOUN', 'Myth_ADP', 'time_NOUN')",1
61046,"('dangling_ADJ', 'sleeve_NOUN', '“Dios_NOUN')",1
60482,"('gaze_NOUN', 'become_VERB', 'mild_NOUN')",1
60484,"('mild_NOUN', 'la_DET', 'brujeríum_NOUN')",1
61381,"('tall_NOUN', 'lean_ADJ', 'form_NOUN')",1
60388,"('wild_ADJ', 'creature_NOUN', 'Feral_ADJ')",1
60390,"('Feral_ADJ', 'Incorrigibly_ADV', 'amoral_ADJ')",1
60651,"('earlier_ADJ', 'Frost_VERB', 'grass_NOUN')",1
