,en,ru,fr
0,marred,омрачен,no_equality
1,marred,омрачена,no_equality
2,marred,омрачаются,no_equality
3,marred,омрачило,no_equality
4,marred,омрачали,no_equality
5,marred,омрачили,no_equality
6,marred,омрачается,no_equality
7,marred,допущены,no_equality
8,marred,характерны,marqué
9,sniping,снайперская стрельба,no_equality
10,tactless,бестактный,indélicat
11,tactless,бестактно,maladroit
12,tactless,бестактно,indélicat
13,arranges,организует,organise
14,arranges,проводит,organise
15,arranges,устраивает,organise
16,arranges,устраивает,arrange
17,arranges,принимает меры,no_equality
18,arranges,договаривается,no_equality
19,arranges,занимается организацией,organise
20,arranges,организующее,no_equality
21,vibe,атмосфера,ambiance
22,vibe,атмосфера,atmosphère
23,vibe,вибрация,vibe
24,vibe,вибрация,vibration
25,vibe,предчувствие,vibration
26,vibe,предчувствие,impression
27,vibe,предчувствие,sens
28,vibe,предчувствие,pressentiment
29,vibe,предчувствие,intuition
30,vibe,флюиды,ambiance
31,vibe,флюиды,vibration
32,vibe,флюиды,onde
33,vibe,энергетика,no_equality
34,vibe,настрой,ambiance
35,vibe,настроение,ambiance
36,vibe,настроение,atmosphère
37,vibe,ауру,no_equality
38,vibe,волну,onde
39,vibe,ощущение,sens
40,vibe,ощущение,sensation
41,vibe,ощущение,pressentiment
42,legally,юридически,légalement
43,legally,юридически,juridiquement
44,legally,юридически,droit
45,legally,юридически,juridique
46,legally,законно,no_equality
47,legally,легально,légalement
48,legally,по закону,no_equality
49,legally,официально,légalement
50,legally,официально,officiellement
51,legally,законным путем,légalement
52,legally,законным путем,légitimement
53,legally,законных основаниях,légitimement
54,legally,законом,no_equality
55,legally,юридическую,no_equality
56,legally,правовом,no_equality
57,legally,юридическом,no_equality
58,legally,юридических,no_equality
59,legally,законное,no_equality
60,legally,юридическое,no_equality
61,legally,юридические,no_equality
62,legally,законным порядком,légaux
63,legally,законным порядком,licite
64,legally,в законном порядке,légalement
65,legally,на законном основании,légalement
66,legally,на законном основании,légitimement
67,legally,на законном основании,en toute légalité
68,legally,на законном основании,licite
69,detouring,объезд,no_equality
70,arrogantly,высокомерно,avec arrogance
71,arrogantly,надменно,avec arrogance
72,arrogantly,нагло,no_equality
73,arrogantly,вызывающе,no_equality
74,arrogantly,самонадеянно,no_equality
75,paining,причинение боли,no_equality
76,appreciate,оценить,apprécier
77,appreciate,оценить,comprendre
78,appreciate,оценить,estimer
79,appreciate,ценить,apprécier
80,appreciate,ценить,estimer
81,appreciate,понимаю,no_equality
82,appreciate,нравится,apprécier
83,appreciate,нравится,aime
84,appreciate,нравится,bien
85,appreciate,приветствовать,no_equality
86,appreciate,понимать,comprendre
87,appreciate,понимать,reconnaître
88,appreciate,понимать,rendre compte
89,appreciate,понять,comprendre
90,appreciate,понять,reconnaître
91,appreciate,понять,rendre compte
92,appreciate,осознать,comprendre
93,appreciate,осознать,reconnaître
94,appreciate,осознать,conscient
95,appreciate,оценивать,apprécier
96,appreciate,оценивать,estimer
97,appreciate,ценю,no_equality
98,appreciate,высоко ценим,félicitons
99,appreciate,высоко ценим,remercions
100,appreciate,высоко оцениваем,félicitons
101,appreciate,бы получить,no_equality
102,appreciate,признателен за,merci pour
103,appreciate,спасибо,bien
104,appreciate,признательны за,no_equality
105,appreciate,ощущать,percevoir
106,appreciate,дорожать,no_equality
107,appreciate,быть благодарным,no_equality
108,indications,признаки того,signe
109,indications,указания,indication
110,indications,указания,mention
111,indications,свидетельства того,indication
112,indications,указаний,indication
113,indications,основания полагать,no_equality
114,indications,показатели,indicateur
115,indications,признаков того,signe
116,indications,указаниями,no_equality
117,indications,свидетельств того,no_equality
118,indications,показаний,no_equality
119,indications,указанием,indication
120,indications,указанием,mention
121,indications,судя,semble
122,indications,показаниям,no_equality
123,indications,свидетельствует о том,no_equality
124,indications,сведения о том,no_equality
125,lurker,скрытень,no_equality
126,lurker,скрытня,no_equality
127,decoded,декодированный,codé
128,section,раздел,section
129,section,раздел,article
130,section,раздел,partie
131,section,раздел,paragraphe
132,section,раздел,volet
133,section,раздел,chapitre
134,section,секция,section
135,section,секция,tronçon
136,section,статья,section
137,section,статья,article
138,section,статья,disposition
139,section,статья,chapitre
140,section,часть,section
141,section,часть,partie
142,section,часть,volet
143,section,часть,fraction
144,section,отдел,no_equality
145,section,участок,section
146,section,участок,tronçon
147,section,пункт,article
148,section,пункт,paragraphe
149,section,пункт,point
150,section,пункт,alinéa
151,section,отделение,section
152,section,отделение,quartier
153,section,сечение,section
154,section,сектор,section
155,section,подразделение,section
156,section,отделения,section
157,section,параграф,paragraphe
158,section,группа,section
159,section,отсек,section
160,section,секционный,no_equality
161,section,разрез,coupe
162,section,рубрика,rubrique
163,section,разд,no_equality
164,section,сегмент,segment
165,section,сегмент,volet
166,section,рассечение,no_equality
167,inspiration,вдохновение,inspiration
168,inspiration,вдохновение,inspiré
169,inspiration,вдохновение,inspirée
170,inspiration,вдохновение,inspirer
171,inspiration,вдохновитель,inspirateur
172,inspiration,вдохновляет,inspirant
173,inspiration,воодушевление,inspiration
174,inspiration,озарение,no_equality
175,inspiration,творческое озарение,no_equality
176,inspiration,вдохновили,inspirée
177,inspiration,вдохновляющим примером,no_equality
178,inspiration,вдохновил,inspiration
179,inspiration,вдохновить,no_equality
