,bigram,freq
69,"('of_ADP', 'the_DET')",883
35,"('in_ADP', 'the_DET')",710
454,"('do_AUX', 'not_PART')",661
195,"('it_PRON', 'be_AUX')",615
1005,"('I_PRON', 'be_AUX')",598
1733,"('be_AUX', 'a_DET')",537
684,"('to_ADP', 'the_DET')",453
453,"('___', 'do_AUX')",415
2386,"('he_PRON', 'be_AUX')",390
4001,"('be_AUX', 'not_PART')",383
436,"('on_ADP', 'the_DET')",376
3333,"('I_PRON', 'have_AUX')",370
2397,"('have_AUX', 'be_AUX')",352
225,"('and_CCONJ', 'the_DET')",327
311,"('at_ADP', 'the_DET')",309
305,"('of_ADP', 'a_DET')",280
3997,"('can_AUX', 'not_PART')",270
2925,"('you_PRON', 'be_AUX')",263
3750,"('I_PRON', '___')",258
806,"('to_PART', 'be_AUX')",257
196,"('be_AUX', 'the_DET')",254
969,"('and_CCONJ', 'I_PRON')",246
1257,"('in_ADP', 'a_DET')",229
2483,"('he_PRON', 'have_AUX')",227
285,"('with_ADP', 'a_DET')",214
337,"('out_ADP', 'of_ADP')",202
3904,"('that_SCONJ', 'I_PRON')",198
3383,"('they_PRON', 'be_AUX')",196
1389,"('from_ADP', 'the_DET')",192
1467,"('for_ADP', 'the_DET')",191
4606,"('but_CCONJ', 'I_PRON')",189
4127,"('___', 'can_AUX')",187
3209,"('I_PRON', 'can_AUX')",186
1942,"('that_PRON', 'be_AUX')",186
676,"('there_ADV', 'be_VERB')",180
1202,"('with_ADP', 'the_DET')",173
2362,"('into_ADP', 'the_DET')",172
4242,"('there_ADV', 'be_AUX')",167
2419,"('will_AUX', 'be_AUX')",167
920,"('have_VERB', 'a_DET')",162
4018,"('for_ADP', 'a_DET')",161
5467,"('she_PRON', 'be_AUX')",160
2788,"('will_AUX', 'not_PART')",160
2417,"('that_SCONJ', 'he_PRON')",157
2922,"('I_PRON', 'will_AUX')",152
1837,"('that_SCONJ', 'the_DET')",146
323,"('and_CCONJ', 'a_DET')",141
3625,"('I_PRON', 'have_VERB')",138
4259,"('have_AUX', 'not_PART')",130
5108,"('you_PRON', 'will_AUX')",130
2182,"('of_ADP', 'his_DET')",129
738,"('by_ADP', 'the_DET')",127
4120,"('do_AUX', 'you_PRON')",122
572,"('be_AUX', 'in_ADP')",121
4164,"('not_PART', 'be_AUX')",118
2494,"('have_VERB', 'to_PART')",117
2146,"('in_ADP', 'his_DET')",116
5183,"('one_NUM', 'of_ADP')",115
3104,"('and_CCONJ', 'he_PRON')",114
1382,"('if_SCONJ', 'you_PRON')",112
3840,"('seem_VERB', 'to_PART')",112
2503,"('like_ADP', 'a_DET')",111
3908,"('he_PRON', 'say_VERB')",110
2086,"('try_VERB', 'to_PART')",110
3336,"('the_DET', 'house_NOUN')",109
7626,"('I_PRON', 'think_VERB')",109
3721,"('say_VERB', 'the_DET')",107
2725,"('want_VERB', 'to_PART')",106
1235,"('we_PRON', 'be_AUX')",106
6873,"('when_SCONJ', 'I_PRON')",106
5814,"('I_PRON', 'do_AUX')",104
3523,"('I_PRON', 'say_VERB')",104
1236,"('be_AUX', 'go_VERB')",103
1239,"('to_ADP', 'a_DET')",103
4848,"('she_PRON', 'have_AUX')",102
2418,"('he_PRON', 'will_AUX')",102
2737,"('I_PRON', 'see_VERB')",101
9504,"('___', 'be_AUX')",99
1092,"('and_CCONJ', 'then_ADV')",98
4677,"('of_ADP', 'it_PRON')",98
2471,"('it_PRON', 'will_AUX')",97
8993,"('not_PART', 'know_VERB')",95
2699,"('all_DET', 'the_DET')",95
2919,"('you_PRON', 'know_VERB')",95
971,"(""'_PART"", 'll_AUX')",94
2617,"('a_DET', 'little_ADJ')",93
4139,"('to_PART', 'do_VERB')",93
3132,"('as_ADP', 'a_DET')",92
