,bigram,freq
118,"('of_ADP', 'the_DET')",1470
8,"('in_ADP', 'the_DET')",1271
78,"('do_AUX', 'not_PART')",876
114,"('it_PRON', 'be_AUX')",860
978,"('he_PRON', 'be_AUX')",820
2896,"('___', 'do_AUX')",724
443,"('to_ADP', 'the_DET')",714
2098,"('he_PRON', 'have_AUX')",591
22047,"('Johnny_PROPN', 'Chuck_PROPN')",581
1,"('be_AUX', 'a_DET')",576
1365,"('on_ADP', 'the_DET')",539
18747,"('the_DET', 'Green_PROPN')",533
477,"('be_AUX', 'not_PART')",532
2244,"('that_SCONJ', 'he_PRON')",527
138,"('and_CCONJ', 'the_DET')",485
5500,"('he_PRON', '___')",474
21401,"('Reddy_PROPN', 'Fox_PROPN')",473
715,"('can_AUX', 'not_PART')",451
21368,"('Peter_PROPN', 'Rabbit_PROPN')",443
221,"('all_DET', 'the_DET')",441
106,"('I_PRON', 'be_AUX')",423
389,"('be_AUX', 'the_DET')",423
320,"('to_PART', 'be_AUX')",421
714,"('___', 'can_AUX')",400
3825,"('have_AUX', 'be_AUX')",391
1502,"('and_CCONJ', 'he_PRON')",342
434,"('for_ADP', 'the_DET')",341
470,"('they_PRON', 'be_AUX')",333
1298,"('that_PRON', 'be_AUX')",320
3233,"('be_AUX', 'very_ADV')",318
3566,"('out_ADP', 'of_ADP')",308
1881,"('and_CCONJ', 'I_PRON')",306
2240,"('when_SCONJ', 'he_PRON')",302
64,"('at_ADP', 'the_DET')",291
1980,"('he_PRON', 'can_AUX')",284
382,"('in_ADP', 'a_DET')",277
2048,"('will_AUX', 'be_AUX')",274
222,"('the_DET', 'world_NOUN')",270
2687,"('be_AUX', 'so_ADV')",257
693,"('will_AUX', 'not_PART')",256
95,"('I_PRON', 'have_AUX')",255
3136,"('we_PRON', 'be_AUX')",255
771,"('he_PRON', 'will_AUX')",254
1188,"('there_ADV', 'be_VERB')",250
808,"('have_VERB', 'a_DET')",244
19229,"('___', 'be_AUX')",237
4957,"('the_DET', 'little_ADJ')",237
47,"('of_ADP', 'a_DET')",236
667,"('there_ADV', 'be_AUX')",235
3805,"('of_ADP', 'his_DET')",232
3428,"('I_PRON', '___')",229
22049,"('Jimmy_PROPN', 'Skunk_PROPN')",225
169,"('from_ADP', 'the_DET')",224
20855,"(""'s_PART"", 'boy_NOUN')",221
1564,"('and_CCONJ', 'then_ADV')",220
