,bigram,freq
26,"('I_PRON', 'be_AUX')",515
475,"('in_ADP', 'the_DET')",427
639,"('of_ADP', 'the_DET')",413
120,"('it_PRON', 'be_AUX')",377
70,"('do_AUX', 'not_PART')",366
121,"('be_AUX', 'a_DET')",284
595,"('be_AUX', 'not_PART')",256
350,"('to_ADP', 'the_DET')",255
69,"('___', 'do_AUX')",240
215,"('he_PRON', 'be_AUX')",233
40,"('I_PRON', '___')",226
864,"('to_PART', 'be_AUX')",212
220,"('on_ADP', 'the_DET')",209
25,"('and_CCONJ', 'I_PRON')",208
203,"('in_ADP', 'a_DET')",202
50,"('be_AUX', 'the_DET')",183
227,"('can_AUX', 'not_PART')",175
518,"('I_PRON', 'will_AUX')",173
128,"('you_PRON', 'be_AUX')",171
548,"('I_PRON', 'can_AUX')",171
1319,"('have_AUX', 'be_AUX')",155
959,"('and_CCONJ', 'the_DET')",147
360,"('for_ADP', 'the_DET')",145
1452,"('at_ADP', 'the_DET')",145
973,"('will_AUX', 'be_AUX')",145
1004,"('but_CCONJ', 'I_PRON')",144
633,"('that_SCONJ', 'I_PRON')",135
1159,"('she_PRON', 'be_AUX')",134
439,"('for_ADP', 'a_DET')",133
6665,"('and_CCONJ', 'then_ADV')",132
860,"('of_ADP', 'his_DET')",127
226,"('___', 'can_AUX')",119
1871,"('with_ADP', 'the_DET')",115
214,"('that_SCONJ', 'he_PRON')",113
1123,"('of_ADP', 'my_DET')",112
1243,"('I_PRON', 'have_AUX')",111
920,"('they_PRON', 'be_AUX')",111
42,"('will_AUX', 'not_PART')",110
2052,"('with_ADP', 'a_DET')",110
11,"('in_ADP', 'my_DET')",109
1685,"('that_PRON', 'be_AUX')",109
27,"('be_AUX', 'so_ADV')",108
452,"('I_PRON', 'know_VERB')",107
682,"('of_ADP', 'a_DET')",104
602,"('want_VERB', 'to_PART')",98
189,"('out_ADP', 'of_ADP')",97
165,"('there_ADV', 'be_VERB')",96
19316,"('have_VERB', 'to_PART')",95
389,"('from_ADP', 'the_DET')",95
1232,"('have_VERB', 'a_DET')",94
10762,"('try_VERB', 'to_PART')",92
2641,"('there_ADV', 'be_AUX')",92
2397,"('and_CCONJ', 'he_PRON')",88
395,"('we_PRON', 'be_AUX')",86
835,"('to_PART', 'see_VERB')",86
3031,"('be_AUX', 'go_VERB')",82
652,"('be_AUX', 'in_ADP')",81
754,"('he_PRON', 'have_AUX')",81
2112,"('in_ADP', 'his_DET')",79
1322,"('to_PART', 'make_VERB')",78
5451,"('go_VERB', 'to_PART')",78
