,quadragram,PMI
0,"('fireflie', 'dance', 'Silver', 'moon')",43.292049061983974
1,"('yip', 'yip', 'yip', 'yip')",41.067676276519286
2,"('invanity', 'exploit', 'their', 'supremacy')",39.27824326245894
3,"('ultimate', 'invanity', 'exploit', 'their')",38.8632057631801
4,"('Aah', 'Aah', 'Aah', 'Aah')",38.27199403520332
5,"('seeke', 'no', 'truth', 'Winning')",37.11324590919521
6,"('Merge', 'A', '8', 'b')",37.10552209320453
7,"('baleen', 'whale', 'sperm', 'whale')",36.76509567773025
8,"('E', 'F', 'G', 'h')",36.62466454071402
9,"('anticipation', 'Chok', 'from', 'intoxication')",36.59766885014314
10,"('their', 'body', 'burning', 'Desolate')",36.581919652790084
11,"('low', 'Hello', 'hello', 'hello')",36.530579910445326
12,"('beautiful', 'combination', 'send', 'shiver')",36.517168164286666
13,"('humanity', 'humanity', 'good', 'bye')",36.44865139000083
14,"('Na', 'num', 'num', 'num')",36.441741994741825
15,"('night', 'romance', 'Hey', 'hey')",35.99813534326621
16,"('dfourth', '-complex', 'z1', 'z2')",35.981015608199904
17,"('Roman', 'Cavalry', 'choir', 'be')",35.719567453258065
18,"('Silver', 'moon', ""'s"", 'sparkl')",35.69089732316348
19,"('D', 'E', 'F', 'G')",35.57219712081988
20,"('dance', 'Silver', 'moon', ""'s"")",35.42786291732969
21,"('Cavalry', 'choir', 'be', 'singe')",35.30452995397922
22,"('num', 'num', 'num', 'num')",35.2352911172744
23,"('young', 'finger', 'get', 'burnt')",34.74236804496309
24,"('Celsius', 'D', 'E', 'F')",34.57219712081988
25,"('1', 'Merge', 'A', '8')",34.47898048873198
26,"('<', '>', '<', '>')",34.41670444791818
27,"('the', 'fireflie', 'dance', 'Silver')",34.25186473563565
28,"('milky', 'twilight', 'lead', 'i')",34.13476691298039
29,"('Papa', 'Paparazzi', 'Baby', 'there')",33.97081473726669
30,"('dying', 'of', 'anticipation', 'Chok')",33.911532495816246
31,"('yearning', 'dying', 'of', 'anticipation')",33.911532495816246
32,"('derfourth', 'exp', 'var', 'cond')",33.880049273343516
33,"('b', 'Celsius', 'D', 'E')",33.69350341704202
34,"('moonlit', 'floor', 'Lift', 'you')",33.39349934958341
35,"('the', 'ultimate', 'invanity', 'exploit')",33.25186473563565
36,"('every', 'night', 'romance', 'Hey')",33.24324784110274
37,"('8', 'b', '3', 'Celsius')",32.999727429181945
38,"('Hello', 'hello', 'hello', 'how')",32.9001027504718
39,"('hello', 'how', 'low', 'Hello')",32.9001027504718
40,"('how', 'low', 'Hello', 'hello')",32.9001027504718
41,"('justice', 'be', 'rape', 'Justice')",32.889492454700374
42,"('vect', '0.0', '0', '0')",32.85527746885545
43,"('4', '5', '6', '7')",32.83529976661021
44,"('i', 'Papa', 'Paparazzi', 'Baby')",32.8204520022029
45,"('tire', 'of', 'using', 'technology')",32.744882626406806
46,"('beneath', 'the', 'milky', 'twilight')",32.721350018936874
47,"('A', '8', 'b', '3')",32.613668996874864
48,"('mag', 'ang', 'magnitude', 'z1')",32.611065998449604
49,"('b', '3', 'Celsius', 'D')",32.57088413037807
50,"('add', 'complex', 'sub-complex', 'mul')",32.3838745871051
51,"('1', '4', '9', '16')",32.35314807147283
52,"('burning', 'Desolate', 'and', 'full')",32.29639060916921
53,"('body', 'burning', 'Desolate', 'and')",32.23749692011563
54,"('make', 'product', 'm1', 'm2')",31.93066758900843
55,"('Celsius', 'D', '2', 'E')",31.924622642799058
56,"('full', 'of', 'yearning', 'dying')",31.91153249581625
57,"('hello', 'hello', 'how', 'low')",31.900102750471802
58,"('the', 'moonlit', 'floor', 'Lift')",31.851934128747015
59,"('romance', 'Hey', 'hey', '')",31.697198145294827
60,"('bullet', 'proof', 'and', 'bullet')",31.68870803194796
61,"('apply', 'generic', 'op', 'arg')",31.666808550376597
62,"('lambdum', 'z1', 'z2', 'tag')",31.615558405496483
63,"('ang', 'magnitude', 'z1', 'magnitude')",31.611065998449607
64,"('y', '<', '>', 'nil')",31.493325729521093
65,"('<', '>', 'nil', 'sequence')",31.429195392101377
66,"('angle', 'z1', 'angle', 'z2')",31.394072743350517
67,"('cond', 'null', 'set', 'false')",31.346788134644772
68,"('whale', 'sperm', 'whale', 'or')",31.330467450093526
69,"('magnitude', 'z1', 'magnitude', 'z2')",31.289137903562246
70,"('me', 'oh', 'baby', 'die')",31.279816999195464
71,"('same', 'variable', 'exp', 'var')",31.273480316432984
72,"('each', 'non', 'leaf', 'node')",31.22554583936928
73,"('the', 'milky', 'twilight', 'lead')",31.17386222363438
74,"('oh', 'baby', 'die', 'die')",31.142313475445533
75,"('proof', 'and', 'bullet', 'proof')",31.103745531226807
76,"('manage', 'hardware', 'resource', 'and')",31.032879200507164
77,"('D', '2', 'E', 'F')",31.014820451770625
78,"('con', 'sqrt', '+', 'square')",30.987302860055262
