,quadragram,PMI
0,"('stay', 'hungry', 'stay', 'Foolish')",37.74498907175207
1,"('party', 'uu', 'oooh', 'u')",37.321737390628826
2,"('Ah', 'ah', 'ah', 'yeah')",36.6518796673606
3,"('T', 'plus', '2', 'pi')",36.17794847902819
4,"('party', 'Ah', 'ah', 'ah')",35.57387715535933
5,"('York', 'Concrete', 'jungle', 'where')",35.475290935637275
6,"('new', 'York', 'Concrete', 'jungle')",35.24626542196838
7,"('Concrete', 'jungle', 'where', 'dream')",35.00962736328846
8,"('brush', 'my', 'hair', 'undress')",34.657526230501745
9,"('uu', 'oooh', 'u', 'come')",34.50357571361464
10,"('undress', 'i', 'everywhere', 'Imagination')",34.2472111414653
11,"('hair', 'undress', 'i', 'everywhere')",33.98417673563151
12,"('Mamma', 'just', 'cross', 'Just')",33.5200227067518
13,"('dependence', 'on', 'foreign', 'oil')",32.9300209655846
14,"('Somebody', 'higher', 'than', 'anything')",32.84452474530299
15,"('ah', 'ah', 'yeah', 'come')",32.58579047690283
16,"('New', 'York', 'new', 'York')",32.53201990430226
17,"('York', 'New', 'York', 'new')",32.53201990430226
18,"('new', 'York', 'New', 'York')",32.53201990430226
19,"('distance', 'equal', 'rate', 'time')",32.08831850900667
20,"('go', 'party', 'uu', 'oooh')",32.041629471436096
21,"('just', 'cross', 'Just', 'cross')",32.01752236622262
22,"('see', 'oh', 'Johnny', 'b')",31.726737367195863
23,"('Straight', 'ahead', 'a', 'green')",31.304504366512806
24,"('higher', 'than', 'anything', 'else')",31.18155973258056
25,"('go', 'party', 'Ah', 'ah')",31.071376814830145
26,"('parallel', 'world', 'she', 'cross')",30.778934084530157
28,"('my', 'ma', 'ma', 'mamma')",30.7273145606586
27,"('ma', 'ma', 'mamma', 'my')",30.7273145606586
29,"('bright', 'and', 'hollow', 'sky')",30.7074116139356
30,"('Johnny', 'b', 'how', 'much')",30.67094674626406
31,"('the', 'Holy', 'Qu', '’an')",30.640514348389612
32,"('love', 'Somebody', 'higher', 'than')",30.605058810607602
33,"('close', 'my', 'eyes', 'forever')",30.220120918194446
34,"('here', 'at', 'Fort', 'Hood')",30.20152755825736
35,"('lum', 'lum', 'lum', 'lum')",30.18429655464273
36,"('CONGRESSMAN', 'price', 'mister', 'president')",30.157732440377675
37,"('i', 'everywhere', 'Imagination', 'life')",29.939782616273057
38,"('she', 'cross', 'she', 'cross')",29.81293475576549
39,"('80', 'percent', 'approve', 'of')",29.238719452137556
40,"('kingdom', 'baby', 'tell', 'i')",29.015829936901604
41,"('controversy', 'Cuz', 'it', 'feel')",28.913232222771224
42,"('ma', 'mamma', 'my', 'mamma')",28.7273145606586
43,"('my', 'hair', 'undress', 'i')",28.72678889293886
44,"('cross', 'Just', 'cross', 'to')",28.666739408663073
45,"('feel', 'so', 'empty', 'without')",28.666459355271755
46,"('spread', 'of', 'nuclear', 'weapon')",28.506554844235175
47,"('oooh', 'u', 'come', 'on')",28.478040621507496
48,"('ahead', 'a', 'green', 'light')",28.446523371385236
49,"('can', 'brush', 'my', 'hair')",28.444178948768304
50,"('world', 'Life', 'in', 'plastic')",28.441039241237736
51,"('little', 'controversy', 'Cuz', 'it')",28.32826972205007
52,"('outside', 'round', 'the', 'outside')",28.32111318153129
53,"('round', 'the', 'outside', 'round')",28.32111318153129
54,"('the', 'line', 'item', 'veto')",28.196907696913996
55,"('the', '21', 'st', 'century')",28.044056208830625
56,"('set', 'of', 'lecture', 'note')",28.02112801706493
57,"('re', 'Oh', 'why', '')",27.758969298688005
58,"('Only', 'tryin', ""'"", 'to')",27.593737577720166
59,"('a', 'little', 'controversy', 'Cuz')",27.58699113501278
60,"('for', 'new', 'York', 'New')",27.566785322462934
61,"('say', 'my', 'ma', 'ma')",27.563125928765434
62,"('barbie', 'world', 'Life', 'in')",27.441039241237736
63,"('moment', 'holds', 'us', 'together')",27.392724898493753
64,"('u', 'come', 'on', 'Barbie')",27.378504947956582
65,"('all', 'remain', 'unchange', 'if')",27.355776017552003
66,"('ah', 'yeah', 'come', 'on')",27.337862963459244
67,"('equal', 'rate', 'time', 'time')",27.259048810520625
68,"('just', 'follow', 'i', 'Cuz')",27.239342898131962
69,"('fantastic', 'you', 'can', 'brush')",27.213057138205652
70,"('only', 'this', 'moment', 'holds')",27.201420154941403
71,"('a', 'green', 'light', 'turn')",27.173504876978818
72,"('distribution', 'of', 'heat', 'on')",27.054486614011363
73,"('yeah', 'come', 'on', 'Barbie')",27.015934868571883
74,"('creation', 'come', 'on', 'Barbie')",27.015934868571875
75,"('green', 'light', 'turn', 'to')",26.90331067957216
76,"('light', 'turn', 'to', 're')",26.90331067957216
77,"('one', 'over', 'nu', 'second')",26.897699678526717
78,"('us', 'dependence', 'on', 'foreign')",26.82568430576986
79,"('deep', 'down', 'inside', 'I')",26.717465278599523
80,"('everywhere', 'Imagination', 'life', 'be')",26.606077353609344
81,"('world', 'she', 'cross', 'she')",26.569480718901207
82,"('turn', 'to', 're', 'Oh')",26.513364161256145
83,"('you', 'feel', 'brand', 'new')",26.214613443686545
84,"('better', 'lose', 'yourself', 'in')",26.20260680863702
85,"('you', 'better', 'lose', 'yourself')",26.17898320411112
86,"('b', 'how', 'much', 'there')",26.163152106065365
87,"('the', 'barbie', 'world', 'Life')",26.046563064441212
88,"('everybody', 'just', 'follow', 'i')",26.032892020664537
89,"('never', 'trace', 'the', 'step')",26.02168839580218
90,"('to', 'love', 'Somebody', 'higher')",26.017236655747205
91,"(""'s"", 'go', 'party', 'uu')",25.975540280978322
92,"('i', 'Straight', 'ahead', 'a')",25.85919385612016
93,"('blow', 'this', 'opportunity', 'come')",25.852743761228446
94,"('Life', 'in', 'plastic', 'it')",25.803289326157145
95,"(""'s"", 'go', 'party', 'Ah')",25.782895203035928
96,"('so', 'everybody', 'just', 'follow')",25.761995497057775
97,"('shot', 'do', 'not', 'miss')",25.694052106526858
98,"('so', 'empty', 'without', 'i')",25.693901842014235
99,"('the', 'board', 'tax', 'relief')",25.66506758274865
100,"('than', 'anything', 'else', 'in')",25.60564237146242
101,"('across', 'the', 'board', 'tax')",25.600937245328943
102,"('to', 'i', 'Straight', 'ahead')",25.588999658713504
103,"('element', 'of', 'American', 'power')",25.588168609788823
104,"('mamma', 'say', 'my', 'ma')",25.56312592876543
105,"('the', 'kingdom', 'baby', 'tell')",25.561136237270965
106,"('remain', 'unchange', 'if', 'I')",25.557664494430917
107,"('a', 'reciprocal', 'relationship', 'between')",25.553438575301747
108,"('baby', 'tell', 'i', 'why')",25.48333485607458
109,"('lifetime', 'you', 'better', 'lose')",25.468489821306097
110,"('teeter', 'on', 'the', 'brink')",25.4514805239996
111,"('jungle', 'where', 'dream', 'be')",25.4232566681745
112,"('It', ""'s"", 'Friday', 'I')",25.41893000214138
113,"('come', 'on', 'Barbie', 'let')",25.406519324126187
114,"('study', 'of', 'periodic', 'phenomena')",25.391077626815235
115,"('make', 'you', 'feel', 'brand')",25.382884926276343
116,"('only', 'get', 'one', 'shot')",25.197753105165994
117,"('my', 'eyes', 'forever', 'will')",25.162670646010543
118,"('little', 'bit', 'more', 'about')",25.135998490772526
119,"('it', 'all', 'remain', 'unchange')",25.121818844582634
120,"('unchange', 'if', 'I', 'close')",25.08373330609851
121,"('brand', 'new', 'the', 'light')",25.073242717538687
122,"('cross', 'she', 'cross', 'to')",25.042248543755278
123,"('to', 're', 'Oh', 'why')",25.031495153499097
124,"('follow', 'i', 'Cuz', 'we')",25.027921594616522
125,"('do', 'the', 'harmonic', 'oscillator')",25.026982695471688
126,"('new', 'York', 'this', 'street')",25.025811514995514
127,"('listen', 'to', 'i', 'Straight')",25.004037157992347
