,quadragram,PMI
0,"('Sunset', 'Rodeo', 'hot', 'fudge')",43.82358092715897
1,"('motherfucker', 'burn', 'Burn', 'motherfucker')",41.23861842643782
2,"('ha', 'ha', 'ha', 'ha')",40.975584020604025
3,"('war', 'soviet', 'wrath', 'unleash')",40.975584020604025
4,"('t', '$', 'calculator', '>calculatePrice')",40.87872248135143
5,"('burn', 'Burn', 'motherfucker', 'burn')",40.50165283227161
6,"('Ohh', 'Ohh', 'Celsius', ""'mon"")",39.730471522767495
7,"('L.um', 'L.um', 'L.um', 'L.um')",39.63573401771941
8,"('$', 'calculator', '>calculatePrice', '$')",39.22664578477174
9,"('calculator', '>calculatePrice', '$', 'product')",39.22664578477174
10,"('Ohh', 'Celsius', ""'mon"", 'party')",39.20690956671048
11,"('Rodeo', 'hot', 'fudge', 'here')",38.90074878768144
12,"('$', 't', '$', 'calculator')",38.004253363435296
13,"('German', 'army', 'march', 'Comrades')",37.80565901916171
14,"('$', 'product', '>amount', '=')",37.641683284050586
15,"('Panzers', 'on', 'Russian', 'soil')",37.00085077921445
16,"('feeling', 'since', '1988', 'mother')",36.51069797187462
17,"('Celsius', ""'mon"", 'party', 'people')",36.151627131209295
18,"('my', 'Sunset', 'Rodeo', 'hot')",35.93636031169059
20,"('charge', 'Panzers', 'on', 'Russian')",35.67892268432709
19,"('Nazi', 'charge', 'Panzers', 'on')",35.67892268432709
21,"('army', 'march', 'Comrades', 'stand')",35.30315867863253
22,"('lookin', 'out', 'night', 'n')",35.0686934249955
23,"('out', 'night', 'n', ""'day"")",35.0686934249955
24,"('night', 'n', ""'day"", 'take')",34.733998034034265
25,"('can’t', 'wake', 'up', 'Wake')",34.40741676242585
26,"('march', 'Comrades', 'stand', 'side')",34.3576064626549
27,"('third', 'reich', 'draw', 'near')",34.33825473791845
28,"(""'mon"", 'party', 'people', 'Ohh')",34.151627131209295
29,"('half', 'way', 'yup', 'yup')",34.11576167865229
30,"('hot', 'fudge', 'here', 'come')",33.691295422052484
31,"('I', 'realize', 'That', 'forever')",33.60172532258812
32,"('Russian', 'soil', 'a', 'thunder')",33.54250093078329
33,"('at', 'war', 'soviet', 'wrath')",33.40067518454679
34,"('nine', 'o', ""'"", 'clock')",33.22448427304959
35,"('realize', 'That', 'forever', 'be')",33.15706101725992
36,"('since', '1988', 'mother', 'thing')",32.91376282948739
37,"('run', 'from', 'cold', 'bloody')",32.90090733430953
38,"('the', 'Nazi', 'charge', 'Panzers')",32.60138978870264
39,"('Oh', 'my', 'Sunset', 'Rodeo')",32.58586306460646
40,"('heart', 'feel', 'dead', 'inside')",32.327198695792745
41,"('shut', 'you', 'mouth', 'How')",32.23006530531289
42,"('flow', 'Oh', 'my', 'Sunset')",32.17082556532761
43,"('party', 'people', 'Ohh', 'Ohh')",32.151627131209295
44,"('@Test', 'calculatePrice', 'multiply', 'the')",32.016427287981486
45,"('trouble', 'yeah', 'trouble', 'now')",31.932809996913733
46,"('from', 'cold', 'bloody', 'war')",31.90090733430953
47,"('feeling', 'so', 'deep', 'inside')",31.862613658794665
48,"('sunshine', 'flow', 'Oh', 'my')",31.75578806604877
49,"('gottum', 'die', 'gottum', 'die')",31.7529053786455
50,"('wuz', 'up', 'wuz', 'up')",31.64017815714584
51,"('the', 'motherfucker', 'burn', 'Burn')",31.60138978870264
52,"('wash', 'this', 'memory', 'clean')",31.484102035540932
53,"('this', 'feeling', 'since', '1988')",31.45662129911883
54,"('undo', 'save', 'i', 'save')",31.206056067436712
55,"('east', 'one', 'million', 'man')",30.933975565445454
56,"('foreign', 'earth', 'we', 'sail')",30.9226410242297
57,"('die', 'gottum', 'die', 'gottum')",30.752905378645494
58,"('can’t', 'wake', 'up', 'before')",30.73499142045435
59,"('hard', 'and', 'petrify', 'lock')",30.7020959753258
60,"('trust', 'you', 'must', 'Confess')",30.519571922507872
61,"('about', 'forty', 'five', 'mile')",30.419497136435666
62,"('motherland', 'the', 'German', 'army')",30.168430381426536
63,"('way', 'yup', 'yup', 'can')",30.13467014120235
64,"('East', 'coast', 'be', 'move')",30.02366189184272
65,"('n', ""'day"", 'take', 'my')",30.016702420008194
66,"('Comrades', 'stand', 'side', 'by')",29.951047117300366
67,"('run', 'I', 'can’t', 'wake')",29.946373493975567
68,"('slowly', 'about', 'forty', 'five')",29.834534635714512
69,"('calculatePrice', 'multiply', 'the', 'price')",29.794034866645035
70,"('whole', 'East', 'coast', 'be')",29.75447525902733
71,"('petrify', 'lock', 'the', 'door')",29.67539037014642
72,"('inside', 'I', 'can’t', 'wake')",29.592736539360864
73,"('cry', 'no', 'wonder', 'why')",29.581994940589215
74,"('lifetime', 'yo', 'you', 'better')",29.57203934240201
75,"('his', 'neck', 'quite', 'badly')",29.437691570583976
76,"('the', 'sunshine', 'flow', 'Oh')",29.42081754306082
77,"('the', 'whole', 'East', 'coast')",29.36872903191237
78,"('Oh', 'tonight', 'you', 'kill')",29.180570314261576
79,"('just', 'like', 'everybody', 'else')",29.088829562888893
80,"('sound', 'everybody', 'look', 'what')",28.97965006432114
