,quadragram,PMI
0,"('lieber', 'Augustin', 'Alles', 'ist')",56.034930416222025
1,"('Augustin', 'Alles', 'ist', 'weg')",54.44996791550087
2,"('du', 'lieber', 'Augustin', 'Alles')",54.034930416222025
3,"('Ach', 'du', 'lieber', 'Augustin')",53.29796482205582
4,"('Alles', 'ist', 'weg', 'weg')",52.86500541477971
5,"('ist', 'weg', 'weg', 'weg')",51.280042914058555
6,"('venerable', 'Pedro', 'Arbuez', 'd')",49.25357070269736
7,"('Rat', 'a-tat-tat', 'Rat', 'a-tat-tat')",47.806111725726154
8,"('a-tat-tat', 'Rat', 'a-tat-tat', 'Rat')",47.806111725726154
9,"('Honoré', 'de', 'Balzac', 'translat')",46.741331044393156
10,"('CHARLOTTE', 'LUTTERELL', 'Lesley', 'Castle')",46.075572400719366
11,"('Arthur', 'Scott', 'Bailey', 'Chapter')",45.588287429969895
12,"('Mu', ""'ín"", 'bin', 'Sáwí')",45.561099418524115
13,"('Mrs', 'Johnson', 'upper', 'Seymou')",44.55201044466237
14,"('by', 'Kara', 'Shallenberg', 'www.kayray.org')",44.513111898493065
15,"('bin', 'Sulayman', 'al', 'Zayni')",43.51460275562001
16,"('Al', 'Fazl', 'bin', 'Khákán')",43.34935424138718
17,"('Caliph', 'Harun', 'al', 'Rashid')",43.07863941748662
18,"('Al', 'Mu', ""'ín"", 'bin')",42.976136917802954
19,"('R', 'M.', 'Ballantyne', 'CHAPTER')",42.90189526441595
20,"('yappy', '', 'ky', 'oodle')",42.60075590118517
21,"('P', ""'r"", ""'"", 'ap')",42.45470893131608
22,"('Wazir', 'Al', 'Mu', ""'ín"")",42.36028040913601
23,"('Miss', 'CHARLOTTE', 'LUTTERELL', 'Lesley')",42.35105854759942
24,"('', 'ky', 'oodle', 'doodle')",42.337721495351374
25,"('Mohamm', 'bin', 'Sulayman', 'al')",42.055171136982715
26,"('Mr', 'De', 'Courcy', 'upper')",41.98152404735828
27,"('bustin', ""'"", 'steam', 'biler')",41.94102384410432
28,"('reading', 'by', 'Kara', 'Shallenberg')",41.42564905724273
29,"('Arbuez', 'd', ""'"", 'Espila')",41.16964821915228
30,"('King', 'Mohamm', 'bin', 'Sulayman')",41.06924632219444
31,"('De', 'Courcy', 'upper', 'Seymou')",40.98152404735828
32,"('l', ""'"", 'Isle', 'Adam')",40.62532770292847
33,"('damsel', 'Anis', 'al', 'Jalis')",40.52910232531514
34,"('Pedro', 'Arbuez', 'd', ""'"")",40.432682624986064
35,"('Mme', 'de', 'l', 'Estorade')",40.3535291027369
36,"('by', 'Arthur', 'Scott', 'Bailey')",40.265777720464335
37,"('the', 'Arabian', 'Nights', 'Entertainment')",39.994501156682006
38,"('Johnson', 'upper', 'Seymou', 'street')",39.91586922001565
39,"('t', 't', 't', 't')",39.38879666302132
40,"('ky', 'oodle', 'doodle', 'and')",39.32876569534419
41,"('Courcy', 'upper', 'Seymou', 'street')",39.2964732222306
42,"('the', 'venerable', 'Pedro', 'Arbuez')",39.239613654518536
43,"('Nu', 'al', 'Din', 'Ali')",39.191749852435535
44,"('by', 'R', 'M.', 'Ballantyne')",38.976864682804944
45,"('', 'a-tat-tat', 'Rat', 'a-tat-tat')",38.845868399021704
46,"('Your', 'ever', 'S.', 'VERNON')",38.80347031754171
47,"('Duc', 'd', ""'"", 'Angouleme')",38.75461071987344
48,"('the', 'rue', 'Hillerin', 'Bertin')",38.50264806035233
49,"('M.', 'de', 'l', 'Estorade')",38.4301503843398
50,"('Omar', 'bin', 'al', 'Nu')",38.22920053675776
51,"('O', 'Anis', 'al', 'Jalis')",38.166532245930426
52,"('MME', 'De', 'le', ""'"")",38.13366892204671
