,trigram,freq
1202,"('___', 'do_AUX', 'not_PART')",177
1325,"('___', 'can_AUX', 'not_PART')",76
1201,"('I_PRON', '___', 'do_AUX')",69
1216,"('___', 'be_AUX', 'not_PART')",51
2242,"('one_NUM', 'of_ADP', 'the_DET')",48
2318,"('in_ADP', 'front_NOUN', 'of_ADP')",40
200,"('and_CCONJ', 'I_PRON', 'be_AUX')",33
2329,"('I_PRON', '___', 'can_AUX')",33
18128,"('the_DET', 'best_ADV', 'the_DET')",30
4263,"('I_PRON', 'be_AUX', 'not_PART')",29
1383,"(""'_X"", 'he_PRON', 'say_VERB')",26
3340,"('I_PRON', 'have_AUX', 'be_AUX')",26
122,"('give_VERB', 'i_PRON', 'a_DET')",26
1397,"(""'_X"", 'I_PRON', 'say_VERB')",25
2488,"('do_AUX', 'not_PART', 'know_VERB')",25
3844,"('it_PRON', 'be_AUX', 'a_DET')",24
22757,"('be_VERB', 'to_PART', 'be_AUX')",23
1830,"('___', 'have_AUX', 'not_PART')",23
1920,"('there_ADV', 'be_VERB', 'a_DET')",20
1549,"('for_ADP', 'a_DET', 'moment_NOUN')",20
18129,"('best_ADV', 'the_DET', 'best_ADV')",20
180,"('I_PRON', 'have_VERB', 'to_PART')",20
3265,"('the_DET', 'end_NOUN', 'of_ADP')",19
2105,"('the_DET', 'side_NOUN', 'of_ADP')",19
2530,"('I_PRON', 'think_VERB', 'it_PRON')",19
4471,"('___', 'will_AUX', 'not_PART')",19
1065,"('as_ADV', 'well_ADV', 'as_ADP')",18
1765,"('do_AUX', 'not_PART', 'think_VERB')",18
8221,"('that_SCONJ', 'I_PRON', 'be_AUX')",18
1360,"(""'_X"", ""'_X"", 'yes_INTJ')",18
2771,"('and_CCONJ', 'it_PRON', 'be_AUX')",18
21539,"('a_DET', 'number_NOUN', 'of_ADP')",18
2106,"('side_NOUN', 'of_ADP', 'the_DET')",18
2107,"('of_ADP', 'the_DET', 'road_NOUN')",18
1156,"('be_AUX', 'not_PART', 'a_DET')",18
21710,"('the_DET', 'use_NOUN', 'of_ADP')",17
9421,"('it_PRON', 'will_AUX', 'be_AUX')",17
1514,"('I_PRON', 'be_AUX', 'a_DET')",17
1256,"('he_PRON', 'be_AUX', 'a_DET')",16
2640,"('the_DET', 'hitch_ADJ', 'hiker_NOUN')",16
4242,"('I_PRON', 'want_VERB', 'to_PART')",16
202,"('be_AUX', 'able_ADJ', 'to_PART')",16
1466,"('I_PRON', 'look_VERB', 'at_ADP')",16
5499,"('part_NOUN', 'of_ADP', 'the_DET')",16
1007,"('in_ADP', 'a_DET', 'few_ADJ')",16
1224,"('he_PRON', '___', 'do_AUX')",15
1155,"('it_PRON', 'be_AUX', 'not_PART')",15
3426,"('have_AUX', 'not_PART', 'be_AUX')",15
4959,"('that_SCONJ', 'I_PRON', 'have_AUX')",15
2388,"('be_AUX', 'go_VERB', 'to_PART')",15
3453,"('it_PRON', '___', 'do_AUX')",15
1639,"('out_ADP', 'of_ADP', 'the_DET')",15
9515,"('as_ADP', 'soon_ADV', 'as_ADP')",14
360,"('at_ADP', 'the_DET', 'same_ADJ')",14
1785,"('a_DET', 'lot_NOUN', 'of_ADP')",14
2969,"('want_VERB', 'to_PART', 'know_VERB')",14
1275,"('the_DET', 'car_NOUN', 'and_CCONJ')",14
2539,"('a_DET', 'young_ADJ', 'man_NOUN')",14
1226,"('not_PART', 'have_VERB', 'a_DET')",14
3258,"('you_PRON', 'want_VERB', 'to_PART')",14
2733,"('but_CCONJ', 'I_PRON', 'be_AUX')",14
21062,"('I_PRON', 'do_AUX', 'not_PART')",14
20933,"('a_DET', 'good_ADJ', 'deal_NOUN')",14
2294,"('look_VERB', 'at_ADP', 'the_DET')",14
11516,"('we_PRON', 'be_AUX', 'the_DET')",14
3380,"('there_ADV', 'be_VERB', 'no_DET')",14
7963,"('in_ADP', 'order_NOUN', 'to_ADP')",14
76802,"('for_ADP', 'you_DET', 'country_NOUN')",14
1888,"(""'_X"", 'yes_INTJ', 'I_PRON')",14
28869,"('be_AUX', 'to_PART', 'be_AUX')",14
1774,"('it_PRON', 'be_AUX', 'the_DET')",13
25444,"('of_ADP', 'the_DET', 'assembly_NOUN')",13
78283,"('die_VERB', 'for_ADP', 'you_DET')",13
2170,"('of_ADP', 'the_DET', 'first_ADJ')",13
20737,"('of_ADP', 'which_PRON', 'I_PRON')",13
1491,"(""'_X"", 'I_PRON', '___')",13
19147,"('for_ADP', 'that_DET', 'purpose_NOUN')",13
10772,"('I_PRON', 'can_AUX', 'not_PART')",13
78282,"('government_NOUN', 'die_VERB', 'for_ADP')",12
4222,"('of_ADP', 'the_DET', 'car_NOUN')",12
78281,"('you_DET', 'government_NOUN', 'die_VERB')",12
1349,"('he_PRON', 'say_VERB', ""'_X"")",12
3906,"('as_ADP', 'I_PRON', 'can_AUX')",12
78284,"('you_DET', 'country_NOUN', 'that_SCONJ')",12
78285,"('country_NOUN', 'that_SCONJ', ""'s_PART"")",12
3635,"('do_AUX', 'not_PART', 'remember_VERB')",12
78286,"('that_SCONJ', ""'s_PART"", 'shit_NOUN')",12
4184,"('a_DET', 'few_ADJ', 'day_NOUN')",12
1626,"('I_PRON', 'think_VERB', 'he_PRON')",12
1619,"('a_DET', 'long_ADJ', 'time_NOUN')",12
11517,"('be_AUX', 'the_DET', 'champion_NOUN')",12
361,"('the_DET', 'same_ADJ', 'time_NOUN')",12
1520,"('I_PRON', 'think_VERB', 'you_PRON')",12
3128,"('the_DET', 'time_NOUN', 'of_ADP')",12
2359,"('I_PRON', 'say_VERB', ""'_X"")",12
3142,"('front_NOUN', 'of_ADP', 'the_DET')",12
1664,"('I_PRON', 'be_AUX', 'sure_ADJ')",12
78280,"('for_ADP', 'you_DET', 'government_NOUN')",12
5560,"('that_SCONJ', 'he_PRON', 'have_AUX')",12
2096,"('the_DET', 'road_NOUN', 'and_CCONJ')",12
3348,"('it_PRON', '___', 'be_AUX')",12
28514,"('of_ADP', 'the_DET', 'province_NOUN')",12
1730,"('smil_VERB', 'at_ADP', 'i_PRON')",12
2281,"('the_DET', 'little_ADJ', 'girl_NOUN')",12
19932,"('in_ADP', 'the_DET', 'house_NOUN')",12
19151,"('it_PRON', 'may_AUX', 'be_AUX')",12
22363,"('it_PRON', 'have_AUX', 'be_AUX')",12
1741,"('of_ADP', 'the_DET', 'town_NOUN')",12
2168,"('the_DET', 'driver_NOUN', 'of_ADP')",12
9489,"('we_PRON', 'have_VERB', 'a_DET')",12
15624,"('be_AUX', 'in_ADP', 'the_DET')",11
33225,"('the_DET', 'king_NOUN', ""'s_PART"")",11
78279,"('die_X', 'for_ADP', 'you_DET')",11
14211,"('of_ADP', 'the_DET', 'people_NOUN')",11
5489,"('be_AUX', 'the_DET', 'first_ADJ')",11
20934,"('good_ADJ', 'deal_NOUN', 'of_ADP')",11
377,"('all_DET', 'the_DET', 'time_NOUN')",11
3127,"('at_ADP', 'the_DET', 'time_NOUN')",11
3493,"('front_NOUN', 'of_ADP', 'i_PRON')",11
2603,"('I_PRON', 'can_AUX', 'see_VERB')",11
4045,"('there_ADV', 'be_AUX', 'a_DET')",11
23924,"('this_PRON', 'be_AUX', 'a_DET')",11
27788,"('now_ADV', 'and_CCONJ', 'then_ADV')",11
3166,"('to_PART', 'talk_VERB', 'to_ADP')",11
1607,"('do_AUX', 'not_PART', 'like_VERB')",11
6659,"('I_PRON', 'be_AUX', 'the_DET')",11
21529,"('in_ADP', 'the_DET', 'evening_NOUN')",11
27879,"('be_AUX', 'one_NUM', 'of_ADP')",11
78277,"('die_NOUN', 'gottum_X', 'die_X')",11
78278,"('gottum_X', 'die_X', 'for_ADP')",11
10764,"('I_PRON', 'want_VERB', 'you_PRON')",11
18131,"('the_DET', 'best_ADJ', 'of_ADP')",11
5859,"('the_DET', 'young_ADJ', 'man_NOUN')",11
1324,"('he_PRON', '___', 'can_AUX')",10
20624,"('some_PRON', 'of_ADP', 'the_DET')",10
3464,"('can_AUX', 'not_PART', 'be_AUX')",10
78276,"('gottum_NOUN', 'die_NOUN', 'gottum_X')",10
78275,"('die_NOUN', 'gottum_NOUN', 'die_NOUN')",10
14354,"('one_NUM', 'of_ADP', 'they_PRON')",10
78274,"('gottum_ADP', 'die_NOUN', 'gottum_NOUN')",10
1776,"('the_DET', 'middle_NOUN', 'of_ADP')",10
1624,"('a_DET', 'moment_NOUN', 'I_PRON')",10
1515,"('be_AUX', 'a_DET', 'police_NOUN')",10
10567,"('so_ADV', 'beautiful_ADJ', 'and_CCONJ')",10
1617,"('that_PRON', 'be_AUX', 'a_DET')",10
1225,"('do_AUX', 'not_PART', 'have_VERB')",10
10568,"('beautiful_ADJ', 'and_CCONJ', 'wild_ADJ')",10
3229,"('mister_NOUN', 'Jackson_PROPN', 'I_PRON')",10
18125,"('be_AUX', 'someone_PRON', 'get_VERB')",10
5846,"('that_SCONJ', 'he_PRON', 'be_AUX')",10
14513,"('a_DET', 'few_ADJ', 'year_NOUN')",10
78273,"('you_PRON', 'gottum_ADP', 'die_NOUN')",10
18126,"('someone_PRON', 'get_VERB', 'the_DET')",10
3179,"('we_PRON', '___', 'can_AUX')",10
1365,"('say_VERB', ""'I_PRON"", 'be_AUX')",10
19162,"('of_ADP', 'my_DET', 'life_NOUN')",10
