,trigram,freq
2473,"('___', 'do_AUX', 'not_PART')",153
273,"('___', 'can_AUX', 'not_PART')",72
1389,"('be_AUX', 'go_VERB', 'to_PART')",61
188,"('it_PRON', 'be_AUX', 'a_DET')",44
2472,"('I_PRON', '___', 'do_AUX')",40
3865,"('a_DET', 'lot_NOUN', 'of_ADP')",39
234,"('the_DET', 'United_PROPN', 'States_PROPN')",38
9195,"('the_DET', 'American_ADJ', 'people_NOUN')",37
61,"('I_PRON', 'want_VERB', 'to_PART')",33
33315,"('___', 'will_AUX', 'not_PART')",30
50411,"('lum_DET', 'lum_DET', 'lum_DET')",30
1122,"('and_CCONJ', 'that_PRON', 'be_AUX')",30
7539,"('and_CCONJ', 'I_PRON', 'be_AUX')",29
5833,"('___', 'be_AUX', 'not_PART')",28
1779,"('it_PRON', 'be_AUX', 'not_PART')",28
50021,"('I_PRON', 'want_VERB', 'it_PRON')",28
2525,"('I_PRON', 'be_AUX', 'a_DET')",28
9050,"('go_VERB', 'to_PART', 'be_AUX')",27
6385,"('and_CCONJ', 'it_PRON', 'be_AUX')",27
2615,"('one_NUM', 'of_ADP', 'the_DET')",27
998,"('that_SCONJ', 'we_PRON', 'be_AUX')",26
31581,"('we_PRON', 'be_AUX', 'go_VERB')",24
1858,"('there_ADV', 'be_VERB', 'a_DET')",24
1864,"('all_PRON', 'of_ADP', 'us_PRON')",23
45231,"('my_DET', 'mamma_NOUN', 'say_VERB')",22
5460,"('this_PRON', 'be_AUX', 'the_DET')",21
34176,"('a_DET', 'little_ADJ', 'bit_NOUN')",20
8270,"('I_PRON', 'be_AUX', 'not_PART')",20
10089,"('around_ADP', 'the_DET', 'world_NOUN')",20
10086,"('man_NOUN', 'and_CCONJ', 'women_NOUN')",20
50022,"('want_VERB', 'it_PRON', 'all_PRON')",20
12043,"('that_PRON', 'be_AUX', 'a_DET')",20
13249,"('that_PRON', 'be_AUX', 'the_DET')",20
5838,"('do_AUX', 'not_PART', 'have_VERB')",19
6908,"('I_PRON', ""'_PART"", 'll_AUX')",18
4980,"('I_PRON', 'will_AUX', 'be_AUX')",18
7851,"('that_SCONJ', 'I_PRON', 'be_AUX')",17
2295,"('some_PRON', 'of_ADP', 'the_DET')",17
4215,"('there_ADV', 'be_VERB', 'no_DET')",17
34019,"('you_PRON', '___', 'do_AUX')",17
8597,"('I_PRON', 'will_AUX', 'never_ADV')",17
1230,"('we_PRON', '___', 'can_AUX')",16
5001,"('I_PRON', 'be_AUX', 'go_VERB')",16
4694,"('this_PRON', 'be_AUX', 'a_DET')",16
51901,"('somebody_ADV', 'to_PART', 'love_VERB')",15
33277,"('in_ADP', 'term_NOUN', 'of_ADP')",15
22561,"('make_VERB', 'sure_ADV', 'that_SCONJ')",15
2042,"('we_PRON', 'have_VERB', 'to_PART')",15
1123,"('that_PRON', 'be_AUX', 'why_ADV')",15
6132,"('but_CCONJ', 'it_PRON', 'be_AUX')",15
56507,"('periodicity_NOUN', 'in_ADP', 'space_NOUN')",15
4780,"('be_AUX', 'not_PART', 'a_DET')",15
7186,"('to_PART', 'be_AUX', 'a_DET')",14
45431,"(""'s_PART"", 'go_VERB', 'party_NOUN')",14
6347,"('we_PRON', 'have_VERB', 'a_DET')",14
18845,"('be_AUX', 'able_ADJ', 'to_PART')",14
52,"('the_DET', 'fact_NOUN', 'that_SCONJ')",14
5135,"('in_ADP', 'the_DET', 'world_NOUN')",14
552,"('be_AUX', 'will_VERB', 'to_PART')",14
45054,"('my_DET', 'oh_NOUN', 'my_DET')",14
19184,"('we_PRON', ""'_PART"", 'll_AUX')",14
8339,"('part_NOUN', 'of_ADP', 'the_DET')",13
1336,"('the_DET', 'study_NOUN', 'of_ADP')",13
45428,"('on_ADP', 'Barbie_PROPN', 'let_VERB')",13
2070,"('it_PRON', 'will_AUX', 'be_AUX')",13
45429,"('Barbie_PROPN', 'let_VERB', ""'s_PART"")",13
45430,"('let_VERB', ""'s_PART"", 'go_VERB')",13
31,"('a_DET', 'number_NOUN', 'of_ADP')",13
3906,"('I_PRON', 'have_AUX', 'be_AUX')",13
2831,"('to_PART', 'do_VERB', 'with_ADP')",12
6127,"('when_SCONJ', 'I_PRON', 'be_AUX')",12
30295,"('it_PRON', '___', 'do_AUX')",12
31644,"('you_PRON', ""'_PART"", 'll_AUX')",12
45261,"('mamma_NOUN', 'say_VERB', 'my_DET')",12
5797,"('be_AUX', 'one_NUM', 'of_ADP')",12
2137,"('that_SCONJ', 'I_PRON', 'have_AUX')",12
35369,"('do_AUX', 'not_PART', 'you_PRON')",12
6391,"('do_AUX', 'not_PART', 'know_VERB')",12
3071,"('the_DET', 'world_NOUN', ""'s_PART"")",12
30892,"('the_DET', 'way_NOUN', 'you_PRON')",12
7263,"('do_AUX', 'not_PART', 'want_VERB')",12
6647,"('___', 'have_AUX', 'not_PART')",12
6909,"(""'_PART"", 'll_AUX', 'be_AUX')",12
9940,"('and_CCONJ', 'I_PRON', 'want_VERB')",12
1548,"('have_VERB', 'to_PART', 'be_AUX')",12
30222,"('do_AUX', 'not_PART', 'think_VERB')",11
3725,"('be_AUX', 'in_ADP', 'the_DET')",11
29775,"('say_VERB', 'goodbye_NOUN', 'to_ADP')",11
404,"('if_SCONJ', 'we_PRON', 'be_AUX')",11
50432,"(""'_PART"", 'll_AUX', 'see_VERB')",11
294,"('the_DET', 'heart_NOUN', 'of_ADP')",11
43369,"('he_PRON', 'see_VERB', 'the_DET')",11
9546,"('I_PRON', 'believe_VERB', 'that_SCONJ')",11
11824,"('of_ADP', 'that_PRON', 'who_PRON')",11
8396,"('have_VERB', 'to_PART', 'do_VERB')",11
4997,"('I_PRON', 'have_VERB', 'a_DET')",11
129,"('and_CCONJ', 'we_PRON', 'be_AUX')",11
8324,"('because_ADP', 'of_ADP', 'the_DET')",11
45059,"('do_AUX', 'you_PRON', 'wannon_X')",11
10005,"('we_PRON', 'be_AUX', 'not_PART')",11
3070,"('of_ADP', 'the_DET', 'world_NOUN')",11
2663,"('and_CCONJ', 'I_PRON', 'will_AUX')",11
1183,"('the_DET', 'face_NOUN', 'of_ADP')",11
2488,"('if_SCONJ', 'you_PRON', 'be_AUX')",11
31719,"('look_VERB', 'at_ADP', 'the_DET')",10
50023,"('it_PRON', 'all_PRON', 'I_PRON')",10
2720,"('they_PRON', '___', 'do_AUX')",10
45058,"('my_DET', 'do_AUX', 'you_PRON')",10
45057,"('oh_NOUN', 'my_DET', 'do_AUX')",10
17373,"('in_ADP', 'the_DET', 'past_NOUN')",10
45427,"('come_NOUN', 'on_ADP', 'Barbie_PROPN')",10
45060,"('you_PRON', 'wannon_X', 'say_VERB')",10
21624,"('that_SCONJ', 'we_PRON', 'have_AUX')",10
21037,"('will_AUX', 'not_PART', 'be_AUX')",10
50024,"('all_PRON', 'I_PRON', 'want_VERB')",10
45061,"('wannon_X', 'say_VERB', 'goodbye_NOUN')",10
24494,"('that_PRON', 'be_AUX', 'not_PART')",10
52804,"('all_PRON', 'right_ADJ', 'so_SCONJ')",10
18186,"('that_SCONJ', 'we_PRON', 'can_AUX')",10
14245,"('there_ADV', 'be_VERB', 'some_DET')",10
17724,"('21_NUM', 'st_ADJ', 'century_NOUN')",10
60705,"('way_NOUN', 'you_PRON', 'do_AUX')",10
17723,"('the_DET', '21_NUM', 'st_ADJ')",10
23821,"('by_ADP', 'the_DET', 'way_NOUN')",10
30138,"('and_CCONJ', 'I_PRON', 'think_VERB')",10
