,trigram,PMI
0,"('y', '-e', '-')",30.144349036992075
1,"('la', 'hey', 'lum')",30.05427369269023
2,"('Hey', 'la', 'hey')",29.88434869124792
3,"('Louisa', 'May', 'Alcott')",29.710812436253228
4,"('universal', 'colour', 'Bill')",27.636662249747562
5,"('u', 'm', 'm')",27.52006102462102
6,"('East', 'fifty', 'fifth')",27.44564228607544
7,"('Percy', 'de', 'Brabazon')",27.065708587752514
8,"('Dr', 'Van', 'Anden')",26.229811674596025
9,"('miss', 'Von', 'Eaton')",26.166418642142318
10,"('ha', 'hum', 'hum')",26.063728223624274
11,"('visit', 'librivox.org', 'record')",26.046910304276746
12,"('Lady', 'Jane', 'Grey')",25.810475337198813
13,"('Miss', 'Von', 'Eaton')",25.70867669190924
14,"('Rattle', 'Pane', 'house')",25.40784355925168
15,"('Serial', 'letter', 'co')",24.936288906662995
16,"('ha', 'ha', 'ha')",24.70553814425102
17,"('Traitor', ""'"", 'Gate')",24.564591695402182
18,"('south', 'end', 'Mission')",24.495503638186502
19,"('Illustration', 'Illustration', 'CHAPTER')",24.027427882291867
20,"('please', 'visit', 'librivox.org')",23.945807335578866
21,"('four', 'hundred', 'muffin')",23.58425963613651
22,"('volunteer', 'please', 'visit')",23.365661851155487
23,"('lum', 'my', 'boyfriend')",23.263233239704345
24,"('fifty', 'fifth', 'street')",23.239191408608015
25,"('working', 'class', 'hero')",23.165332123661692
26,"(""'r"", ""'"", 'ap')",23.14955419612334
27,"('hey', 'lum', 'my')",23.040840818367897
28,"('P', ""'r"", ""'"")",22.827626101235975
29,"('much', 'owest', 'thou')",22.80590022305035
30,"('', ""'ag"", 'Beomer')",22.75558230637325
31,"('mister', 'de', 'Brabazon')",22.698655487913836
32,"('Oh', 'ye', 'god')",22.465345748740667
33,"('white', 'Linen', 'nurse')",22.421633741560136
34,"('fresh', 'water', 'pond')",22.395310610525296
35,"('deep', 'green', 'moss')",22.33731888776612
36,"('Marble', 'worker', ""'"")",22.271809946174336
37,"('hot', 'water', 'bottle')",21.818637318008722
38,"('by', 'Louisa', 'May')",21.811153409875782
39,"('twenty', 'five', 'cent')",21.616294837468935
40,"('librivox.org', 'record', 'by')",21.606682896536604
41,"('mrs', 'o', 'Keefe')",21.414567145526863
42,"('old', 'John', 'Ellbertson')",21.399647084952072
43,"('white', 'linen', 'nurse')",21.29610285947628
44,"('Wyatt', ""'s"", 'rebellion')",21.242392034388672
45,"('mrs', 'evan', 'Roberts')",21.138442740252625
46,"('lady', 'Jane', 'Grey')",20.85764845742343
47,"('on', 'Madison', 'Avenue')",20.827296349018518
48,"('Welch', ""'s"", 'court')",20.78296041575138
49,"('Song', 'of', 'Songs')",20.68063217611447
50,"('all', 'librivox', 'recording')",20.54029385527533
51,"('librivox', 'recording', 'all')",20.54029385527533
52,"('recording', 'all', 'librivox')",20.54029385527533
53,"('every', 'single', 'individual')",20.54026665539899
54,"('struck', 'by', 'lightning')",20.509457383672885
55,"('earlier', 'than', 'usual')",20.501671038414635
56,"('worker', ""'"", 'association')",20.435308678457215
57,"('the', 'United', 'States')",20.40926543409908
58,"('Elijah', 'the', 'Prophet')",20.23934043265677
59,"('sooner', 'or', 'later')",19.978859890050412
60,"('the', 'Wolf', 'Hound')",19.976306026822975
61,"('Rockwell', 'Cooper', ""'s"")",19.912616077678628
62,"('slowly', 'very', 'complacently')",19.832360461562097
63,"('five', 'minute', 'later')",19.78081985116866
64,"('Catharine', 'of', 'Aragon')",19.745172428309182
65,"('Helene', 'Churchill', ""'s"")",19.738349529051085
66,"('twenty', 'five', 'dollar')",19.723210041385453
67,"('public', 'domain', 'for')",19.673472925606454
68,"('Slocum', ""'s"", 'Yard')",19.667960201159687
69,"('of', 'Sight', 'recognition')",19.64207893534508
70,"('yes', 'ma', ""'am"")",19.612517111791945
71,"('the', 'Rattle', 'Pane')",19.56572817573483
72,"('the', 'Bengal', 'tiger')",19.36487131474063
73,"('Zillah', 'Forsyth', ""'s"")",19.29194785886291
74,"('Eve', 'Edgarton', 'lift')",19.27092461958563
75,"('five', 'hundred', 'dollar')",19.262030760461887
76,"('burst', 'out', 'laughing')",19.1895354588368
77,"('twenty', 'four', 'hour')",19.167694667111075
78,"('o', ""'"", 'clock')",19.140565412896084
79,"('the', 'Marble', 'worker')",19.116483684871238
80,"('Heaven', ""'s"", 'sake')",19.085887548708683
81,"('the', 'olive', 'grive')",19.068228516264018
82,"('gale', 'of', 'merriment')",19.055275087799757
83,"('pretty', 'little', 'horsy')",19.052160594010697
84,"('earl', 'of', 'Northumberland')",19.040628311835356
85,"('I', 's', ""'pose"")",18.953999986800625
86,"('little', 'Eve', 'Edgarton')",18.94394615013558
87,"('little', 'rose', 'Leaf')",18.90156569495846
88,"('eight', 'or', 'nine')",18.736145468596217
89,"('Policeman', 'Duffer', 'be')",18.720335696931954
90,"('Rae', 'Malgregor', ""'s"")",18.599012847442197
91,"('ice', '-cream', 'and')",18.54428666763532
92,"('Od', 'or', 'even')",18.533251708767132
93,"('of', 'Anne', 'Boleyn')",18.522780006972734
94,"('good', 'old', 'summertime')",18.412685359740166
95,"('turn', 'upside', 'down')",18.39155847566419
96,"('on', 'Pearl', 'street')",18.34449022200741
97,"('how', 'much', 'owest')",18.296225849633434
98,"('now', 'a-', 'day')",18.286102001937298
99,"('garden', 'of', 'Eden')",18.274807854996972
100,"('Sight', 'recognition', 'be')",18.2331389630335
101,"('eleven', 'o', ""'"")",18.193032832790223
102,"('a', 'librivox', 'recording')",18.13422871491889
103,"('a', 'public', 'domain')",18.11987342194182
104,"('Kalo', 'and', 'Muside')",18.11664913157684
105,"('say', 'miss', 'Peyton')",18.06487802567741
106,"('one', 'single', 'solitary')",18.048927739987615
107,"('dron', 'little', 'Eve')",18.039315794106948
108,"('traveling', 'Salesman', ""'s"")",17.957248525298642
109,"('half', '-way', 'up')",17.93793473980128
110,"('God', 'bless', 'us')",17.896770831411114
111,"('Lily', 'Bell', ""'s"")",17.835904838473763
112,"('Henry', 'the', 'Eighth')",17.75802971395876
113,"('librivox', 'recording', 'be')",17.75325031940469
114,"('lick', 'his', 'lip')",17.731339427999153
115,"('in', 'New', 'York')",17.699022223333298
116,"('shrugge', 'his', 'shoulder')",17.667684536397363
