,trigram,PMI
0,"('L.um', 'L.um', 'L.um')",26.45122759957566
1,"('cold', 'bloody', 'war')",23.720688274568886
2,"('can’t', 'wake', 'up')",22.4155554222245
3,"('gottum', 'die', 'gottum')",21.325828657227675
4,"('better', 'lose', 'yourself')",20.63388858894543
5,"('from', 'cold', 'bloody')",20.49400849482934
6,"('die', 'gottum', 'die')",20.313585061472924
7,"('o', ""'"", 'clock')",20.191980948350903
8,"('sound', 'everybody', 'look')",20.171010548175573
9,"('wild', 'so', 'beautiful')",19.84587764995429
10,"('smile', 'so', 'beautiful')",19.343377309425104
11,"('right', 'here', 'waiting')",19.27081361029937
12,"('warrior', 'Warrior', 'of')",19.142944756807626
13,"('for', 'dangerous', 'driving')",18.949076537595786
14,"('run', 'from', 'cold')",18.909045994108187
15,"('be', 'warrior', 'Warrior')",18.73224026978247
16,"('I', 'can’t', 'wake')",18.539474654495375
17,"('sorry', 'mister', 'Jackson')",18.491939160164307
18,"('opportunity', 'come', 'once')",18.389605464538405
19,"('blow', 'this', 'opportunity')",18.34468350692573
20,"('tonight', 'you', 'kill')",18.276171815310565
21,"('miss', 'you', 'chance')",17.65324146439039
22,"('beautiful', 'and', 'wild')",17.604741506277154
23,"('quicke', 'my', 'end')",17.59400172440511
24,"('car', 'stop', 'suddenly')",17.564933046262727
25,"('moot', 'i', 'half')",17.53939795415559
26,"('keep', 'on', 'moving')",17.485427482956098
27,"('chance', 'to', 'blow')",17.203365186467394
28,"('shit', 'you', 'gottum')",17.14242042642174
29,"('remember', 'anything', 'about')",17.106433220618417
30,"('that', 'sound', 'everybody')",16.89554176438087
31,"('roof', 'the', 'roof')",16.872562854335094
32,"('everybody', 'look', 'what')",16.795143646177404
33,"('Oh', 'tonight', 'you')",16.510637068947588
34,"('better', 'never', 'let')",16.46802284211864
35,"('any', 'further', 'then')",16.403228551625382
36,"('this', 'new', 'divide')",16.37505715596925
37,"('lose', 'yourself', 'in')",16.272432129871433
38,"('go', 'any', 'further')",16.17918827740745
39,"('get', 'one', 'shot')",16.15070084705553
40,"('the', 'hitch', 'hiker')",15.935560941721398
41,"('move', 'to', 'L.A')",15.917962967605149
42,"('Wake', 'i', 'up')",15.898167233787696
43,"('about', 'twenty', 'year')",15.805518931113536
44,"('lose', 'my', 'job')",15.78395520634124
45,"('here', 'waiting', 'for')",15.763209992284452
